demand,civilians_rank,distance
11,2,159.98611276654668
8,3,163.489738777563
15,1,246.2899429166637
18,2,264.1132733307715
24,3,231.33095211468566
15,2,144.40668466006133
19,4,244.8754863754608
7,2,316.91085895810045
19,4,278.3157747216301
14,4,150.5467487191338
6,2,203.5695670556664
4,3,134.50350458080393
15,3,171.14750310169006
13,3,224.5389332868084
48,3,155.38830661683824
34,1,158.32790812801647
7,2,221.72564598648083
33,2,388.9571769963118
33,3,203.91777922854146
28,1,151.38852626192013
17,2,156.57328905189775
34,1,142.20932151761502
49,2,138.5196039382167
19,3,139.80512555796142
18,2,287.70612039690474
14,3,138.60799647929295
45,1,138.72947912932148
33,4,152.1570146606666
26,2,140.35075927291882
22,1,140.51583307609846
34,2,210.15648967129678
50,2,127.68577111437149
66,1,158.59826831992697
8,1,251.96159610520385
20,3,120.26244551510351
43,1,141.70898315820412
43,2,241.269479438795
13,1,121.2296599827298
11,1,234.01050395106338
17,2,237.09754485573674
44,3,176.18147371500538
39,1,261.9147598367712
9,3,134.393734517519
17,1,167.50560593542014
47,2,261.457238154341
17,2,491.394636770253
33,4,319.498671941728
10,2,236.8490643520759
36,1,511.7760807547797
26,1,378.4098319062547
26,1,342.04500762797335
107,2,238.2593286643031
163,3,328.21376989662764
133,1,137.89196640059237
158,2,434.52163652403084
132,2,529.2205090613355
142,1,668.8810772298386
129,1,278.0753279508005
186,3,287.2448691716446
149,2,392.8115727000725
189,1,249.79011004945184
167,1,333.07868317493063
235,2,235.0583756769028
343,3,332.6924391872425
244,3,144.99572085524701
255,3,251.63810573525055
316,1,155.02993560344143
287,3,406.1898188511355
312,1,488.3615268611296
353,2,141.39110247532528
325,3,239.46691351095112
302,1,273.94801411654163
249,4,360.10442926713137
267,1,396.4088883050607
236,1,252.19411319528686
206,1,158.61879215769974
376,2,160.09739658610275
253,3,214.85438926836213
313,2,328.4506766388863
328,3,234.23798697906426
264,2,152.15397252145584
339,1,152.9202433964371
234,1,143.30540338989647
287,1,124.90719360421714
433,2,120.11121493277264
161,1,123.60917788305954
296,2,153.85731434366443
290,2,145.04687997590838
286,3,135.54905812514548
291,2,145.46682493624232
275,3,271.438602510306
307,4,263.05949130140715
236,3,310.1821045170236
279,3,223.79669465417254
256,3,162.39738766956145
232,2,245.7364223706256
331,4,217.24995999179643
317,3,265.00806860189056
263,2,228.00801663131847
182,1,187.5912648184849
324,3,247.59080064555252
294,1,261.14588935713857
325,2,207.6128084931577
336,3,529.1215034424091
297,3,316.8258414835159
334,2,233.04738922160604
312,2,325.65167307528577
302,3,316.06531566758287
322,1,297.8261133900001
347,1,176.8307052438284
330,1,389.19186137525804
343,1,345.5434381918775
259,1,426.50300918267294
348,1,185.67930082261287
394,4,278.72289816077785
357,4,264.64129452282185
320,4,248.08211729070683
359,3,321.68791847972136
352,3,225.23396782581676
356,4,284.4278330801852
254,4,172.84445377371605
255,4,270.53253819311095
348,4,283.7387196792672
279,4,222.5065362892579
322,4,167.81574636460223
236,4,229.90341897508011
182,4,181.68071007556847
383,4,182.74981586967687
314,4,166.5802264329663
411,4,177.75829421796763
348,4,172.12768811348565
340,4,179.0198613680544
257,4,344.72824105169923
434,4,158.85920697142106
335,4,153.64198921366315
298,4,164.34521740351278
252,4,265.8666190081093
416,4,282.94747548703083
405,4,162.7416312101989
398,4,167.57959067602346
382,4,159.2683967975012
406,3,160.4930369064086
312,3,156.08491401674925
335,4,217.84603761884497
246,4,150.28471606655762
337,4,151.13176240892216
353,4,151.99436438464355
383,4,168.5609965208124
428,4,172.0474593165351
400,1,185.44505788373817
332,3,155.4705921828375
182,2,182.7531487800263
