demand,civilians_rank,distance
6,1,342.4292332945135
4,2,234.14962279554803
3,3,332.71173667702703
3,3,149.19325503302005
3,3,265.90064407708246
3,1,166.10572139187138
7,3,424.21587223399627
1,1,521.205637585472
5,2,153.58090466533105
20,3,255.08887156713573
29,1,289.82086896348864
27,4,366.22390840471627
37,1,395.0797204133365
28,1,256.33725884144656
15,1,170.05455882654155
39,2,167.40125553286424
35,3,235.92941842583141
28,2,346.22682005880586
37,3,250.10940562030984
28,2,184.16361515872
39,1,158.09857216652804
30,1,159.48634255670626
28,1,109.51373860244844
37,2,113.74050490935385
12,1,111.98832726397829
56,2,179.33014961084587
56,2,160.8471932462714
89,3,163.4515018239031
139,2,168.615227660215
136,3,291.1016957598875
130,4,285.3556267215885
124,3,326.24725053629464
105,3,240.7493585719894
103,3,192.87500703128867
116,2,279.0021568963129
109,4,252.95216505675717
89,3,312.95432888928326
85,2,260.96747248340944
32,1,224.60387261386262
91,3,272.53554929695355
65,1,314.76692150716383
43,2,261.72855514677786
65,3,573.9611911012443
63,3,341.07581848222117
85,2,267.3044494316712
81,2,361.3467327149136
67,3,337.9712768425143
73,1,329.79149330207736
84,1,195.8279900957951
109,1,384.22284560928114
130,1,345.47184813590286
110,1,448.5169734055944
114,1,217.9044497232859
127,4,314.6206340298981
139,4,308.9577462080223
127,4,289.07492072540987
92,3,348.24398694294007
119,3,264.59467390634916
131,4,321.2955316157468
145,4,195.23944951432773
161,4,328.10393951807947
113,4,338.76437156629817
85,4,277.4739780266264
78,4,212.83331656493192
72,4,262.7702987481591
47,4,224.11951389030293
91,4,221.61372138524345
77,4,208.5502390934947
63,4,218.1098352535269
96,4,217.88368021716698
78,4,234.58807799522208
207,4,384.43834261652916
135,4,190.3855949728634
120,4,198.59322042197448
70,4,191.15147551030282
129,4,309.67532553171526
123,4,330.978505754656
136,4,206.3915172718752
116,4,204.11149601297438
136,4,192.49537575924742
145,3,214.1571776622539
113,3,191.9029872474057
84,4,255.05908044557157
104,4,195.82804893534302
83,4,196.2342392420316
63,4,193.42508526477852
68,4,211.41133222677692
67,4,220.8052436386959
138,1,205.84777209139344
161,3,166.34208095923196
48,2,202.69176400416455
