demand,civilians_rank,w_{t-5}
22,2,21.0
15,3,28.0
27,1,48.0
30,2,34.0
83,3,39.0
44,2,22.0
29,4,15.0
56,2,27.0
14,4,30.0
29,4,83.0
46,2,44.0
18,3,29.0
20,3,56.0
24,3,14.0
48,3,29.0
33,1,46.0
41,2,18.0
34,2,20.0
16,3,24.0
22,1,48.0
34,2,33.0
29,1,41.0
20,2,34.0
25,3,16.0
6,2,22.0
17,3,34.0
31,1,29.0
20,4,20.0
25,2,25.0
31,1,6.0
57,2,17.0
32,2,31.0
44,1,20.0
45,1,25.0
6,3,31.0
45,1,57.0
52,2,32.0
34,1,44.0
59,1,45.0
59,2,6.0
49,3,45.0
44,1,52.0
42,3,34.0
58,1,59.0
56,2,59.0
61,2,49.0
59,4,44.0
32,2,42.0
44,1,58.0
51,1,56.0
66,1,61.0
66,2,59.0
49,3,32.0
48,1,44.0
58,2,51.0
54,2,66.0
76,1,66.0
82,1,49.0
64,3,48.0
72,2,58.0
85,1,54.0
63,1,76.0
60,2,82.0
66,3,64.0
61,3,72.0
54,3,85.0
41,1,63.0
46,3,60.0
40,1,66.0
48,2,61.0
45,3,54.0
45,1,41.0
53,4,46.0
54,1,40.0
44,1,48.0
35,1,45.0
68,2,45.0
69,3,53.0
39,2,54.0
53,3,44.0
59,2,35.0
57,1,68.0
60,1,69.0
73,1,39.0
64,2,53.0
31,1,59.0
85,2,57.0
60,2,60.0
73,3,73.0
62,2,64.0
78,3,31.0
78,4,85.0
76,3,60.0
69,3,73.0
87,3,62.0
91,2,78.0
79,4,78.0
107,3,76.0
91,2,69.0
82,1,87.0
76,3,91.0
72,1,79.0
57,2,107.0
66,3,91.0
38,3,82.0
28,2,76.0
26,2,72.0
21,3,57.0
18,1,66.0
33,1,38.0
46,1,28.0
51,1,26.0
45,1,21.0
32,1,18.0
46,4,33.0
65,4,46.0
65,4,51.0
69,3,45.0
48,3,32.0
31,4,46.0
26,4,65.0
24,4,65.0
18,4,69.0
22,4,48.0
19,4,31.0
16,4,26.0
10,4,24.0
24,4,18.0
38,4,22.0
22,4,19.0
17,4,16.0
23,4,10.0
46,4,24.0
37,4,38.0
36,4,22.0
34,4,17.0
68,4,23.0
52,4,46.0
57,4,37.0
71,4,36.0
67,4,34.0
70,3,68.0
43,3,52.0
71,4,57.0
58,4,71.0
69,4,67.0
73,4,70.0
62,4,43.0
81,4,71.0
114,1,58.0
74,3,69.0
54,2,73.0
