demand,civilians_rank
200,1
194,2
200,3
197,1
204,2
195,3
187,2
193,4
242,2
154,4
237,4
235,2
175,3
243,3
237,3
208,3
273,1
183,2
207,2
221,3
219,1
193,2
224,1
194,2
178,3
103,2
174,3
166,1
191,4
170,2
177,1
214,2
173,2
169,1
165,1
98,3
212,1
173,2
193,1
167,1
205,2
212,3
190,1
184,3
172,1
169,2
222,2
195,4
168,2
157,1
190,1
216,1
217,2
240,3
216,1
205,2
206,2
244,1
228,1
216,3
198,2
179,1
190,1
201,2
187,3
185,3
193,3
211,1
201,3
188,1
190,2
192,3
183,1
156,4
157,1
146,1
106,1
189,2
151,3
165,2
178,3
177,2
193,1
166,1
182,1
182,2
78,1
174,2
177,2
174,3
177,2
160,3
181,4
168,3
150,3
190,3
166,2
209,4
214,3
248,2
192,1
191,3
159,1
181,2
282,3
203,3
210,2
210,2
188,3
199,1
173,1
171,1
142,1
153,1
166,1
180,4
145,4
159,4
188,3
151,3
171,4
137,4
156,4
149,4
131,4
172,4
92,4
104,4
212,4
191,4
235,4
228,4
240,4
184,4
260,4
199,4
155,4
178,4
256,4
232,4
259,4
213,4
213,3
169,3
231,4
198,4
220,4
240,4
273,4
271,4
278,1
293,3
177,2
