demand,civilians_rank,w_{t-5}
16,2,40.0
46,3,40.0
37,1,46.0
31,2,25.0
50,3,52.0
43,2,16.0
16,4,46.0
55,2,37.0
59,4,31.0
52,4,50.0
65,2,43.0
26,3,16.0
53,3,55.0
44,3,59.0
52,3,52.0
36,1,65.0
58,2,26.0
58,2,53.0
32,3,44.0
37,1,52.0
50,2,36.0
55,1,58.0
22,2,58.0
47,3,32.0
15,2,37.0
49,3,50.0
32,1,55.0
26,4,22.0
63,2,47.0
59,1,15.0
41,2,49.0
51,2,32.0
48,1,26.0
34,1,63.0
18,3,59.0
59,1,41.0
37,2,51.0
51,1,48.0
53,1,34.0
50,2,18.0
34,3,59.0
55,1,37.0
50,3,51.0
71,1,53.0
54,2,50.0
63,2,34.0
25,4,55.0
60,2,50.0
55,1,71.0
47,1,54.0
42,1,63.0
81,2,25.0
55,3,60.0
69,1,55.0
53,2,47.0
32,2,42.0
89,1,81.0
49,1,55.0
72,3,69.0
44,2,53.0
81,1,32.0
35,1,89.0
73,2,49.0
49,3,72.0
55,3,44.0
54,3,81.0
49,1,35.0
42,3,73.0
61,1,49.0
70,2,55.0
68,3,54.0
61,1,49.0
58,4,42.0
77,1,61.0
59,1,70.0
23,1,68.0
68,2,61.0
79,3,58.0
60,2,77.0
66,3,59.0
50,2,23.0
49,1,68.0
49,1,79.0
45,1,60.0
72,2,66.0
8,1,50.0
92,2,49.0
68,2,49.0
52,3,45.0
59,2,72.0
60,3,8.0
72,4,92.0
52,3,68.0
74,3,52.0
73,3,59.0
63,2,60.0
51,4,72.0
90,3,52.0
42,2,74.0
61,1,73.0
79,3,63.0
58,1,51.0
59,2,90.0
72,3,42.0
113,3,61.0
65,2,79.0
90,2,58.0
82,3,59.0
70,1,72.0
94,1,113.0
69,1,65.0
73,1,90.0
103,1,82.0
76,1,70.0
69,4,94.0
79,4,69.0
65,4,73.0
89,3,103.0
150,3,76.0
73,4,69.0
102,4,79.0
105,4,65.0
102,4,89.0
91,4,150.0
52,4,73.0
51,4,102.0
24,4,105.0
132,4,102.0
102,4,91.0
104,4,52.0
122,4,51.0
95,4,24.0
78,4,132.0
95,4,102.0
136,4,104.0
73,4,122.0
88,4,95.0
159,4,78.0
129,4,95.0
107,4,136.0
127,4,73.0
135,3,88.0
109,3,159.0
147,4,129.0
71,4,107.0
125,4,127.0
90,4,135.0
83,4,109.0
76,4,147.0
88,1,71.0
56,3,125.0
42,2,90.0
