demand,civilians_rank,w_{t-5}
9,2,4.0
9,3,12.0
7,1,13.0
6,2,10.0
20,3,13.0
11,2,9.0
10,4,9.0
14,2,7.0
13,4,6.0
15,4,20.0
17,2,11.0
8,3,10.0
8,3,14.0
20,3,13.0
19,3,15.0
13,1,17.0
15,2,8.0
17,2,8.0
17,3,20.0
9,1,19.0
6,2,13.0
8,1,15.0
7,2,17.0
15,3,17.0
10,2,9.0
1,3,6.0
13,1,8.0
13,4,7.0
7,2,15.0
12,1,10.0
4,2,1.0
22,2,13.0
6,1,13.0
21,1,7.0
13,3,12.0
6,1,4.0
28,2,22.0
28,1,6.0
22,1,21.0
11,2,13.0
29,3,6.0
24,1,28.0
27,3,28.0
10,1,22.0
30,2,11.0
14,2,29.0
12,4,24.0
6,2,27.0
0,1,10.0
7,1,30.0
20,1,14.0
11,2,12.0
21,3,6.0
0,1,0.0
9,2,7.0
15,2,20.0
12,1,11.0
12,1,21.0
3,3,0.0
17,2,9.0
16,1,15.0
14,1,12.0
17,2,12.0
8,3,3.0
9,3,17.0
13,3,16.0
17,1,14.0
7,3,17.0
9,1,8.0
23,2,9.0
96,3,13.0
71,1,17.0
47,4,7.0
84,1,9.0
67,1,23.0
28,1,96.0
91,2,71.0
96,3,47.0
73,2,84.0
78,3,67.0
69,2,28.0
71,1,91.0
68,1,96.0
56,1,73.0
79,2,78.0
23,1,69.0
87,2,71.0
88,2,68.0
79,3,56.0
100,2,79.0
78,3,23.0
54,4,87.0
88,3,88.0
64,3,79.0
73,3,100.0
90,2,78.0
93,4,54.0
89,3,88.0
82,2,64.0
52,1,73.0
81,3,90.0
71,1,93.0
38,2,89.0
55,3,82.0
91,3,52.0
66,2,81.0
70,2,71.0
70,3,38.0
67,1,55.0
66,1,91.0
55,1,66.0
57,1,70.0
59,1,70.0
56,1,67.0
48,4,66.0
54,4,55.0
49,4,57.0
46,3,59.0
57,3,56.0
68,4,48.0
72,4,54.0
37,4,49.0
55,4,46.0
64,4,57.0
45,4,68.0
48,4,72.0
39,4,37.0
90,4,55.0
63,4,64.0
67,4,45.0
59,4,48.0
55,4,39.0
78,4,90.0
53,4,63.0
64,4,67.0
32,4,59.0
66,4,55.0
77,4,78.0
74,4,53.0
46,4,64.0
73,4,32.0
76,3,66.0
74,3,77.0
60,4,74.0
81,4,46.0
65,4,73.0
63,4,76.0
51,4,74.0
65,4,60.0
55,1,81.0
214,3,65.0
127,2,63.0
