demand,civilians_rank,w_{t-5}
6,1,1.0
4,2,3.0
3,3,2.0
3,3,7.0
3,3,4.0
3,1,6.0
7,3,4.0
1,1,3.0
5,2,3.0
20,3,3.0
29,1,3.0
27,4,7.0
37,1,1.0
28,1,5.0
15,1,20.0
39,2,29.0
35,3,27.0
28,2,37.0
37,3,28.0
28,2,15.0
39,1,39.0
30,1,35.0
28,1,28.0
37,2,37.0
12,1,28.0
56,2,39.0
56,2,30.0
89,3,28.0
139,2,37.0
136,3,12.0
130,4,56.0
124,3,56.0
105,3,89.0
103,3,139.0
116,2,136.0
109,4,130.0
89,3,124.0
85,2,105.0
32,1,103.0
91,3,116.0
65,1,109.0
43,2,89.0
65,3,85.0
63,3,32.0
85,2,91.0
81,2,65.0
67,3,43.0
73,1,65.0
84,1,63.0
109,1,85.0
130,1,81.0
110,1,67.0
114,1,73.0
127,4,84.0
139,4,109.0
127,4,130.0
92,3,110.0
119,3,114.0
131,4,127.0
145,4,139.0
161,4,127.0
113,4,92.0
85,4,119.0
78,4,131.0
72,4,145.0
47,4,161.0
91,4,113.0
77,4,85.0
63,4,78.0
96,4,72.0
78,4,47.0
207,4,91.0
135,4,77.0
120,4,63.0
70,4,96.0
129,4,78.0
123,4,207.0
136,4,135.0
116,4,120.0
136,4,70.0
145,3,129.0
113,3,123.0
84,4,136.0
104,4,116.0
83,4,136.0
63,4,145.0
68,4,113.0
67,4,84.0
138,1,104.0
161,3,83.0
48,2,63.0
