demand,civilians_rank,w_{t-5}
4,3,1.0
3,1,4.0
7,2,1.0
7,3,3.0
2,2,11.0
3,4,4.0
2,2,3.0
8,4,7.0
12,4,7.0
7,2,2.0
7,3,3.0
4,3,2.0
3,3,8.0
4,3,12.0
7,1,7.0
4,2,7.0
5,2,4.0
6,3,3.0
6,1,4.0
11,2,7.0
2,1,4.0
6,2,5.0
1,3,6.0
1,2,6.0
9,3,11.0
6,1,2.0
10,4,6.0
4,2,1.0
4,1,1.0
12,2,9.0
5,2,6.0
12,1,10.0
13,1,4.0
7,3,4.0
2,1,12.0
18,2,5.0
11,1,12.0
10,1,13.0
7,2,7.0
10,3,2.0
12,1,18.0
8,3,11.0
10,1,10.0
4,2,7.0
10,2,10.0
10,4,12.0
6,2,8.0
0,1,10.0
5,1,4.0
11,1,10.0
11,2,10.0
6,3,6.0
3,1,0.0
5,2,5.0
3,2,11.0
13,1,11.0
3,1,6.0
5,3,3.0
4,2,5.0
7,1,3.0
3,1,13.0
2,2,3.0
6,3,5.0
4,3,4.0
3,3,7.0
4,1,3.0
5,3,2.0
4,1,6.0
21,2,4.0
36,3,3.0
64,1,4.0
40,4,5.0
31,1,4.0
30,1,21.0
20,1,36.0
44,2,64.0
44,3,40.0
45,2,31.0
45,3,30.0
46,2,20.0
55,1,44.0
59,1,44.0
52,1,45.0
35,2,45.0
9,1,46.0
52,2,55.0
55,2,59.0
73,3,52.0
62,2,35.0
52,3,9.0
67,4,52.0
58,3,55.0
51,3,73.0
62,3,62.0
50,2,52.0
53,4,67.0
79,3,58.0
88,2,51.0
57,1,62.0
46,3,50.0
74,1,53.0
50,2,79.0
49,3,88.0
56,3,57.0
53,2,46.0
58,2,74.0
58,3,50.0
39,1,49.0
36,1,56.0
39,1,53.0
42,1,58.0
66,1,58.0
54,1,39.0
60,4,36.0
64,4,39.0
53,4,42.0
52,3,66.0
61,3,54.0
70,4,60.0
77,4,64.0
75,4,53.0
64,4,52.0
55,4,61.0
74,4,70.0
64,4,77.0
38,4,75.0
80,4,64.0
105,4,55.0
77,4,74.0
98,4,64.0
101,4,38.0
108,4,80.0
89,4,105.0
85,4,77.0
45,4,98.0
121,4,101.0
107,4,108.0
142,4,89.0
104,4,85.0
81,4,45.0
110,3,121.0
126,3,107.0
85,4,142.0
119,4,104.0
111,4,81.0
88,4,110.0
73,4,126.0
100,4,85.0
80,1,119.0
184,3,111.0
145,2,88.0
