demand,civilians_rank
39,1
48,2
46,3
45,1
31,2
33,3
51,2
47,4
58,2
44,4
52,4
60,2
61,3
42,3
48,3
60,3
51,1
61,2
56,2
62,3
61,1
36,2
50,1
26,2
40,3
18,2
51,3
38,1
41,4
48,2
32,1
51,2
36,2
36,1
42,1
23,3
60,1
47,2
37,1
50,1
50,2
87,3
43,1
53,3
28,1
44,2
28,2
44,4
10,2
38,1
29,1
48,1
40,2
36,3
34,1
48,2
44,2
16,1
66,1
51,3
30,2
65,1
67,1
38,2
35,3
65,3
54,3
44,1
47,3
50,1
64,2
74,3
39,1
40,4
29,1
11,1
24,1
68,2
58,3
37,2
60,3
41,2
47,1
56,1
51,1
62,2
22,1
63,2
53,2
67,3
74,2
64,3
68,4
54,3
53,3
60,3
67,2
74,4
55,3
52,2
49,1
45,3
62,1
71,2
63,3
36,3
23,2
19,2
22,3
32,1
38,1
64,1
54,1
54,1
76,1
74,4
74,4
79,4
57,3
80,3
88,4
75,4
78,4
24,4
57,4
59,4
35,4
31,4
112,4
107,4
81,4
83,4
67,4
92,4
72,4
53,4
26,4
37,4
61,4
77,4
83,4
69,4
70,3
44,3
59,4
62,4
41,4
60,4
41,4
37,4
52,1
48,3
27,2
