demand,civilians_rank,w_{t-5}
45,2,61.0
59,3,62.0
54,1,54.0
34,2,52.0
54,3,37.0
48,2,45.0
76,4,59.0
45,2,54.0
59,4,34.0
46,4,54.0
66,2,48.0
45,3,76.0
35,3,45.0
42,3,59.0
62,3,46.0
42,1,66.0
49,2,45.0
41,2,35.0
37,3,42.0
44,1,62.0
48,2,42.0
40,1,49.0
39,2,41.0
35,3,37.0
29,2,44.0
30,3,48.0
66,1,40.0
48,4,39.0
44,2,35.0
45,1,29.0
31,2,30.0
41,2,66.0
29,1,48.0
48,1,44.0
21,3,45.0
45,1,31.0
23,2,41.0
39,1,29.0
30,1,48.0
35,2,21.0
39,3,45.0
46,1,23.0
30,3,39.0
24,1,30.0
27,2,35.0
32,2,39.0
37,4,46.0
20,2,30.0
13,1,24.0
39,1,27.0
43,1,32.0
48,2,37.0
52,3,20.0
7,1,13.0
36,2,39.0
39,2,43.0
43,1,48.0
37,1,52.0
39,3,7.0
40,2,36.0
30,1,39.0
40,1,43.0
50,2,37.0
30,3,39.0
13,3,40.0
20,3,30.0
40,1,40.0
23,3,50.0
29,1,30.0
30,2,13.0
18,3,20.0
22,1,40.0
8,4,23.0
16,1,29.0
11,1,30.0
3,1,18.0
22,2,22.0
12,3,8.0
28,2,16.0
15,3,11.0
29,2,3.0
17,1,22.0
17,1,12.0
7,1,28.0
23,2,15.0
4,1,29.0
28,2,17.0
51,2,17.0
27,3,7.0
32,2,23.0
21,3,4.0
44,4,28.0
50,3,51.0
46,3,27.0
36,3,32.0
54,2,21.0
37,4,44.0
56,3,50.0
74,2,46.0
54,1,36.0
35,3,54.0
64,1,37.0
47,2,56.0
53,3,74.0
31,3,54.0
21,2,35.0
27,2,64.0
16,3,47.0
12,1,53.0
18,1,31.0
29,1,21.0
35,1,27.0
32,1,16.0
49,1,12.0
25,4,18.0
35,4,29.0
53,4,35.0
24,3,32.0
40,3,49.0
31,4,25.0
39,4,35.0
41,4,53.0
21,4,24.0
22,4,40.0
35,4,31.0
23,4,39.0
14,4,41.0
42,4,21.0
52,4,22.0
29,4,35.0
29,4,23.0
55,4,14.0
44,4,42.0
33,4,52.0
28,4,29.0
33,4,29.0
34,4,55.0
66,4,44.0
50,4,33.0
60,4,28.0
52,4,33.0
50,3,34.0
33,3,66.0
35,4,50.0
26,4,60.0
40,4,52.0
53,4,50.0
40,4,33.0
36,4,35.0
44,1,26.0
45,3,40.0
33,2,53.0
