demand,civilians_rank,w_{t-5}
62,2,45.0
106,3,21.0
60,1,69.0
49,2,51.0
82,3,67.0
106,2,62.0
61,4,106.0
89,2,60.0
80,4,49.0
68,4,82.0
70,2,106.0
58,3,61.0
65,3,89.0
114,3,80.0
94,3,68.0
103,1,70.0
95,2,58.0
114,2,65.0
67,3,114.0
51,1,94.0
58,2,103.0
86,1,95.0
50,2,114.0
44,3,67.0
38,2,51.0
39,3,58.0
39,1,86.0
60,4,50.0
68,2,44.0
78,1,38.0
61,2,39.0
62,2,39.0
51,1,60.0
52,1,68.0
16,3,78.0
63,1,61.0
64,2,62.0
75,1,51.0
50,1,52.0
73,2,16.0
88,3,63.0
51,1,64.0
67,3,75.0
68,1,50.0
74,2,73.0
56,2,88.0
64,4,51.0
64,2,67.0
64,1,68.0
85,1,74.0
95,1,56.0
102,2,64.0
63,3,64.0
88,1,64.0
73,2,85.0
107,2,95.0
93,1,102.0
73,1,63.0
72,3,88.0
66,2,73.0
57,1,107.0
71,1,93.0
77,2,73.0
56,3,72.0
60,3,66.0
60,3,57.0
60,1,71.0
77,3,77.0
71,1,56.0
94,2,60.0
80,3,60.0
78,1,60.0
56,4,77.0
55,1,71.0
30,1,94.0
38,1,80.0
34,2,78.0
44,3,56.0
46,2,55.0
65,3,30.0
39,2,38.0
46,1,34.0
73,1,44.0
60,1,46.0
70,2,65.0
47,1,39.0
64,2,46.0
68,2,73.0
66,3,60.0
64,2,70.0
82,3,47.0
88,4,64.0
64,3,68.0
69,3,66.0
63,3,64.0
89,2,82.0
71,4,88.0
66,3,64.0
60,2,69.0
46,1,63.0
58,3,89.0
82,1,71.0
73,2,66.0
97,3,60.0
110,3,46.0
125,2,58.0
98,2,82.0
115,3,73.0
77,1,97.0
90,1,110.0
86,1,125.0
81,1,98.0
67,1,115.0
91,1,77.0
95,4,90.0
78,4,86.0
93,4,81.0
85,3,67.0
84,3,91.0
86,4,95.0
59,4,78.0
64,4,93.0
70,4,85.0
74,4,84.0
62,4,86.0
42,4,59.0
33,4,64.0
53,4,70.0
42,4,74.0
64,4,62.0
45,4,42.0
52,4,33.0
37,4,53.0
46,4,42.0
56,4,64.0
22,4,45.0
57,4,52.0
57,4,37.0
87,4,46.0
89,4,56.0
95,4,22.0
92,3,57.0
74,3,57.0
91,4,87.0
75,4,89.0
87,4,95.0
96,4,92.0
88,4,74.0
128,4,91.0
81,1,75.0
58,3,87.0
31,2,96.0
