demand,civilians_rank,w_{t-5}
12,2,12.0
5,3,8.0
19,1,6.0
9,2,6.0
8,3,10.0
29,2,12.0
9,4,5.0
7,2,19.0
3,4,9.0
4,4,8.0
12,2,29.0
4,3,9.0
7,3,7.0
3,3,3.0
8,3,4.0
10,1,12.0
11,2,4.0
12,2,7.0
10,3,3.0
4,1,8.0
7,2,10.0
7,1,11.0
3,2,12.0
12,3,10.0
7,2,4.0
9,3,7.0
2,1,7.0
14,4,3.0
8,2,12.0
2,1,7.0
7,2,9.0
18,2,2.0
20,1,14.0
0,1,8.0
3,3,2.0
11,1,7.0
13,2,18.0
14,1,20.0
4,1,0.0
10,2,3.0
24,3,11.0
12,1,13.0
5,3,14.0
20,1,4.0
9,2,10.0
7,2,24.0
13,4,12.0
7,2,5.0
0,1,20.0
2,1,9.0
24,1,7.0
2,2,13.0
12,3,7.0
2,1,0.0
14,2,2.0
19,2,24.0
17,1,2.0
20,1,12.0
3,3,2.0
16,2,14.0
15,1,19.0
5,1,17.0
14,2,20.0
5,3,3.0
5,3,16.0
1,3,15.0
4,1,5.0
8,3,14.0
12,1,5.0
6,2,5.0
111,3,1.0
86,1,4.0
88,4,8.0
89,1,12.0
81,1,6.0
39,1,111.0
118,2,86.0
100,3,88.0
94,2,89.0
79,3,81.0
81,2,39.0
69,1,118.0
81,1,100.0
80,1,94.0
97,2,79.0
36,1,81.0
89,2,69.0
110,2,81.0
109,3,80.0
117,2,97.0
124,3,36.0
111,4,89.0
90,3,110.0
103,3,109.0
92,3,117.0
91,2,124.0
94,4,111.0
89,3,90.0
96,2,103.0
62,1,92.0
111,3,91.0
84,1,94.0
56,2,89.0
57,3,96.0
85,3,62.0
94,2,111.0
64,2,84.0
78,3,56.0
96,1,57.0
64,1,85.0
59,1,94.0
57,1,64.0
61,1,78.0
72,1,96.0
65,4,64.0
64,4,59.0
74,4,57.0
70,3,61.0
83,3,72.0
78,4,65.0
70,4,64.0
93,4,74.0
86,4,70.0
76,4,83.0
90,4,78.0
64,4,70.0
41,4,93.0
110,4,86.0
97,4,76.0
78,4,90.0
55,4,64.0
86,4,41.0
83,4,110.0
98,4,97.0
89,4,78.0
62,4,55.0
99,4,86.0
97,4,83.0
121,4,98.0
127,4,89.0
144,4,62.0
130,3,99.0
144,3,97.0
143,4,121.0
160,4,127.0
167,4,144.0
125,4,130.0
107,4,144.0
164,4,143.0
160,1,160.0
354,3,167.0
170,2,125.0
