demand,civilians_rank,w_{t-5}
75,2,32.0
111,3,51.0
86,1,105.0
79,2,82.0
84,3,97.0
82,2,75.0
83,4,111.0
97,2,86.0
59,4,79.0
94,4,84.0
92,2,82.0
74,3,83.0
58,3,97.0
68,3,59.0
100,3,94.0
87,1,92.0
104,2,74.0
95,2,58.0
74,3,68.0
101,1,100.0
112,2,87.0
88,1,104.0
80,2,95.0
65,3,74.0
53,2,101.0
75,3,112.0
91,1,88.0
92,4,80.0
97,2,65.0
97,1,53.0
107,2,75.0
84,2,91.0
73,1,92.0
85,1,97.0
37,3,97.0
77,1,107.0
100,2,84.0
80,1,73.0
101,1,85.0
122,2,37.0
151,3,77.0
124,1,100.0
104,3,80.0
101,1,101.0
141,2,122.0
114,2,151.0
134,4,124.0
82,2,104.0
102,1,101.0
118,1,141.0
167,1,114.0
177,2,134.0
145,3,82.0
98,1,102.0
164,2,118.0
177,2,167.0
162,1,177.0
186,1,145.0
165,3,98.0
176,2,164.0
165,1,177.0
130,1,162.0
137,2,186.0
143,3,165.0
110,3,176.0
111,3,165.0
111,1,130.0
123,3,137.0
122,1,143.0
127,2,110.0
128,3,111.0
114,1,111.0
134,4,123.0
114,1,122.0
66,1,127.0
76,1,128.0
164,2,114.0
174,3,134.0
105,2,114.0
114,3,66.0
134,2,76.0
151,1,164.0
131,1,174.0
149,1,105.0
120,2,114.0
51,1,134.0
132,2,151.0
104,2,131.0
226,3,149.0
209,2,120.0
159,3,51.0
188,4,132.0
140,3,104.0
196,3,226.0
143,3,209.0
161,2,159.0
186,4,188.0
204,3,140.0
237,2,196.0
150,1,143.0
166,3,161.0
156,1,186.0
213,2,204.0
119,3,237.0
75,3,150.0
53,2,166.0
38,2,156.0
105,3,213.0
37,1,119.0
66,1,75.0
136,1,53.0
160,1,38.0
105,1,105.0
143,1,37.0
127,4,66.0
163,4,136.0
116,4,160.0
124,3,105.0
109,3,143.0
99,4,127.0
197,4,163.0
109,4,116.0
143,4,124.0
87,4,109.0
82,4,99.0
72,4,197.0
37,4,109.0
106,4,143.0
168,4,87.0
191,4,82.0
79,4,72.0
102,4,37.0
159,4,106.0
122,4,168.0
112,4,191.0
59,4,79.0
71,4,102.0
168,4,159.0
137,4,122.0
118,4,112.0
105,4,59.0
151,3,71.0
25,3,168.0
87,4,137.0
67,4,118.0
95,4,105.0
133,4,151.0
92,4,25.0
118,4,87.0
134,1,67.0
102,3,95.0
52,2,133.0
