demand,civilians_rank,w_{t-5}
11,2,11.0
8,3,7.0
15,1,9.0
18,2,18.0
24,3,0.0
15,2,11.0
19,4,8.0
7,2,15.0
19,4,18.0
14,4,24.0
6,2,15.0
4,3,19.0
15,3,7.0
13,3,19.0
48,3,14.0
34,1,6.0
7,2,4.0
33,2,15.0
33,3,13.0
28,1,48.0
17,2,34.0
34,1,7.0
49,2,33.0
19,3,33.0
18,2,28.0
14,3,17.0
45,1,34.0
33,4,49.0
26,2,19.0
22,1,18.0
34,2,14.0
50,2,45.0
66,1,33.0
8,1,26.0
20,3,22.0
43,1,34.0
43,2,50.0
13,1,66.0
11,1,8.0
17,2,20.0
44,3,43.0
39,1,43.0
9,3,13.0
17,1,11.0
47,2,17.0
17,2,44.0
33,4,39.0
10,2,9.0
36,1,17.0
26,1,47.0
26,1,17.0
107,2,33.0
163,3,10.0
133,1,36.0
158,2,26.0
132,2,26.0
142,1,107.0
129,1,163.0
186,3,133.0
149,2,158.0
189,1,132.0
167,1,142.0
235,2,129.0
343,3,186.0
244,3,149.0
255,3,189.0
316,1,167.0
287,3,235.0
312,1,343.0
353,2,244.0
325,3,255.0
302,1,316.0
249,4,287.0
267,1,312.0
236,1,353.0
206,1,325.0
376,2,302.0
253,3,249.0
313,2,267.0
328,3,236.0
264,2,206.0
339,1,376.0
234,1,253.0
287,1,313.0
433,2,328.0
161,1,264.0
296,2,339.0
290,2,234.0
286,3,287.0
291,2,433.0
275,3,161.0
307,4,296.0
236,3,290.0
279,3,286.0
256,3,291.0
232,2,275.0
331,4,307.0
317,3,236.0
263,2,279.0
182,1,256.0
324,3,232.0
294,1,331.0
325,2,317.0
336,3,263.0
297,3,182.0
334,2,324.0
312,2,294.0
302,3,325.0
322,1,336.0
347,1,297.0
330,1,334.0
343,1,312.0
259,1,302.0
348,1,322.0
394,4,347.0
357,4,330.0
320,4,343.0
359,3,259.0
352,3,348.0
356,4,394.0
254,4,357.0
255,4,320.0
348,4,359.0
279,4,352.0
322,4,356.0
236,4,254.0
182,4,255.0
383,4,348.0
314,4,279.0
411,4,322.0
348,4,236.0
340,4,182.0
257,4,383.0
434,4,314.0
335,4,411.0
298,4,348.0
252,4,340.0
416,4,257.0
405,4,434.0
398,4,335.0
382,4,298.0
406,3,252.0
312,3,416.0
335,4,405.0
246,4,398.0
337,4,382.0
353,4,406.0
383,4,312.0
428,4,335.0
400,1,246.0
332,3,337.0
182,2,353.0
