demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
4,11.0,3.0,1.0,4.0,1.0,-14.138155172753489,3.2301370231301236
3,4.0,11.0,3.0,1.0,4.0,-13.567145151015641,-1.8800714456542866
7,3.0,4.0,11.0,3.0,1.0,-12.996135129277794,-0.695408119566902
7,7.0,3.0,4.0,11.0,3.0,-12.425125107539953,-0.8248473575820812
2,7.0,7.0,3.0,4.0,11.0,-11.854115085802105,-4.521594287904951
3,2.0,7.0,7.0,3.0,4.0,-11.283105064064259,-11.074110448997054
2,3.0,2.0,7.0,7.0,3.0,-10.712095042326414,-9.742011225473773
8,2.0,3.0,2.0,7.0,7.0,-10.141085020588571,-10.24965559169408
12,8.0,2.0,3.0,2.0,7.0,-9.570074998850725,-0.17396662458105538
7,12.0,8.0,2.0,3.0,2.0,-8.999064977112877,-5.123918683109051
7,7.0,12.0,8.0,2.0,3.0,-8.428054955375032,-5.843101510867823
4,7.0,7.0,12.0,8.0,2.0,-7.857044933637186,-3.886002287344534
3,4.0,7.0,7.0,12.0,8.0,-7.286034911899342,-10.098774858693051
4,3.0,4.0,7.0,7.0,12.0,-6.715024890161495,-11.910906404400539
7,4.0,3.0,4.0,7.0,7.0,-6.144014868423651,-9.033935386005462
4,7.0,4.0,3.0,4.0,7.0,-5.573004846685803,-5.557605393251411
5,4.0,7.0,4.0,3.0,4.0,-5.0019948249479596,-5.32166001588197
6,5.0,4.0,7.0,4.0,3.0,-4.430984803210113,-0.6369966897945922
6,6.0,5.0,4.0,7.0,4.0,-3.859974781472268,0.3297179183440768
11,6.0,6.0,5.0,4.0,7.0,-3.288964759734421,5.940663295713512
2,11.0,6.0,6.0,5.0,4.0,-2.7179547379965765,4.96827533974962
6,2.0,11.0,6.0,6.0,5.0,-2.1469447162587323,-5.420824433239863
1,6.0,2.0,11.0,6.0,6.0,-1.5759346945208854,-13.884338291390026
1,1.0,6.0,2.0,11.0,6.0,-1.004924672783039,-5.738877790565822
9,1.0,1.0,6.0,2.0,11.0,-0.4339146510451943,9.762351941027609
6,9.0,1.0,1.0,6.0,2.0,0.13709537069265032,2.3629406469800123
10,6.0,9.0,1.0,1.0,6.0,6.875,5.872641406819504
4,10.0,6.0,9.0,1.0,1.0,6.8173076923076925,7.6090796071973426
4,4.0,10.0,6.0,9.0,1.0,6.8269230769230775,7.646799858857236
12,4.0,4.0,10.0,6.0,9.0,6.807692307692308,3.678109854106872
5,12.0,4.0,4.0,10.0,6.0,6.826923076923076,5.783137798074456
12,5.0,12.0,4.0,4.0,10.0,6.894230769230767,-12.724013745137448
13,12.0,5.0,12.0,4.0,4.0,6.9230769230769225,8.756014198830137
7,13.0,12.0,5.0,12.0,4.0,6.961538461538462,-4.7831886264330485
2,7.0,13.0,12.0,5.0,12.0,6.971153846153847,18.607095727790934
18,2.0,7.0,13.0,12.0,5.0,6.875000000000001,4.657636492271349
11,18.0,2.0,7.0,13.0,12.0,6.740384615384616,7.724202897777393
10,11.0,18.0,2.0,7.0,13.0,6.6826923076923075,10.742692380206515
7,10.0,11.0,18.0,2.0,7.0,6.6730769230769225,11.77400237545615
10,7.0,10.0,11.0,18.0,2.0,6.6730769230769225,1.4976200630134726
12,10.0,7.0,10.0,11.0,18.0,6.6730769230769225,10.19559672492978
8,12.0,10.0,7.0,10.0,11.0,6.6538461538461515,5.182034925307619
10,8.0,12.0,10.0,7.0,10.0,6.634615384615384,-0.8828089255965932
4,10.0,8.0,12.0,10.0,7.0,6.788461538461537,-9.970088673936703
10,4.0,10.0,8.0,12.0,10.0,7.230769230769232,-2.675958165866555
10,10.0,4.0,10.0,8.0,12.0,8.076923076923077,0.6854800345112819
6,10.0,10.0,4.0,10.0,8.0,8.913461538461538,37.69755926053015
0,6.0,10.0,10.0,4.0,10.0,9.471153846153848,-2.6107864959928286
5,0.0,6.0,10.0,10.0,4.0,9.980769230769232,-11.56270957291591
11,5.0,0.0,6.0,10.0,10.0,10.39423076923077,4.403636580930248
11,11.0,5.0,0.0,6.0,10.0,10.990384615384619,-5.476171111377453
6,11.0,11.0,5.0,0.0,6.0,11.740384615384619,-6.803094188300529
3,6.0,11.0,11.0,5.0,0.0,12.45192307692308,3.2301370231301236
5,3.0,6.0,11.0,11.0,5.0,13.163461538461542,-1.8800714456542866
3,5.0,3.0,6.0,11.0,11.0,13.903846153846155,-0.695408119566902
13,3.0,5.0,3.0,6.0,11.0,14.798076923076923,-0.8248473575820812
3,13.0,3.0,5.0,3.0,6.0,15.740384615384615,-4.521594287904951
5,3.0,13.0,3.0,5.0,3.0,16.64423076923077,-11.074110448997054
4,5.0,3.0,13.0,3.0,5.0,17.317307692307693,-9.742011225473773
7,4.0,5.0,3.0,13.0,3.0,17.5,-10.24965559169408
3,7.0,4.0,5.0,3.0,13.0,17.894230769230774,-0.17396662458105538
2,3.0,7.0,4.0,5.0,3.0,18.836538461538463,-5.123918683109051
6,2.0,3.0,7.0,4.0,5.0,19.875,-5.843101510867823
4,6.0,2.0,3.0,7.0,4.0,20.89423076923077,-3.886002287344534
3,4.0,6.0,2.0,3.0,7.0,21.788461538461537,-10.098774858693051
4,3.0,4.0,6.0,2.0,3.0,22.76923076923077,-11.910906404400539
5,4.0,3.0,4.0,6.0,2.0,23.80769230769231,-9.033935386005462
4,5.0,4.0,3.0,4.0,6.0,24.64423076923077,-5.557605393251411
21,4.0,5.0,4.0,3.0,4.0,25.538461538461547,-5.32166001588197
36,21.0,4.0,5.0,4.0,3.0,26.442307692307697,-0.6369966897945922
64,36.0,21.0,4.0,5.0,4.0,27.298076923076927,0.3297179183440768
40,64.0,36.0,21.0,4.0,5.0,28.432692307692303,5.940663295713512
31,40.0,64.0,36.0,21.0,4.0,29.84615384615385,4.96827533974962
30,31.0,40.0,64.0,36.0,21.0,31.086538461538463,-5.420824433239863
20,30.0,31.0,40.0,64.0,36.0,32.019230769230774,-13.884338291390026
44,20.0,30.0,31.0,40.0,64.0,33.125,-5.738877790565822
44,44.0,20.0,30.0,31.0,40.0,34.16346153846154,9.762351941027609
45,44.0,44.0,20.0,30.0,31.0,34.903846153846146,2.3629406469800123
45,45.0,44.0,44.0,20.0,30.0,35.75,5.872641406819504
46,45.0,45.0,44.0,44.0,20.0,36.71153846153847,7.6090796071973426
55,46.0,45.0,45.0,44.0,44.0,37.70192307692308,7.646799858857236
59,55.0,46.0,45.0,45.0,44.0,38.740384615384606,3.678109854106872
52,59.0,55.0,46.0,45.0,45.0,39.519230769230774,5.783137798074456
35,52.0,59.0,55.0,46.0,45.0,40.08653846153846,-12.724013745137448
9,35.0,52.0,59.0,55.0,46.0,40.730769230769226,8.756014198830137
52,9.0,35.0,52.0,59.0,55.0,41.42307692307692,-4.7831886264330485
55,52.0,9.0,35.0,52.0,59.0,42.35576923076924,18.607095727790934
73,55.0,52.0,9.0,35.0,52.0,43.41346153846153,4.657636492271349
62,73.0,55.0,52.0,9.0,35.0,44.46153846153847,7.724202897777393
52,62.0,73.0,55.0,52.0,9.0,45.57692307692307,10.742692380206515
67,52.0,62.0,73.0,55.0,52.0,46.60576923076924,11.77400237545615
58,67.0,52.0,62.0,73.0,55.0,47.54807692307693,1.4976200630134726
51,58.0,67.0,52.0,62.0,73.0,48.56730769230769,10.19559672492978
62,51.0,58.0,67.0,52.0,62.0,49.740384615384606,5.182034925307619
50,62.0,51.0,58.0,67.0,52.0,51.06730769230769,-0.8828089255965932
53,50.0,62.0,51.0,58.0,67.0,52.28846153846154,-9.970088673936703
79,53.0,50.0,62.0,51.0,58.0,53.07692307692307,-2.675958165866555
88,79.0,53.0,50.0,62.0,51.0,53.259615384615394,0.6854800345112819
57,88.0,79.0,53.0,50.0,62.0,53.50000000000001,37.69755926053015
46,57.0,88.0,79.0,53.0,50.0,54.144230769230774,-2.6107864959928286
