demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
9,13.0,10.0,13.0,12.0,4.0,-15.305319040645173,0.033249613622387215
9,9.0,13.0,10.0,13.0,12.0,-14.513977319743347,13.410494681014091
7,9.0,9.0,13.0,10.0,13.0,-13.722635598841526,-2.4686705080044726
6,7.0,9.0,9.0,13.0,10.0,-12.931293877939696,0.5720360978487664
20,6.0,7.0,9.0,9.0,13.0,-12.139952157037873,1.6159478319071343
11,20.0,6.0,7.0,9.0,9.0,-11.348610436136047,3.695115976221913
10,11.0,20.0,6.0,7.0,9.0,-10.557268715234224,-0.12635690510433628
14,10.0,11.0,20.0,6.0,7.0,-9.765926994332396,-7.614496453097254
13,14.0,10.0,11.0,20.0,6.0,-8.974585273430574,-1.5834052318594016
15,13.0,14.0,10.0,11.0,20.0,-8.183243552528747,-2.222185805493344
17,15.0,13.0,14.0,10.0,11.0,-7.391901831626923,-3.8096843278452335
8,17.0,15.0,13.0,14.0,10.0,-6.600560110725097,-5.345900798915077
8,8.0,17.0,15.0,13.0,14.0,-5.809218389823274,-9.907758295625936
20,8.0,8.0,17.0,15.0,13.0,-5.017876668921449,-11.825385023106026
19,20.0,8.0,8.0,17.0,15.0,-4.226534948019623,-8.079550212124587
13,19.0,20.0,8.0,8.0,17.0,-3.4351932271177983,-4.0003820678098085
15,13.0,19.0,20.0,8.0,8.0,-2.6438515062159738,-6.2289062311873415
17,15.0,13.0,19.0,20.0,8.0,-1.8525097853141488,-4.072815009949495
17,17.0,15.0,13.0,19.0,20.0,-1.0611680644123247,-10.916723788711636
9,17.0,17.0,15.0,13.0,19.0,-0.2698263435104984,18.909239227398007
6,9.0,17.0,17.0,15.0,13.0,0.5215153773913261,10.401868910174326
8,6.0,9.0,17.0,17.0,15.0,1.3128570982931491,-5.974091150639106
7,8.0,6.0,9.0,17.0,17.0,2.104198819194975,5.253190146495123
15,7.0,8.0,6.0,9.0,17.0,2.895540540096801,-4.509949428861646
10,15.0,7.0,8.0,6.0,9.0,3.686882260998624,1.3358853547559408
1,10.0,15.0,7.0,8.0,6.0,4.4782239819004515,11.050309881963274
13,1.0,10.0,15.0,7.0,8.0,13.480769230769232,7.758435797284182
13,13.0,1.0,10.0,15.0,7.0,13.576923076923077,0.9353588468434084
7,13.0,13.0,1.0,10.0,15.0,13.605769230769232,0.7308716399923785
12,7.0,13.0,13.0,1.0,10.0,13.53846153846154,2.9206152023721126
4,12.0,7.0,13.0,13.0,1.0,13.644230769230774,-3.5787437993507165
22,4.0,12.0,7.0,13.0,13.0,13.653846153846152,-4.026820749791494
6,22.0,4.0,12.0,7.0,13.0,13.586538461538463,-13.112718213052785
21,6.0,22.0,4.0,12.0,7.0,13.528846153846152,0.14112791342951847
13,21.0,6.0,22.0,4.0,12.0,13.490384615384615,-10.23323108829331
6,13.0,21.0,6.0,22.0,4.0,13.548076923076923,7.0558714484454
28,6.0,13.0,21.0,6.0,22.0,13.567307692307697,-4.6486157584056365
28,28.0,6.0,13.0,21.0,6.0,13.55769230769231,8.361640624486919
22,28.0,28.0,6.0,13.0,21.0,13.557692307692307,16.022538033020506
11,22.0,28.0,28.0,6.0,13.0,13.567307692307693,5.651384159502803
29,11.0,22.0,28.0,28.0,6.0,13.509615384615385,-10.98900048324567
24,29.0,11.0,22.0,28.0,28.0,13.423076923076925,13.04689692528792
27,24.0,29.0,11.0,22.0,28.0,13.346153846153845,-2.3434877174605533
10,27.0,24.0,29.0,11.0,22.0,13.230769230769232,0.5385635372268769
30,10.0,27.0,24.0,29.0,11.0,13.230769230769232,-3.8005390542395463
14,30.0,10.0,27.0,24.0,29.0,14.048076923076925,8.254589123524806
12,14.0,30.0,10.0,27.0,24.0,15.403846153846155,-2.1357955192236595
6,12.0,14.0,30.0,10.0,27.0,16.39423076923077,47.47061470982275
0,6.0,12.0,14.0,30.0,10.0,17.51923076923077,-15.106984938387544
7,0.0,6.0,12.0,14.0,30.0,18.826923076923077,-3.953138784541384
20,7.0,0.0,6.0,12.0,14.0,19.52884615384616,-5.967561861464463
11,20.0,7.0,0.0,6.0,12.0,20.432692307692317,-16.582946476849074
21,11.0,20.0,7.0,0.0,6.0,22.12500000000001,0.033249613622387215
0,21.0,11.0,20.0,7.0,0.0,23.615384615384613,13.410494681014091
9,0.0,21.0,11.0,20.0,7.0,24.81730769230769,-2.4686705080044726
15,9.0,0.0,21.0,11.0,20.0,26.038461538461537,0.5720360978487664
12,15.0,9.0,0.0,21.0,11.0,27.20192307692308,1.6159478319071343
12,12.0,15.0,9.0,0.0,21.0,28.384615384615394,3.695115976221913
