demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
12,10.0,6.0,6.0,8.0,12.0,-30.13421436733676,-7.777899159272933
5,12.0,10.0,6.0,6.0,8.0,-29.05170865376407,4.8035732951771895
19,5.0,12.0,10.0,6.0,6.0,-27.969202940191373,1.3754303650119404
9,19.0,5.0,12.0,10.0,6.0,-26.88669722661869,-0.7898920523328109
8,9.0,19.0,5.0,12.0,10.0,-25.804191513045996,1.3011957867327022
29,8.0,9.0,19.0,5.0,12.0,-24.721685799473306,5.369847728362322
9,29.0,8.0,9.0,19.0,5.0,-23.639180085900605,1.9384996699919324
7,9.0,29.0,8.0,9.0,19.0,-22.55667437232793,-12.816566337096393
3,7.0,9.0,29.0,8.0,9.0,-21.474168658755232,-10.741504139056527
4,3.0,7.0,9.0,29.0,8.0,-20.39166294518255,-12.124775274349986
12,4.0,3.0,7.0,9.0,29.0,-19.30915723160985,-12.568943845540886
4,12.0,4.0,3.0,7.0,9.0,-18.22665151803717,-10.38811241673178
7,4.0,12.0,4.0,3.0,7.0,-17.144145804464475,-17.540614321256008
3,7.0,4.0,12.0,4.0,3.0,-16.061640090891782,-14.388629046293065
8,3.0,7.0,4.0,12.0,4.0,-14.979134377319093,-19.624464284150623
10,8.0,3.0,7.0,4.0,12.0,-13.896628663746402,-13.847479009187676
11,10.0,8.0,3.0,7.0,4.0,-12.814122950173712,-14.807673221404213
12,11.0,10.0,8.0,3.0,7.0,-11.73161723660102,-17.049918715672042
10,12.0,11.0,10.0,8.0,3.0,-10.649111523028331,-12.074215491991145
4,10.0,12.0,11.0,10.0,8.0,-9.56660580945564,18.789308244510273
7,4.0,10.0,12.0,11.0,10.0,-8.484100095882951,3.774626852806552
7,7.0,4.0,10.0,12.0,11.0,-7.401594382310262,8.163791614948988
3,7.0,7.0,4.0,10.0,12.0,-6.319088668737571,-0.6613619783628613
12,3.0,7.0,7.0,4.0,10.0,-5.236582955164881,-13.423979314568305
7,12.0,3.0,7.0,7.0,4.0,-4.154077241592187,-2.6064684456455467
9,7.0,12.0,3.0,7.0,7.0,-3.0715715280194966,16.797580884815673
2,9.0,7.0,12.0,3.0,7.0,9.346153846153848,0.5097621232818108
14,2.0,9.0,7.0,12.0,3.0,9.26923076923077,-12.077917410963506
8,14.0,2.0,9.0,7.0,12.0,9.240384615384617,-3.4668789964908715
2,8.0,14.0,2.0,9.0,7.0,9.163461538461537,-6.432763658941318
7,2.0,8.0,14.0,2.0,9.0,9.211538461538463,-8.00121242395586
18,7.0,2.0,8.0,14.0,2.0,9.394230769230768,-6.04081503512425
20,18.0,7.0,2.0,8.0,14.0,9.394230769230768,-12.30477662065162
0,20.0,18.0,7.0,2.0,8.0,9.25,5.886389998949222
3,0.0,20.0,18.0,7.0,2.0,9.278846153846157,-22.303853637860197
11,3.0,0.0,20.0,18.0,7.0,9.480769230769235,3.813595033022692
13,11.0,3.0,0.0,20.0,18.0,9.605769230769235,14.87335139621327
14,13.0,11.0,3.0,0.0,20.0,9.634615384615387,20.282466733762824
4,14.0,13.0,11.0,3.0,0.0,9.663461538461544,18.050556430286747
10,4.0,14.0,13.0,11.0,3.0,9.653846153846157,21.107107665272192
24,10.0,4.0,14.0,13.0,11.0,9.615384615384619,17.807889669488418
12,24.0,10.0,4.0,14.0,13.0,9.557692307692312,20.48303064806361
5,12.0,24.0,10.0,4.0,14.0,9.500000000000002,22.48829983176702
20,5.0,12.0,24.0,10.0,4.0,9.490384615384617,1.8781844000858052
9,20.0,5.0,12.0,24.0,10.0,9.442307692307693,-0.10693103159541197
7,9.0,20.0,5.0,12.0,24.0,10.355769230769226,15.520133023902867
13,7.0,9.0,20.0,5.0,12.0,12.115384615384615,11.176043233247292
7,13.0,7.0,9.0,20.0,5.0,13.682692307692307,79.4761842118225
0,7.0,13.0,7.0,9.0,20.0,15.25,-20.77936805094929
2,0.0,7.0,13.0,7.0,9.0,16.78846153846154,-0.23609882018006798
24,2.0,0.0,7.0,13.0,7.0,17.798076923076927,-13.389944974026214
2,24.0,2.0,0.0,7.0,13.0,19.125000000000004,-17.293791127872367
12,2.0,24.0,2.0,0.0,7.0,21.06730769230769,-7.777899159272933
2,12.0,2.0,24.0,2.0,0.0,22.82692307692308,4.8035732951771895
14,2.0,12.0,2.0,24.0,2.0,24.336538461538463,1.3754303650119404
19,14.0,2.0,12.0,2.0,24.0,25.663461538461537,-0.7898920523328109
17,19.0,14.0,2.0,12.0,2.0,27.009615384615394,1.3011957867327022
20,17.0,19.0,14.0,2.0,12.0,28.365384615384606,5.369847728362322
3,20.0,17.0,19.0,14.0,2.0,29.673076923076927,1.9384996699919324
16,3.0,20.0,17.0,19.0,14.0,31.009615384615387,-12.816566337096393
15,16.0,3.0,20.0,17.0,19.0,32.096153846153854,-10.741504139056527
5,15.0,16.0,3.0,20.0,17.0,33.269230769230774,-12.124775274349986
14,5.0,15.0,16.0,3.0,20.0,35.04807692307693,-12.568943845540886
5,14.0,5.0,15.0,16.0,3.0,36.92307692307692,-10.38811241673178
5,5.0,14.0,5.0,15.0,16.0,38.83653846153846,-17.540614321256008
1,5.0,5.0,14.0,5.0,15.0,40.980769230769226,-14.388629046293065
4,1.0,5.0,5.0,14.0,5.0,43.105769230769226,-19.624464284150623
8,4.0,1.0,5.0,5.0,14.0,44.71153846153847,-13.847479009187676
12,8.0,4.0,1.0,5.0,5.0,46.22115384615386,-14.807673221404213
6,12.0,8.0,4.0,1.0,5.0,47.93269230769232,-17.049918715672042
111,6.0,12.0,8.0,4.0,1.0,49.451923076923094,-12.074215491991145
86,111.0,6.0,12.0,8.0,4.0,50.95192307692307,18.789308244510273
88,86.0,111.0,6.0,12.0,8.0,52.55769230769232,3.774626852806552
89,88.0,86.0,111.0,6.0,12.0,54.144230769230774,8.163791614948988
81,89.0,88.0,86.0,111.0,6.0,55.471153846153854,-0.6613619783628613
39,81.0,89.0,88.0,86.0,111.0,57.06730769230769,-13.423979314568305
118,39.0,81.0,89.0,88.0,86.0,58.92307692307693,-2.6064684456455467
100,118.0,39.0,81.0,89.0,88.0,60.01923076923079,16.797580884815673
94,100.0,118.0,39.0,81.0,89.0,60.85576923076924,0.5097621232818108
79,94.0,100.0,118.0,39.0,81.0,62.086538461538474,-12.077917410963506
81,79.0,94.0,100.0,118.0,39.0,63.67307692307693,-3.4668789964908715
69,81.0,79.0,94.0,100.0,118.0,65.03846153846155,-6.432763658941318
81,69.0,81.0,79.0,94.0,100.0,66.08653846153847,-8.00121242395586
80,81.0,69.0,81.0,79.0,94.0,67.41346153846153,-6.04081503512425
97,80.0,81.0,69.0,81.0,79.0,68.59615384615384,-12.30477662065162
36,97.0,80.0,81.0,69.0,81.0,69.55769230769229,5.886389998949222
89,36.0,97.0,80.0,81.0,69.0,70.4903846153846,-22.303853637860197
110,89.0,36.0,97.0,80.0,81.0,71.32692307692307,3.813595033022692
109,110.0,89.0,36.0,97.0,80.0,72.41346153846153,14.87335139621327
117,109.0,110.0,89.0,36.0,97.0,73.54807692307692,20.282466733762824
124,117.0,109.0,110.0,89.0,36.0,74.60576923076921,18.050556430286747
111,124.0,117.0,109.0,110.0,89.0,75.83653846153847,21.107107665272192
90,111.0,124.0,117.0,109.0,110.0,77.16346153846153,17.807889669488418
103,90.0,111.0,124.0,117.0,109.0,78.58653846153845,20.48303064806361
92,103.0,90.0,111.0,124.0,117.0,80.01923076923076,22.48829983176702
91,92.0,103.0,90.0,111.0,124.0,81.24999999999999,1.8781844000858052
94,91.0,92.0,103.0,90.0,111.0,82.64423076923076,-0.10693103159541197
89,94.0,91.0,92.0,103.0,90.0,83.2403846153846,15.520133023902867
96,89.0,94.0,91.0,92.0,103.0,82.90384615384616,11.176043233247292
62,96.0,89.0,94.0,91.0,92.0,82.82692307692307,79.4761842118225
111,62.0,96.0,89.0,94.0,91.0,82.60576923076924,-20.77936805094929
84,111.0,62.0,96.0,89.0,94.0,81.98076923076924,-0.23609882018006798
56,84.0,111.0,62.0,96.0,89.0,82.27884615384616,-13.389944974026214
57,56.0,84.0,111.0,62.0,96.0,82.75961538461537,-17.293791127872367
85,57.0,56.0,84.0,111.0,62.0,82.34615384615383,-7.777899159272933
94,85.0,57.0,56.0,84.0,111.0,81.75961538461539,4.8035732951771895
64,94.0,85.0,57.0,56.0,84.0,81.45192307692307,1.3754303650119404
78,64.0,94.0,85.0,57.0,56.0,81.53846153846155,-0.7898920523328109
96,78.0,64.0,94.0,85.0,57.0,81.83653846153847,1.3011957867327022
64,96.0,78.0,64.0,94.0,85.0,82.19230769230771,5.369847728362322
59,64.0,96.0,78.0,64.0,94.0,82.09615384615384,1.9384996699919324
57,59.0,64.0,96.0,78.0,64.0,81.94230769230771,-12.816566337096393
61,57.0,59.0,64.0,96.0,78.0,82.54807692307693,-10.741504139056527
72,61.0,57.0,59.0,64.0,96.0,83.44230769230771,-12.124775274349986
65,72.0,61.0,57.0,59.0,64.0,83.91346153846155,-12.568943845540886
64,65.0,72.0,61.0,57.0,59.0,84.41346153846155,-10.38811241673178
74,64.0,65.0,72.0,61.0,57.0,84.875,-17.540614321256008
70,74.0,64.0,65.0,72.0,61.0,85.19230769230771,-14.388629046293065
83,70.0,74.0,64.0,65.0,72.0,85.69230769230771,-19.624464284150623
78,83.0,70.0,74.0,64.0,65.0,86.67307692307693,-13.847479009187676
70,78.0,83.0,70.0,74.0,64.0,87.96153846153847,-14.807673221404213
93,70.0,78.0,83.0,70.0,74.0,88.8942307692308,-17.049918715672042
86,93.0,70.0,78.0,83.0,70.0,89.36538461538464,-12.074215491991145
76,86.0,93.0,70.0,78.0,83.0,90.19230769230772,18.789308244510273
90,76.0,86.0,93.0,70.0,78.0,91.54807692307695,3.774626852806552
64,90.0,76.0,86.0,93.0,70.0,94.71153846153851,8.163791614948988
41,64.0,90.0,76.0,86.0,93.0,93.77757045097827,-0.6613619783628613
110,41.0,64.0,90.0,76.0,86.0,94.38676289986807,-13.423979314568305
97,110.0,41.0,64.0,90.0,76.0,94.99595534875786,-2.6064684456455467
78,97.0,110.0,41.0,64.0,90.0,95.60514779764765,16.797580884815673
55,78.0,97.0,110.0,41.0,64.0,96.21434024653743,0.5097621232818108
86,55.0,78.0,97.0,110.0,41.0,96.82353269542723,-12.077917410963506
83,86.0,55.0,78.0,97.0,110.0,97.43272514431706,-3.4668789964908715
98,83.0,86.0,55.0,78.0,97.0,98.04191759320685,-6.432763658941318
89,98.0,83.0,86.0,55.0,78.0,98.65111004209663,-8.00121242395586
62,89.0,98.0,83.0,86.0,55.0,99.26030249098642,-6.04081503512425
99,62.0,89.0,98.0,83.0,86.0,99.86949493987622,-12.30477662065162
97,99.0,62.0,89.0,98.0,83.0,100.478687388766,5.886389998949222
121,97.0,99.0,62.0,89.0,98.0,101.08787983765579,-22.303853637860197
127,121.0,97.0,99.0,62.0,89.0,101.6970722865456,3.813595033022692
144,127.0,121.0,97.0,99.0,62.0,102.3062647354354,14.87335139621327
130,144.0,127.0,121.0,97.0,99.0,102.9154571843252,20.282466733762824
144,130.0,144.0,127.0,121.0,97.0,103.52464963321499,18.050556430286747
143,144.0,130.0,144.0,127.0,121.0,104.13384208210478,21.107107665272192
160,143.0,144.0,130.0,144.0,127.0,104.74303453099456,17.807889669488418
167,160.0,143.0,144.0,130.0,144.0,105.35222697988436,20.48303064806361
125,167.0,160.0,143.0,144.0,130.0,105.96141942877415,22.48829983176702
107,125.0,167.0,160.0,143.0,144.0,106.57061187766395,1.8781844000858052
164,107.0,125.0,167.0,160.0,143.0,107.17980432655376,-0.10693103159541197
160,164.0,107.0,125.0,167.0,160.0,107.78899677544355,15.520133023902867
354,160.0,164.0,107.0,125.0,167.0,108.39818922433335,11.176043233247292
170,354.0,160.0,164.0,107.0,125.0,109.00738167322314,79.4761842118225
