demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
11,0.0,18.0,9.0,7.0,11.0,-111.94037936152466,31.29308664545423
8,11.0,0.0,18.0,9.0,7.0,-107.22329151041906,36.810467618162654
15,8.0,11.0,0.0,18.0,9.0,-102.50620365931343,34.616310129332554
18,15.0,8.0,11.0,0.0,18.0,-97.78911580820784,34.6529218712717
24,18.0,15.0,8.0,11.0,0.0,-93.07202795710222,20.01966181833909
15,24.0,18.0,15.0,8.0,11.0,-88.35494010599663,28.162042791047448
19,15.0,24.0,18.0,15.0,8.0,-83.63785225489102,25.83006478939688
7,19.0,15.0,24.0,18.0,15.0,-78.92076440378541,37.53334319800271
19,7.0,19.0,15.0,24.0,18.0,-74.2036765526798,22.05713442712134
14,19.0,7.0,19.0,15.0,24.0,-69.48658870157419,7.276438476752826
6,14.0,19.0,7.0,19.0,15.0,-64.76950085046857,23.998947654589397
4,6.0,14.0,19.0,7.0,19.0,-60.052412999362964,55.53555939652857
15,4.0,6.0,14.0,19.0,7.0,-55.33532514825736,74.6170429333395
13,15.0,4.0,6.0,14.0,19.0,-50.618237297151744,29.153654675278663
48,13.0,15.0,4.0,6.0,14.0,-45.901149446046155,41.5973176992691
34,48.0,13.0,15.0,4.0,6.0,-41.18406159494053,68.02495508223389
7,34.0,48.0,13.0,15.0,4.0,-36.46697374383493,51.85002836263456
33,7.0,34.0,48.0,13.0,15.0,-31.749885892729324,13.553306771240432
33,33.0,7.0,34.0,48.0,13.0,-27.03279804162371,32.371969795230854
28,33.0,33.0,7.0,34.0,48.0,-22.315710190518107,50.07204307563154
17,28.0,33.0,33.0,7.0,34.0,-17.598622339412483,13.717629176545046
34,17.0,28.0,33.0,33.0,7.0,-12.881534488306885,2.959369123612433
49,34.0,17.0,28.0,33.0,33.0,-8.16444663720128,-18.285689101195945
19,49.0,34.0,17.0,28.0,33.0,-3.4473587860956627,-45.13950414234025
18,19.0,49.0,34.0,17.0,28.0,1.2697290650099404,-1.9676781578434983
14,18.0,19.0,49.0,34.0,17.0,5.986816916115544,27.50222474973017
45,14.0,18.0,19.0,49.0,34.0,25.20192307692308,8.931121554069833
33,45.0,14.0,18.0,19.0,49.0,27.69230769230769,15.797105027396645
26,33.0,45.0,14.0,18.0,19.0,30.35576923076923,11.695139782774742
22,26.0,33.0,45.0,14.0,18.0,32.93269230769231,-42.108748538770215
34,22.0,26.0,33.0,45.0,14.0,35.403846153846146,38.22197852430017
50,34.0,22.0,26.0,33.0,45.0,37.63461538461538,-28.11716620750125
66,50.0,34.0,22.0,26.0,33.0,39.86538461538462,-19.94349042648211
8,66.0,50.0,34.0,22.0,26.0,42.56730769230771,16.188518687870346
20,8.0,66.0,50.0,34.0,22.0,45.53846153846154,-41.69229271059774
43,20.0,8.0,66.0,50.0,34.0,48.53846153846154,1.3211266601649552
43,43.0,20.0,8.0,66.0,50.0,51.64423076923079,2.3409562873379244
13,43.0,43.0,20.0,8.0,66.0,55.3173076923077,-7.113573059848077
11,13.0,43.0,43.0,20.0,8.0,60.778846153846146,-10.295666509598195
17,11.0,13.0,43.0,43.0,20.0,66.24038461538461,-50.21173431832267
44,17.0,11.0,13.0,43.0,43.0,70.76923076923076,-32.438699562944564
39,44.0,17.0,11.0,13.0,43.0,75.67307692307692,-79.32912634602799
9,39.0,44.0,17.0,11.0,13.0,80.6826923076923,-38.809296718855045
17,9.0,39.0,44.0,17.0,11.0,86.04807692307693,-53.440108117323106
47,17.0,9.0,39.0,44.0,17.0,92.05769230769234,-50.750406695278365
17,47.0,17.0,9.0,39.0,44.0,97.94230769230772,5.054679342150999
33,17.0,47.0,17.0,9.0,39.0,103.3846153846154,-21.23318333836833
10,33.0,17.0,47.0,17.0,9.0,108.25,-58.8223280701697
36,10.0,33.0,17.0,47.0,17.0,112.72115384615385,-119.44345006479756
26,36.0,10.0,33.0,17.0,47.0,116.7596153846154,-37.05402698787451
26,26.0,36.0,10.0,33.0,17.0,120.35576923076924,-59.44345006479757
107,26.0,26.0,36.0,10.0,33.0,125.59615384615385,-47.11652698787449
163,107.0,26.0,26.0,36.0,10.0,131.33653846153848,31.29308664545423
