demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
6,4.0,7.0,2.0,3.0,1.0,29.78643409058392,1.133675967114721
4,6.0,4.0,7.0,2.0,3.0,31.05102498169303,2.82830359848324
3,4.0,6.0,4.0,7.0,2.0,32.31561587280214,7.181585076005612
3,3.0,4.0,6.0,4.0,7.0,33.58020676391125,11.794481938143365
3,3.0,3.0,4.0,6.0,4.0,34.84479765502036,5.243917261819576
3,3.0,3.0,3.0,4.0,6.0,36.10938854612947,-12.556647414504207
7,3.0,3.0,3.0,3.0,4.0,37.37397943723858,0.6283648322489341
1,7.0,3.0,3.0,3.0,3.0,38.638570328347676,8.197992463617453
5,1.0,7.0,3.0,3.0,3.0,39.903161219456784,11.863773941139831
20,5.0,1.0,7.0,3.0,3.0,41.1677521105659,21.654555418662184
29,20.0,5.0,1.0,7.0,3.0,42.43234300167501,4.954952280799943
27,29.0,20.0,5.0,1.0,7.0,43.696933892784116,-5.210997010908457
37,27.0,29.0,20.0,5.0,1.0,44.961524783893225,-10.944253994924553
28,37.0,27.0,29.0,20.0,5.0,46.226115675002326,-15.443970446817115
15,28.0,37.0,27.0,29.0,20.0,47.49070656611145,-33.70856133792623
39,15.0,28.0,37.0,27.0,29.0,48.755297457220564,-19.47315222903533
35,39.0,15.0,28.0,37.0,27.0,50.019888348329665,-15.737743120144438
28,35.0,39.0,15.0,28.0,37.0,51.284479239438774,-26.002334011253552
37,28.0,35.0,39.0,15.0,28.0,52.54907013054789,-14.266924902362653
28,37.0,28.0,35.0,39.0,15.0,53.813661021657,-20.03151579347177
39,28.0,37.0,28.0,35.0,39.0,55.078251912766106,38.703893315419116
30,39.0,28.0,37.0,28.0,35.0,56.342842803875214,6.939302424310014
28,30.0,39.0,28.0,37.0,28.0,57.60743369498432,-6.325288466799093
37,28.0,30.0,39.0,28.0,37.0,58.872024586093424,-33.58987935790821
12,37.0,28.0,30.0,39.0,28.0,60.13661547720254,-0.8544702490173179
56,12.0,37.0,28.0,30.0,39.0,61.401206368311655,-17.619061140126426
56,56.0,12.0,37.0,28.0,30.0,55.5,13.199246598474845
89,56.0,56.0,12.0,37.0,28.0,57.55769230769231,1.538104999074143
139,89.0,56.0,56.0,12.0,37.0,59.77884615384616,26.295232630442648
136,139.0,89.0,56.0,56.0,12.0,62.269230769230774,53.917744877195794
130,136.0,139.0,89.0,56.0,56.0,64.76923076923076,34.53544943164125
124,130.0,136.0,139.0,89.0,56.0,66.81730769230771,15.379115524548233
105,124.0,130.0,136.0,139.0,89.0,68.78846153846155,20.761243155916745
103,105.0,124.0,130.0,136.0,139.0,71.09615384615384,-1.0248984434839556
116,103.0,105.0,124.0,130.0,136.0,73.67307692307693,-13.945655427500055
109,116.0,103.0,105.0,124.0,130.0,76.55769230769229,-7.02025856536229
89,109.0,116.0,103.0,105.0,124.0,78.95192307692308,-12.84966939553224
85,89.0,109.0,116.0,103.0,105.0,80.38461538461537,11.30168900506707
32,85.0,89.0,109.0,116.0,103.0,81.41346153846152,19.654970482589434
91,32.0,85.0,89.0,109.0,116.0,82.24038461538461,-41.078876218362545
65,91.0,32.0,85.0,89.0,109.0,82.75961538461539,17.401893012406674
43,65.0,91.0,32.0,85.0,89.0,83.67307692307693,-9.511568526054873
65,43.0,65.0,91.0,32.0,85.0,84.76923076923076,-32.60772237220871
63,65.0,43.0,65.0,91.0,32.0,85.40384615384616,-11.2423377568241
85,63.0,65.0,43.0,65.0,91.0,86.32692307692308,-14.165414679901021
81,85.0,63.0,65.0,43.0,65.0,87.375,6.786508397022061
67,81.0,85.0,63.0,65.0,43.0,89.49038461538461,0.6711237816374336
73,67.0,81.0,85.0,63.0,65.0,92.1346153846154,-15.973106987593324
84,73.0,67.0,81.0,85.0,63.0,93.92307692307692,-11.761568526054845
109,84.0,73.0,67.0,81.0,85.0,95.19230769230768,-2.030799295285618
130,109.0,84.0,73.0,67.0,81.0,96.4807692307692,21.680739166252852
110,130.0,109.0,84.0,73.0,67.0,98.43269230769228,40.72881608932977
114,110.0,130.0,109.0,84.0,73.0,100.26923076923076,1.133675967114721
127,114.0,110.0,130.0,109.0,84.0,101.6153846153846,2.82830359848324
139,127.0,114.0,110.0,130.0,109.0,102.64423076923076,7.181585076005612
127,139.0,127.0,114.0,110.0,130.0,103.15384615384615,11.794481938143365
92,127.0,139.0,127.0,114.0,110.0,102.9903846153846,5.243917261819576
119,92.0,127.0,139.0,127.0,114.0,102.32692307692308,-12.556647414504207
131,119.0,92.0,127.0,139.0,127.0,101.69230769230768,0.6283648322489341
