demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
22,39.0,34.0,48.0,28.0,21.0
15,22.0,39.0,34.0,48.0,28.0
27,15.0,22.0,39.0,34.0,48.0
30,27.0,15.0,22.0,39.0,34.0
83,30.0,27.0,15.0,22.0,39.0
44,83.0,30.0,27.0,15.0,22.0
29,44.0,83.0,30.0,27.0,15.0
56,29.0,44.0,83.0,30.0,27.0
14,56.0,29.0,44.0,83.0,30.0
29,14.0,56.0,29.0,44.0,83.0
46,29.0,14.0,56.0,29.0,44.0
18,46.0,29.0,14.0,56.0,29.0
20,18.0,46.0,29.0,14.0,56.0
24,20.0,18.0,46.0,29.0,14.0
48,24.0,20.0,18.0,46.0,29.0
33,48.0,24.0,20.0,18.0,46.0
41,33.0,48.0,24.0,20.0,18.0
34,41.0,33.0,48.0,24.0,20.0
16,34.0,41.0,33.0,48.0,24.0
22,16.0,34.0,41.0,33.0,48.0
34,22.0,16.0,34.0,41.0,33.0
29,34.0,22.0,16.0,34.0,41.0
20,29.0,34.0,22.0,16.0,34.0
25,20.0,29.0,34.0,22.0,16.0
6,25.0,20.0,29.0,34.0,22.0
17,6.0,25.0,20.0,29.0,34.0
31,17.0,6.0,25.0,20.0,29.0
20,31.0,17.0,6.0,25.0,20.0
25,20.0,31.0,17.0,6.0,25.0
31,25.0,20.0,31.0,17.0,6.0
57,31.0,25.0,20.0,31.0,17.0
32,57.0,31.0,25.0,20.0,31.0
44,32.0,57.0,31.0,25.0,20.0
45,44.0,32.0,57.0,31.0,25.0
6,45.0,44.0,32.0,57.0,31.0
45,6.0,45.0,44.0,32.0,57.0
52,45.0,6.0,45.0,44.0,32.0
34,52.0,45.0,6.0,45.0,44.0
59,34.0,52.0,45.0,6.0,45.0
59,59.0,34.0,52.0,45.0,6.0
49,59.0,59.0,34.0,52.0,45.0
44,49.0,59.0,59.0,34.0,52.0
42,44.0,49.0,59.0,59.0,34.0
58,42.0,44.0,49.0,59.0,59.0
56,58.0,42.0,44.0,49.0,59.0
61,56.0,58.0,42.0,44.0,49.0
59,61.0,56.0,58.0,42.0,44.0
32,59.0,61.0,56.0,58.0,42.0
44,32.0,59.0,61.0,56.0,58.0
51,44.0,32.0,59.0,61.0,56.0
66,51.0,44.0,32.0,59.0,61.0
66,66.0,51.0,44.0,32.0,59.0
49,66.0,66.0,51.0,44.0,32.0
48,49.0,66.0,66.0,51.0,44.0
58,48.0,49.0,66.0,66.0,51.0
54,58.0,48.0,49.0,66.0,66.0
76,54.0,58.0,48.0,49.0,66.0
82,76.0,54.0,58.0,48.0,49.0
64,82.0,76.0,54.0,58.0,48.0
72,64.0,82.0,76.0,54.0,58.0
85,72.0,64.0,82.0,76.0,54.0
63,85.0,72.0,64.0,82.0,76.0
60,63.0,85.0,72.0,64.0,82.0
66,60.0,63.0,85.0,72.0,64.0
61,66.0,60.0,63.0,85.0,72.0
54,61.0,66.0,60.0,63.0,85.0
41,54.0,61.0,66.0,60.0,63.0
46,41.0,54.0,61.0,66.0,60.0
40,46.0,41.0,54.0,61.0,66.0
48,40.0,46.0,41.0,54.0,61.0
45,48.0,40.0,46.0,41.0,54.0
45,45.0,48.0,40.0,46.0,41.0
53,45.0,45.0,48.0,40.0,46.0
54,53.0,45.0,45.0,48.0,40.0
44,54.0,53.0,45.0,45.0,48.0
35,44.0,54.0,53.0,45.0,45.0
68,35.0,44.0,54.0,53.0,45.0
69,68.0,35.0,44.0,54.0,53.0
39,69.0,68.0,35.0,44.0,54.0
53,39.0,69.0,68.0,35.0,44.0
59,53.0,39.0,69.0,68.0,35.0
57,59.0,53.0,39.0,69.0,68.0
60,57.0,59.0,53.0,39.0,69.0
73,60.0,57.0,59.0,53.0,39.0
64,73.0,60.0,57.0,59.0,53.0
31,64.0,73.0,60.0,57.0,59.0
85,31.0,64.0,73.0,60.0,57.0
60,85.0,31.0,64.0,73.0,60.0
73,60.0,85.0,31.0,64.0,73.0
62,73.0,60.0,85.0,31.0,64.0
78,62.0,73.0,60.0,85.0,31.0
78,78.0,62.0,73.0,60.0,85.0
76,78.0,78.0,62.0,73.0,60.0
69,76.0,78.0,78.0,62.0,73.0
87,69.0,76.0,78.0,78.0,62.0
91,87.0,69.0,76.0,78.0,78.0
79,91.0,87.0,69.0,76.0,78.0
107,79.0,91.0,87.0,69.0,76.0
91,107.0,79.0,91.0,87.0,69.0
82,91.0,107.0,79.0,91.0,87.0
76,82.0,91.0,107.0,79.0,91.0
72,76.0,82.0,91.0,107.0,79.0
57,72.0,76.0,82.0,91.0,107.0
66,57.0,72.0,76.0,82.0,91.0
38,66.0,57.0,72.0,76.0,82.0
28,38.0,66.0,57.0,72.0,76.0
26,28.0,38.0,66.0,57.0,72.0
21,26.0,28.0,38.0,66.0,57.0
18,21.0,26.0,28.0,38.0,66.0
33,18.0,21.0,26.0,28.0,38.0
46,33.0,18.0,21.0,26.0,28.0
51,46.0,33.0,18.0,21.0,26.0
45,51.0,46.0,33.0,18.0,21.0
32,45.0,51.0,46.0,33.0,18.0
46,32.0,45.0,51.0,46.0,33.0
65,46.0,32.0,45.0,51.0,46.0
65,65.0,46.0,32.0,45.0,51.0
69,65.0,65.0,46.0,32.0,45.0
48,69.0,65.0,65.0,46.0,32.0
31,48.0,69.0,65.0,65.0,46.0
26,31.0,48.0,69.0,65.0,65.0
24,26.0,31.0,48.0,69.0,65.0
18,24.0,26.0,31.0,48.0,69.0
22,18.0,24.0,26.0,31.0,48.0
19,22.0,18.0,24.0,26.0,31.0
16,19.0,22.0,18.0,24.0,26.0
10,16.0,19.0,22.0,18.0,24.0
24,10.0,16.0,19.0,22.0,18.0
38,24.0,10.0,16.0,19.0,22.0
22,38.0,24.0,10.0,16.0,19.0
17,22.0,38.0,24.0,10.0,16.0
23,17.0,22.0,38.0,24.0,10.0
46,23.0,17.0,22.0,38.0,24.0
37,46.0,23.0,17.0,22.0,38.0
36,37.0,46.0,23.0,17.0,22.0
34,36.0,37.0,46.0,23.0,17.0
68,34.0,36.0,37.0,46.0,23.0
52,68.0,34.0,36.0,37.0,46.0
57,52.0,68.0,34.0,36.0,37.0
71,57.0,52.0,68.0,34.0,36.0
67,71.0,57.0,52.0,68.0,34.0
70,67.0,71.0,57.0,52.0,68.0
43,70.0,67.0,71.0,57.0,52.0
71,43.0,70.0,67.0,71.0,57.0
58,71.0,43.0,70.0,67.0,71.0
69,58.0,71.0,43.0,70.0,67.0
73,69.0,58.0,71.0,43.0,70.0
62,73.0,69.0,58.0,71.0,43.0
81,62.0,73.0,69.0,58.0,71.0
114,81.0,62.0,73.0,69.0,58.0
74,114.0,81.0,62.0,73.0,69.0
54,74.0,114.0,81.0,62.0,73.0
