demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4}
200,149.0,235.0,151.0,151.0
194,200.0,149.0,235.0,151.0
200,194.0,200.0,149.0,235.0
197,200.0,194.0,200.0,149.0
204,197.0,200.0,194.0,200.0
195,204.0,197.0,200.0,194.0
187,195.0,204.0,197.0,200.0
193,187.0,195.0,204.0,197.0
242,193.0,187.0,195.0,204.0
154,242.0,193.0,187.0,195.0
237,154.0,242.0,193.0,187.0
235,237.0,154.0,242.0,193.0
175,235.0,237.0,154.0,242.0
243,175.0,235.0,237.0,154.0
237,243.0,175.0,235.0,237.0
208,237.0,243.0,175.0,235.0
273,208.0,237.0,243.0,175.0
183,273.0,208.0,237.0,243.0
207,183.0,273.0,208.0,237.0
221,207.0,183.0,273.0,208.0
219,221.0,207.0,183.0,273.0
193,219.0,221.0,207.0,183.0
224,193.0,219.0,221.0,207.0
194,224.0,193.0,219.0,221.0
178,194.0,224.0,193.0,219.0
103,178.0,194.0,224.0,193.0
174,103.0,178.0,194.0,224.0
166,174.0,103.0,178.0,194.0
191,166.0,174.0,103.0,178.0
170,191.0,166.0,174.0,103.0
177,170.0,191.0,166.0,174.0
214,177.0,170.0,191.0,166.0
173,214.0,177.0,170.0,191.0
169,173.0,214.0,177.0,170.0
165,169.0,173.0,214.0,177.0
98,165.0,169.0,173.0,214.0
212,98.0,165.0,169.0,173.0
173,212.0,98.0,165.0,169.0
193,173.0,212.0,98.0,165.0
167,193.0,173.0,212.0,98.0
205,167.0,193.0,173.0,212.0
212,205.0,167.0,193.0,173.0
190,212.0,205.0,167.0,193.0
184,190.0,212.0,205.0,167.0
172,184.0,190.0,212.0,205.0
169,172.0,184.0,190.0,212.0
222,169.0,172.0,184.0,190.0
195,222.0,169.0,172.0,184.0
168,195.0,222.0,169.0,172.0
157,168.0,195.0,222.0,169.0
190,157.0,168.0,195.0,222.0
216,190.0,157.0,168.0,195.0
217,216.0,190.0,157.0,168.0
240,217.0,216.0,190.0,157.0
216,240.0,217.0,216.0,190.0
205,216.0,240.0,217.0,216.0
206,205.0,216.0,240.0,217.0
244,206.0,205.0,216.0,240.0
228,244.0,206.0,205.0,216.0
216,228.0,244.0,206.0,205.0
198,216.0,228.0,244.0,206.0
179,198.0,216.0,228.0,244.0
190,179.0,198.0,216.0,228.0
201,190.0,179.0,198.0,216.0
187,201.0,190.0,179.0,198.0
185,187.0,201.0,190.0,179.0
193,185.0,187.0,201.0,190.0
211,193.0,185.0,187.0,201.0
201,211.0,193.0,185.0,187.0
188,201.0,211.0,193.0,185.0
190,188.0,201.0,211.0,193.0
192,190.0,188.0,201.0,211.0
183,192.0,190.0,188.0,201.0
156,183.0,192.0,190.0,188.0
157,156.0,183.0,192.0,190.0
146,157.0,156.0,183.0,192.0
106,146.0,157.0,156.0,183.0
189,106.0,146.0,157.0,156.0
151,189.0,106.0,146.0,157.0
165,151.0,189.0,106.0,146.0
178,165.0,151.0,189.0,106.0
177,178.0,165.0,151.0,189.0
193,177.0,178.0,165.0,151.0
166,193.0,177.0,178.0,165.0
182,166.0,193.0,177.0,178.0
182,182.0,166.0,193.0,177.0
78,182.0,182.0,166.0,193.0
174,78.0,182.0,182.0,166.0
177,174.0,78.0,182.0,182.0
174,177.0,174.0,78.0,182.0
177,174.0,177.0,174.0,78.0
160,177.0,174.0,177.0,174.0
181,160.0,177.0,174.0,177.0
168,181.0,160.0,177.0,174.0
150,168.0,181.0,160.0,177.0
190,150.0,168.0,181.0,160.0
166,190.0,150.0,168.0,181.0
209,166.0,190.0,150.0,168.0
214,209.0,166.0,190.0,150.0
248,214.0,209.0,166.0,190.0
192,248.0,214.0,209.0,166.0
191,192.0,248.0,214.0,209.0
159,191.0,192.0,248.0,214.0
181,159.0,191.0,192.0,248.0
282,181.0,159.0,191.0,192.0
203,282.0,181.0,159.0,191.0
210,203.0,282.0,181.0,159.0
210,210.0,203.0,282.0,181.0
188,210.0,210.0,203.0,282.0
199,188.0,210.0,210.0,203.0
173,199.0,188.0,210.0,210.0
171,173.0,199.0,188.0,210.0
142,171.0,173.0,199.0,188.0
153,142.0,171.0,173.0,199.0
166,153.0,142.0,171.0,173.0
180,166.0,153.0,142.0,171.0
145,180.0,166.0,153.0,142.0
159,145.0,180.0,166.0,153.0
188,159.0,145.0,180.0,166.0
151,188.0,159.0,145.0,180.0
171,151.0,188.0,159.0,145.0
137,171.0,151.0,188.0,159.0
156,137.0,171.0,151.0,188.0
149,156.0,137.0,171.0,151.0
131,149.0,156.0,137.0,171.0
172,131.0,149.0,156.0,137.0
92,172.0,131.0,149.0,156.0
104,92.0,172.0,131.0,149.0
212,104.0,92.0,172.0,131.0
191,212.0,104.0,92.0,172.0
235,191.0,212.0,104.0,92.0
228,235.0,191.0,212.0,104.0
240,228.0,235.0,191.0,212.0
184,240.0,228.0,235.0,191.0
260,184.0,240.0,228.0,235.0
199,260.0,184.0,240.0,228.0
155,199.0,260.0,184.0,240.0
178,155.0,199.0,260.0,184.0
256,178.0,155.0,199.0,260.0
232,256.0,178.0,155.0,199.0
259,232.0,256.0,178.0,155.0
213,259.0,232.0,256.0,178.0
213,213.0,259.0,232.0,256.0
169,213.0,213.0,259.0,232.0
231,169.0,213.0,213.0,259.0
198,231.0,169.0,213.0,213.0
220,198.0,231.0,169.0,213.0
240,220.0,198.0,231.0,169.0
273,240.0,220.0,198.0,231.0
271,273.0,240.0,220.0,198.0
278,271.0,273.0,240.0,220.0
293,278.0,271.0,273.0,240.0
177,293.0,278.0,271.0,273.0
