demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
4,11.0,3.0,1.0,4.0,1.0
3,4.0,11.0,3.0,1.0,4.0
7,3.0,4.0,11.0,3.0,1.0
7,7.0,3.0,4.0,11.0,3.0
2,7.0,7.0,3.0,4.0,11.0
3,2.0,7.0,7.0,3.0,4.0
2,3.0,2.0,7.0,7.0,3.0
8,2.0,3.0,2.0,7.0,7.0
12,8.0,2.0,3.0,2.0,7.0
7,12.0,8.0,2.0,3.0,2.0
7,7.0,12.0,8.0,2.0,3.0
4,7.0,7.0,12.0,8.0,2.0
3,4.0,7.0,7.0,12.0,8.0
4,3.0,4.0,7.0,7.0,12.0
7,4.0,3.0,4.0,7.0,7.0
4,7.0,4.0,3.0,4.0,7.0
5,4.0,7.0,4.0,3.0,4.0
6,5.0,4.0,7.0,4.0,3.0
6,6.0,5.0,4.0,7.0,4.0
11,6.0,6.0,5.0,4.0,7.0
2,11.0,6.0,6.0,5.0,4.0
6,2.0,11.0,6.0,6.0,5.0
1,6.0,2.0,11.0,6.0,6.0
1,1.0,6.0,2.0,11.0,6.0
9,1.0,1.0,6.0,2.0,11.0
6,9.0,1.0,1.0,6.0,2.0
10,6.0,9.0,1.0,1.0,6.0
4,10.0,6.0,9.0,1.0,1.0
4,4.0,10.0,6.0,9.0,1.0
12,4.0,4.0,10.0,6.0,9.0
5,12.0,4.0,4.0,10.0,6.0
12,5.0,12.0,4.0,4.0,10.0
13,12.0,5.0,12.0,4.0,4.0
7,13.0,12.0,5.0,12.0,4.0
2,7.0,13.0,12.0,5.0,12.0
18,2.0,7.0,13.0,12.0,5.0
11,18.0,2.0,7.0,13.0,12.0
10,11.0,18.0,2.0,7.0,13.0
7,10.0,11.0,18.0,2.0,7.0
10,7.0,10.0,11.0,18.0,2.0
12,10.0,7.0,10.0,11.0,18.0
8,12.0,10.0,7.0,10.0,11.0
10,8.0,12.0,10.0,7.0,10.0
4,10.0,8.0,12.0,10.0,7.0
10,4.0,10.0,8.0,12.0,10.0
10,10.0,4.0,10.0,8.0,12.0
6,10.0,10.0,4.0,10.0,8.0
0,6.0,10.0,10.0,4.0,10.0
5,0.0,6.0,10.0,10.0,4.0
11,5.0,0.0,6.0,10.0,10.0
11,11.0,5.0,0.0,6.0,10.0
