demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4}
39,40.0,51.0,44.0,18.0
48,39.0,40.0,51.0,44.0
46,48.0,39.0,40.0,51.0
45,46.0,48.0,39.0,40.0
31,45.0,46.0,48.0,39.0
33,31.0,45.0,46.0,48.0
51,33.0,31.0,45.0,46.0
47,51.0,33.0,31.0,45.0
58,47.0,51.0,33.0,31.0
44,58.0,47.0,51.0,33.0
52,44.0,58.0,47.0,51.0
60,52.0,44.0,58.0,47.0
61,60.0,52.0,44.0,58.0
42,61.0,60.0,52.0,44.0
48,42.0,61.0,60.0,52.0
60,48.0,42.0,61.0,60.0
51,60.0,48.0,42.0,61.0
61,51.0,60.0,48.0,42.0
56,61.0,51.0,60.0,48.0
62,56.0,61.0,51.0,60.0
61,62.0,56.0,61.0,51.0
36,61.0,62.0,56.0,61.0
50,36.0,61.0,62.0,56.0
26,50.0,36.0,61.0,62.0
40,26.0,50.0,36.0,61.0
18,40.0,26.0,50.0,36.0
51,18.0,40.0,26.0,50.0
38,51.0,18.0,40.0,26.0
41,38.0,51.0,18.0,40.0
48,41.0,38.0,51.0,18.0
32,48.0,41.0,38.0,51.0
51,32.0,48.0,41.0,38.0
36,51.0,32.0,48.0,41.0
36,36.0,51.0,32.0,48.0
42,36.0,36.0,51.0,32.0
23,42.0,36.0,36.0,51.0
60,23.0,42.0,36.0,36.0
47,60.0,23.0,42.0,36.0
37,47.0,60.0,23.0,42.0
50,37.0,47.0,60.0,23.0
50,50.0,37.0,47.0,60.0
87,50.0,50.0,37.0,47.0
43,87.0,50.0,50.0,37.0
53,43.0,87.0,50.0,50.0
28,53.0,43.0,87.0,50.0
44,28.0,53.0,43.0,87.0
28,44.0,28.0,53.0,43.0
44,28.0,44.0,28.0,53.0
10,44.0,28.0,44.0,28.0
38,10.0,44.0,28.0,44.0
29,38.0,10.0,44.0,28.0
48,29.0,38.0,10.0,44.0
40,48.0,29.0,38.0,10.0
36,40.0,48.0,29.0,38.0
34,36.0,40.0,48.0,29.0
48,34.0,36.0,40.0,48.0
44,48.0,34.0,36.0,40.0
16,44.0,48.0,34.0,36.0
66,16.0,44.0,48.0,34.0
51,66.0,16.0,44.0,48.0
30,51.0,66.0,16.0,44.0
65,30.0,51.0,66.0,16.0
67,65.0,30.0,51.0,66.0
38,67.0,65.0,30.0,51.0
35,38.0,67.0,65.0,30.0
65,35.0,38.0,67.0,65.0
54,65.0,35.0,38.0,67.0
44,54.0,65.0,35.0,38.0
47,44.0,54.0,65.0,35.0
50,47.0,44.0,54.0,65.0
64,50.0,47.0,44.0,54.0
74,64.0,50.0,47.0,44.0
39,74.0,64.0,50.0,47.0
40,39.0,74.0,64.0,50.0
29,40.0,39.0,74.0,64.0
11,29.0,40.0,39.0,74.0
24,11.0,29.0,40.0,39.0
68,24.0,11.0,29.0,40.0
58,68.0,24.0,11.0,29.0
37,58.0,68.0,24.0,11.0
60,37.0,58.0,68.0,24.0
41,60.0,37.0,58.0,68.0
47,41.0,60.0,37.0,58.0
56,47.0,41.0,60.0,37.0
51,56.0,47.0,41.0,60.0
62,51.0,56.0,47.0,41.0
22,62.0,51.0,56.0,47.0
63,22.0,62.0,51.0,56.0
53,63.0,22.0,62.0,51.0
67,53.0,63.0,22.0,62.0
74,67.0,53.0,63.0,22.0
64,74.0,67.0,53.0,63.0
68,64.0,74.0,67.0,53.0
54,68.0,64.0,74.0,67.0
53,54.0,68.0,64.0,74.0
60,53.0,54.0,68.0,64.0
67,60.0,53.0,54.0,68.0
74,67.0,60.0,53.0,54.0
55,74.0,67.0,60.0,53.0
52,55.0,74.0,67.0,60.0
49,52.0,55.0,74.0,67.0
45,49.0,52.0,55.0,74.0
62,45.0,49.0,52.0,55.0
71,62.0,45.0,49.0,52.0
63,71.0,62.0,45.0,49.0
36,63.0,71.0,62.0,45.0
23,36.0,63.0,71.0,62.0
19,23.0,36.0,63.0,71.0
22,19.0,23.0,36.0,63.0
32,22.0,19.0,23.0,36.0
38,32.0,22.0,19.0,23.0
64,38.0,32.0,22.0,19.0
54,64.0,38.0,32.0,22.0
54,54.0,64.0,38.0,32.0
76,54.0,54.0,64.0,38.0
74,76.0,54.0,54.0,64.0
74,74.0,76.0,54.0,54.0
79,74.0,74.0,76.0,54.0
57,79.0,74.0,74.0,76.0
80,57.0,79.0,74.0,74.0
88,80.0,57.0,79.0,74.0
75,88.0,80.0,57.0,79.0
78,75.0,88.0,80.0,57.0
24,78.0,75.0,88.0,80.0
57,24.0,78.0,75.0,88.0
59,57.0,24.0,78.0,75.0
35,59.0,57.0,24.0,78.0
31,35.0,59.0,57.0,24.0
112,31.0,35.0,59.0,57.0
107,112.0,31.0,35.0,59.0
81,107.0,112.0,31.0,35.0
83,81.0,107.0,112.0,31.0
67,83.0,81.0,107.0,112.0
92,67.0,83.0,81.0,107.0
72,92.0,67.0,83.0,81.0
53,72.0,92.0,67.0,83.0
26,53.0,72.0,92.0,67.0
37,26.0,53.0,72.0,92.0
61,37.0,26.0,53.0,72.0
77,61.0,37.0,26.0,53.0
83,77.0,61.0,37.0,26.0
69,83.0,77.0,61.0,37.0
70,69.0,83.0,77.0,61.0
44,70.0,69.0,83.0,77.0
59,44.0,70.0,69.0,83.0
62,59.0,44.0,70.0,69.0
41,62.0,59.0,44.0,70.0
60,41.0,62.0,59.0,44.0
41,60.0,41.0,62.0,59.0
37,41.0,60.0,41.0,62.0
52,37.0,41.0,60.0,41.0
48,52.0,37.0,41.0,60.0
27,48.0,52.0,37.0,41.0
