demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
16,52.0,25.0,46.0,40.0,40.0
46,16.0,52.0,25.0,46.0,40.0
37,46.0,16.0,52.0,25.0,46.0
31,37.0,46.0,16.0,52.0,25.0
50,31.0,37.0,46.0,16.0,52.0
43,50.0,31.0,37.0,46.0,16.0
16,43.0,50.0,31.0,37.0,46.0
55,16.0,43.0,50.0,31.0,37.0
59,55.0,16.0,43.0,50.0,31.0
52,59.0,55.0,16.0,43.0,50.0
65,52.0,59.0,55.0,16.0,43.0
26,65.0,52.0,59.0,55.0,16.0
53,26.0,65.0,52.0,59.0,55.0
44,53.0,26.0,65.0,52.0,59.0
52,44.0,53.0,26.0,65.0,52.0
36,52.0,44.0,53.0,26.0,65.0
58,36.0,52.0,44.0,53.0,26.0
58,58.0,36.0,52.0,44.0,53.0
32,58.0,58.0,36.0,52.0,44.0
37,32.0,58.0,58.0,36.0,52.0
50,37.0,32.0,58.0,58.0,36.0
55,50.0,37.0,32.0,58.0,58.0
22,55.0,50.0,37.0,32.0,58.0
47,22.0,55.0,50.0,37.0,32.0
15,47.0,22.0,55.0,50.0,37.0
49,15.0,47.0,22.0,55.0,50.0
32,49.0,15.0,47.0,22.0,55.0
26,32.0,49.0,15.0,47.0,22.0
63,26.0,32.0,49.0,15.0,47.0
59,63.0,26.0,32.0,49.0,15.0
41,59.0,63.0,26.0,32.0,49.0
51,41.0,59.0,63.0,26.0,32.0
48,51.0,41.0,59.0,63.0,26.0
34,48.0,51.0,41.0,59.0,63.0
18,34.0,48.0,51.0,41.0,59.0
59,18.0,34.0,48.0,51.0,41.0
37,59.0,18.0,34.0,48.0,51.0
51,37.0,59.0,18.0,34.0,48.0
53,51.0,37.0,59.0,18.0,34.0
50,53.0,51.0,37.0,59.0,18.0
34,50.0,53.0,51.0,37.0,59.0
55,34.0,50.0,53.0,51.0,37.0
50,55.0,34.0,50.0,53.0,51.0
71,50.0,55.0,34.0,50.0,53.0
54,71.0,50.0,55.0,34.0,50.0
63,54.0,71.0,50.0,55.0,34.0
25,63.0,54.0,71.0,50.0,55.0
60,25.0,63.0,54.0,71.0,50.0
55,60.0,25.0,63.0,54.0,71.0
47,55.0,60.0,25.0,63.0,54.0
42,47.0,55.0,60.0,25.0,63.0
81,42.0,47.0,55.0,60.0,25.0
55,81.0,42.0,47.0,55.0,60.0
69,55.0,81.0,42.0,47.0,55.0
53,69.0,55.0,81.0,42.0,47.0
32,53.0,69.0,55.0,81.0,42.0
89,32.0,53.0,69.0,55.0,81.0
49,89.0,32.0,53.0,69.0,55.0
72,49.0,89.0,32.0,53.0,69.0
44,72.0,49.0,89.0,32.0,53.0
81,44.0,72.0,49.0,89.0,32.0
35,81.0,44.0,72.0,49.0,89.0
73,35.0,81.0,44.0,72.0,49.0
49,73.0,35.0,81.0,44.0,72.0
55,49.0,73.0,35.0,81.0,44.0
54,55.0,49.0,73.0,35.0,81.0
49,54.0,55.0,49.0,73.0,35.0
42,49.0,54.0,55.0,49.0,73.0
61,42.0,49.0,54.0,55.0,49.0
70,61.0,42.0,49.0,54.0,55.0
68,70.0,61.0,42.0,49.0,54.0
61,68.0,70.0,61.0,42.0,49.0
58,61.0,68.0,70.0,61.0,42.0
77,58.0,61.0,68.0,70.0,61.0
59,77.0,58.0,61.0,68.0,70.0
23,59.0,77.0,58.0,61.0,68.0
68,23.0,59.0,77.0,58.0,61.0
79,68.0,23.0,59.0,77.0,58.0
60,79.0,68.0,23.0,59.0,77.0
66,60.0,79.0,68.0,23.0,59.0
50,66.0,60.0,79.0,68.0,23.0
49,50.0,66.0,60.0,79.0,68.0
49,49.0,50.0,66.0,60.0,79.0
45,49.0,49.0,50.0,66.0,60.0
72,45.0,49.0,49.0,50.0,66.0
8,72.0,45.0,49.0,49.0,50.0
92,8.0,72.0,45.0,49.0,49.0
68,92.0,8.0,72.0,45.0,49.0
52,68.0,92.0,8.0,72.0,45.0
59,52.0,68.0,92.0,8.0,72.0
60,59.0,52.0,68.0,92.0,8.0
72,60.0,59.0,52.0,68.0,92.0
52,72.0,60.0,59.0,52.0,68.0
74,52.0,72.0,60.0,59.0,52.0
73,74.0,52.0,72.0,60.0,59.0
63,73.0,74.0,52.0,72.0,60.0
51,63.0,73.0,74.0,52.0,72.0
90,51.0,63.0,73.0,74.0,52.0
42,90.0,51.0,63.0,73.0,74.0
61,42.0,90.0,51.0,63.0,73.0
79,61.0,42.0,90.0,51.0,63.0
58,79.0,61.0,42.0,90.0,51.0
59,58.0,79.0,61.0,42.0,90.0
72,59.0,58.0,79.0,61.0,42.0
113,72.0,59.0,58.0,79.0,61.0
65,113.0,72.0,59.0,58.0,79.0
90,65.0,113.0,72.0,59.0,58.0
82,90.0,65.0,113.0,72.0,59.0
70,82.0,90.0,65.0,113.0,72.0
94,70.0,82.0,90.0,65.0,113.0
69,94.0,70.0,82.0,90.0,65.0
73,69.0,94.0,70.0,82.0,90.0
103,73.0,69.0,94.0,70.0,82.0
76,103.0,73.0,69.0,94.0,70.0
69,76.0,103.0,73.0,69.0,94.0
79,69.0,76.0,103.0,73.0,69.0
65,79.0,69.0,76.0,103.0,73.0
89,65.0,79.0,69.0,76.0,103.0
150,89.0,65.0,79.0,69.0,76.0
73,150.0,89.0,65.0,79.0,69.0
102,73.0,150.0,89.0,65.0,79.0
105,102.0,73.0,150.0,89.0,65.0
102,105.0,102.0,73.0,150.0,89.0
91,102.0,105.0,102.0,73.0,150.0
52,91.0,102.0,105.0,102.0,73.0
51,52.0,91.0,102.0,105.0,102.0
24,51.0,52.0,91.0,102.0,105.0
132,24.0,51.0,52.0,91.0,102.0
102,132.0,24.0,51.0,52.0,91.0
104,102.0,132.0,24.0,51.0,52.0
122,104.0,102.0,132.0,24.0,51.0
95,122.0,104.0,102.0,132.0,24.0
78,95.0,122.0,104.0,102.0,132.0
95,78.0,95.0,122.0,104.0,102.0
136,95.0,78.0,95.0,122.0,104.0
73,136.0,95.0,78.0,95.0,122.0
88,73.0,136.0,95.0,78.0,95.0
159,88.0,73.0,136.0,95.0,78.0
129,159.0,88.0,73.0,136.0,95.0
107,129.0,159.0,88.0,73.0,136.0
127,107.0,129.0,159.0,88.0,73.0
135,127.0,107.0,129.0,159.0,88.0
109,135.0,127.0,107.0,129.0,159.0
147,109.0,135.0,127.0,107.0,129.0
71,147.0,109.0,135.0,127.0,107.0
125,71.0,147.0,109.0,135.0,127.0
90,125.0,71.0,147.0,109.0,135.0
83,90.0,125.0,71.0,147.0,109.0
76,83.0,90.0,125.0,71.0,147.0
88,76.0,83.0,90.0,125.0,71.0
56,88.0,76.0,83.0,90.0,125.0
42,56.0,88.0,76.0,83.0,90.0
