demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
9,13.0,10.0,13.0,12.0,4.0
9,9.0,13.0,10.0,13.0,12.0
7,9.0,9.0,13.0,10.0,13.0
6,7.0,9.0,9.0,13.0,10.0
20,6.0,7.0,9.0,9.0,13.0
11,20.0,6.0,7.0,9.0,9.0
10,11.0,20.0,6.0,7.0,9.0
14,10.0,11.0,20.0,6.0,7.0
13,14.0,10.0,11.0,20.0,6.0
15,13.0,14.0,10.0,11.0,20.0
17,15.0,13.0,14.0,10.0,11.0
8,17.0,15.0,13.0,14.0,10.0
8,8.0,17.0,15.0,13.0,14.0
20,8.0,8.0,17.0,15.0,13.0
19,20.0,8.0,8.0,17.0,15.0
13,19.0,20.0,8.0,8.0,17.0
15,13.0,19.0,20.0,8.0,8.0
17,15.0,13.0,19.0,20.0,8.0
17,17.0,15.0,13.0,19.0,20.0
9,17.0,17.0,15.0,13.0,19.0
6,9.0,17.0,17.0,15.0,13.0
8,6.0,9.0,17.0,17.0,15.0
7,8.0,6.0,9.0,17.0,17.0
15,7.0,8.0,6.0,9.0,17.0
10,15.0,7.0,8.0,6.0,9.0
1,10.0,15.0,7.0,8.0,6.0
13,1.0,10.0,15.0,7.0,8.0
13,13.0,1.0,10.0,15.0,7.0
7,13.0,13.0,1.0,10.0,15.0
12,7.0,13.0,13.0,1.0,10.0
4,12.0,7.0,13.0,13.0,1.0
22,4.0,12.0,7.0,13.0,13.0
6,22.0,4.0,12.0,7.0,13.0
21,6.0,22.0,4.0,12.0,7.0
13,21.0,6.0,22.0,4.0,12.0
6,13.0,21.0,6.0,22.0,4.0
28,6.0,13.0,21.0,6.0,22.0
28,28.0,6.0,13.0,21.0,6.0
22,28.0,28.0,6.0,13.0,21.0
11,22.0,28.0,28.0,6.0,13.0
29,11.0,22.0,28.0,28.0,6.0
24,29.0,11.0,22.0,28.0,28.0
27,24.0,29.0,11.0,22.0,28.0
10,27.0,24.0,29.0,11.0,22.0
30,10.0,27.0,24.0,29.0,11.0
14,30.0,10.0,27.0,24.0,29.0
12,14.0,30.0,10.0,27.0,24.0
6,12.0,14.0,30.0,10.0,27.0
0,6.0,12.0,14.0,30.0,10.0
7,0.0,6.0,12.0,14.0,30.0
20,7.0,0.0,6.0,12.0,14.0
11,20.0,7.0,0.0,6.0,12.0
21,11.0,20.0,7.0,0.0,6.0
0,21.0,11.0,20.0,7.0,0.0
9,0.0,21.0,11.0,20.0,7.0
15,9.0,0.0,21.0,11.0,20.0
12,15.0,9.0,0.0,21.0,11.0
12,12.0,15.0,9.0,0.0,21.0
3,12.0,12.0,15.0,9.0,0.0
17,3.0,12.0,12.0,15.0,9.0
16,17.0,3.0,12.0,12.0,15.0
14,16.0,17.0,3.0,12.0,12.0
17,14.0,16.0,17.0,3.0,12.0
8,17.0,14.0,16.0,17.0,3.0
9,8.0,17.0,14.0,16.0,17.0
13,9.0,8.0,17.0,14.0,16.0
17,13.0,9.0,8.0,17.0,14.0
7,17.0,13.0,9.0,8.0,17.0
9,7.0,17.0,13.0,9.0,8.0
23,9.0,7.0,17.0,13.0,9.0
96,23.0,9.0,7.0,17.0,13.0
71,96.0,23.0,9.0,7.0,17.0
47,71.0,96.0,23.0,9.0,7.0
84,47.0,71.0,96.0,23.0,9.0
67,84.0,47.0,71.0,96.0,23.0
28,67.0,84.0,47.0,71.0,96.0
91,28.0,67.0,84.0,47.0,71.0
96,91.0,28.0,67.0,84.0,47.0
73,96.0,91.0,28.0,67.0,84.0
78,73.0,96.0,91.0,28.0,67.0
69,78.0,73.0,96.0,91.0,28.0
71,69.0,78.0,73.0,96.0,91.0
68,71.0,69.0,78.0,73.0,96.0
56,68.0,71.0,69.0,78.0,73.0
79,56.0,68.0,71.0,69.0,78.0
23,79.0,56.0,68.0,71.0,69.0
87,23.0,79.0,56.0,68.0,71.0
88,87.0,23.0,79.0,56.0,68.0
79,88.0,87.0,23.0,79.0,56.0
100,79.0,88.0,87.0,23.0,79.0
78,100.0,79.0,88.0,87.0,23.0
54,78.0,100.0,79.0,88.0,87.0
88,54.0,78.0,100.0,79.0,88.0
64,88.0,54.0,78.0,100.0,79.0
73,64.0,88.0,54.0,78.0,100.0
90,73.0,64.0,88.0,54.0,78.0
93,90.0,73.0,64.0,88.0,54.0
89,93.0,90.0,73.0,64.0,88.0
82,89.0,93.0,90.0,73.0,64.0
52,82.0,89.0,93.0,90.0,73.0
81,52.0,82.0,89.0,93.0,90.0
71,81.0,52.0,82.0,89.0,93.0
38,71.0,81.0,52.0,82.0,89.0
55,38.0,71.0,81.0,52.0,82.0
91,55.0,38.0,71.0,81.0,52.0
66,91.0,55.0,38.0,71.0,81.0
70,66.0,91.0,55.0,38.0,71.0
70,70.0,66.0,91.0,55.0,38.0
