demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
45,37.0,52.0,54.0,62.0,61.0
59,45.0,37.0,52.0,54.0,62.0
54,59.0,45.0,37.0,52.0,54.0
34,54.0,59.0,45.0,37.0,52.0
54,34.0,54.0,59.0,45.0,37.0
48,54.0,34.0,54.0,59.0,45.0
76,48.0,54.0,34.0,54.0,59.0
45,76.0,48.0,54.0,34.0,54.0
59,45.0,76.0,48.0,54.0,34.0
46,59.0,45.0,76.0,48.0,54.0
66,46.0,59.0,45.0,76.0,48.0
45,66.0,46.0,59.0,45.0,76.0
35,45.0,66.0,46.0,59.0,45.0
42,35.0,45.0,66.0,46.0,59.0
62,42.0,35.0,45.0,66.0,46.0
42,62.0,42.0,35.0,45.0,66.0
49,42.0,62.0,42.0,35.0,45.0
41,49.0,42.0,62.0,42.0,35.0
37,41.0,49.0,42.0,62.0,42.0
44,37.0,41.0,49.0,42.0,62.0
48,44.0,37.0,41.0,49.0,42.0
40,48.0,44.0,37.0,41.0,49.0
39,40.0,48.0,44.0,37.0,41.0
35,39.0,40.0,48.0,44.0,37.0
29,35.0,39.0,40.0,48.0,44.0
30,29.0,35.0,39.0,40.0,48.0
66,30.0,29.0,35.0,39.0,40.0
48,66.0,30.0,29.0,35.0,39.0
44,48.0,66.0,30.0,29.0,35.0
45,44.0,48.0,66.0,30.0,29.0
31,45.0,44.0,48.0,66.0,30.0
41,31.0,45.0,44.0,48.0,66.0
29,41.0,31.0,45.0,44.0,48.0
48,29.0,41.0,31.0,45.0,44.0
21,48.0,29.0,41.0,31.0,45.0
45,21.0,48.0,29.0,41.0,31.0
23,45.0,21.0,48.0,29.0,41.0
39,23.0,45.0,21.0,48.0,29.0
30,39.0,23.0,45.0,21.0,48.0
35,30.0,39.0,23.0,45.0,21.0
39,35.0,30.0,39.0,23.0,45.0
46,39.0,35.0,30.0,39.0,23.0
30,46.0,39.0,35.0,30.0,39.0
24,30.0,46.0,39.0,35.0,30.0
27,24.0,30.0,46.0,39.0,35.0
32,27.0,24.0,30.0,46.0,39.0
37,32.0,27.0,24.0,30.0,46.0
20,37.0,32.0,27.0,24.0,30.0
13,20.0,37.0,32.0,27.0,24.0
39,13.0,20.0,37.0,32.0,27.0
43,39.0,13.0,20.0,37.0,32.0
48,43.0,39.0,13.0,20.0,37.0
52,48.0,43.0,39.0,13.0,20.0
7,52.0,48.0,43.0,39.0,13.0
36,7.0,52.0,48.0,43.0,39.0
39,36.0,7.0,52.0,48.0,43.0
43,39.0,36.0,7.0,52.0,48.0
37,43.0,39.0,36.0,7.0,52.0
39,37.0,43.0,39.0,36.0,7.0
40,39.0,37.0,43.0,39.0,36.0
30,40.0,39.0,37.0,43.0,39.0
40,30.0,40.0,39.0,37.0,43.0
50,40.0,30.0,40.0,39.0,37.0
30,50.0,40.0,30.0,40.0,39.0
13,30.0,50.0,40.0,30.0,40.0
20,13.0,30.0,50.0,40.0,30.0
40,20.0,13.0,30.0,50.0,40.0
23,40.0,20.0,13.0,30.0,50.0
29,23.0,40.0,20.0,13.0,30.0
30,29.0,23.0,40.0,20.0,13.0
18,30.0,29.0,23.0,40.0,20.0
22,18.0,30.0,29.0,23.0,40.0
8,22.0,18.0,30.0,29.0,23.0
16,8.0,22.0,18.0,30.0,29.0
11,16.0,8.0,22.0,18.0,30.0
3,11.0,16.0,8.0,22.0,18.0
22,3.0,11.0,16.0,8.0,22.0
12,22.0,3.0,11.0,16.0,8.0
28,12.0,22.0,3.0,11.0,16.0
15,28.0,12.0,22.0,3.0,11.0
29,15.0,28.0,12.0,22.0,3.0
17,29.0,15.0,28.0,12.0,22.0
17,17.0,29.0,15.0,28.0,12.0
7,17.0,17.0,29.0,15.0,28.0
23,7.0,17.0,17.0,29.0,15.0
4,23.0,7.0,17.0,17.0,29.0
28,4.0,23.0,7.0,17.0,17.0
51,28.0,4.0,23.0,7.0,17.0
27,51.0,28.0,4.0,23.0,7.0
32,27.0,51.0,28.0,4.0,23.0
21,32.0,27.0,51.0,28.0,4.0
44,21.0,32.0,27.0,51.0,28.0
50,44.0,21.0,32.0,27.0,51.0
46,50.0,44.0,21.0,32.0,27.0
36,46.0,50.0,44.0,21.0,32.0
54,36.0,46.0,50.0,44.0,21.0
37,54.0,36.0,46.0,50.0,44.0
56,37.0,54.0,36.0,46.0,50.0
74,56.0,37.0,54.0,36.0,46.0
54,74.0,56.0,37.0,54.0,36.0
35,54.0,74.0,56.0,37.0,54.0
64,35.0,54.0,74.0,56.0,37.0
47,64.0,35.0,54.0,74.0,56.0
53,47.0,64.0,35.0,54.0,74.0
31,53.0,47.0,64.0,35.0,54.0
21,31.0,53.0,47.0,64.0,35.0
27,21.0,31.0,53.0,47.0,64.0
16,27.0,21.0,31.0,53.0,47.0
12,16.0,27.0,21.0,31.0,53.0
18,12.0,16.0,27.0,21.0,31.0
29,18.0,12.0,16.0,27.0,21.0
35,29.0,18.0,12.0,16.0,27.0
32,35.0,29.0,18.0,12.0,16.0
49,32.0,35.0,29.0,18.0,12.0
25,49.0,32.0,35.0,29.0,18.0
35,25.0,49.0,32.0,35.0,29.0
53,35.0,25.0,49.0,32.0,35.0
24,53.0,35.0,25.0,49.0,32.0
40,24.0,53.0,35.0,25.0,49.0
31,40.0,24.0,53.0,35.0,25.0
39,31.0,40.0,24.0,53.0,35.0
41,39.0,31.0,40.0,24.0,53.0
21,41.0,39.0,31.0,40.0,24.0
22,21.0,41.0,39.0,31.0,40.0
35,22.0,21.0,41.0,39.0,31.0
23,35.0,22.0,21.0,41.0,39.0
14,23.0,35.0,22.0,21.0,41.0
42,14.0,23.0,35.0,22.0,21.0
52,42.0,14.0,23.0,35.0,22.0
29,52.0,42.0,14.0,23.0,35.0
29,29.0,52.0,42.0,14.0,23.0
55,29.0,29.0,52.0,42.0,14.0
44,55.0,29.0,29.0,52.0,42.0
33,44.0,55.0,29.0,29.0,52.0
28,33.0,44.0,55.0,29.0,29.0
33,28.0,33.0,44.0,55.0,29.0
34,33.0,28.0,33.0,44.0,55.0
66,34.0,33.0,28.0,33.0,44.0
50,66.0,34.0,33.0,28.0,33.0
60,50.0,66.0,34.0,33.0,28.0
52,60.0,50.0,66.0,34.0,33.0
50,52.0,60.0,50.0,66.0,34.0
33,50.0,52.0,60.0,50.0,66.0
35,33.0,50.0,52.0,60.0,50.0
26,35.0,33.0,50.0,52.0,60.0
40,26.0,35.0,33.0,50.0,52.0
53,40.0,26.0,35.0,33.0,50.0
40,53.0,40.0,26.0,35.0,33.0
36,40.0,53.0,40.0,26.0,35.0
44,36.0,40.0,53.0,40.0,26.0
45,44.0,36.0,40.0,53.0,40.0
33,45.0,44.0,36.0,40.0,53.0
