demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
62,67.0,51.0,69.0,21.0,45.0
106,62.0,67.0,51.0,69.0,21.0
60,106.0,62.0,67.0,51.0,69.0
49,60.0,106.0,62.0,67.0,51.0
82,49.0,60.0,106.0,62.0,67.0
106,82.0,49.0,60.0,106.0,62.0
61,106.0,82.0,49.0,60.0,106.0
89,61.0,106.0,82.0,49.0,60.0
80,89.0,61.0,106.0,82.0,49.0
68,80.0,89.0,61.0,106.0,82.0
70,68.0,80.0,89.0,61.0,106.0
58,70.0,68.0,80.0,89.0,61.0
65,58.0,70.0,68.0,80.0,89.0
114,65.0,58.0,70.0,68.0,80.0
94,114.0,65.0,58.0,70.0,68.0
103,94.0,114.0,65.0,58.0,70.0
95,103.0,94.0,114.0,65.0,58.0
114,95.0,103.0,94.0,114.0,65.0
67,114.0,95.0,103.0,94.0,114.0
51,67.0,114.0,95.0,103.0,94.0
58,51.0,67.0,114.0,95.0,103.0
86,58.0,51.0,67.0,114.0,95.0
50,86.0,58.0,51.0,67.0,114.0
44,50.0,86.0,58.0,51.0,67.0
38,44.0,50.0,86.0,58.0,51.0
39,38.0,44.0,50.0,86.0,58.0
39,39.0,38.0,44.0,50.0,86.0
60,39.0,39.0,38.0,44.0,50.0
68,60.0,39.0,39.0,38.0,44.0
78,68.0,60.0,39.0,39.0,38.0
61,78.0,68.0,60.0,39.0,39.0
62,61.0,78.0,68.0,60.0,39.0
51,62.0,61.0,78.0,68.0,60.0
52,51.0,62.0,61.0,78.0,68.0
16,52.0,51.0,62.0,61.0,78.0
63,16.0,52.0,51.0,62.0,61.0
64,63.0,16.0,52.0,51.0,62.0
75,64.0,63.0,16.0,52.0,51.0
50,75.0,64.0,63.0,16.0,52.0
73,50.0,75.0,64.0,63.0,16.0
88,73.0,50.0,75.0,64.0,63.0
51,88.0,73.0,50.0,75.0,64.0
67,51.0,88.0,73.0,50.0,75.0
68,67.0,51.0,88.0,73.0,50.0
74,68.0,67.0,51.0,88.0,73.0
56,74.0,68.0,67.0,51.0,88.0
64,56.0,74.0,68.0,67.0,51.0
64,64.0,56.0,74.0,68.0,67.0
64,64.0,64.0,56.0,74.0,68.0
85,64.0,64.0,64.0,56.0,74.0
95,85.0,64.0,64.0,64.0,56.0
102,95.0,85.0,64.0,64.0,64.0
63,102.0,95.0,85.0,64.0,64.0
88,63.0,102.0,95.0,85.0,64.0
73,88.0,63.0,102.0,95.0,85.0
107,73.0,88.0,63.0,102.0,95.0
93,107.0,73.0,88.0,63.0,102.0
73,93.0,107.0,73.0,88.0,63.0
72,73.0,93.0,107.0,73.0,88.0
66,72.0,73.0,93.0,107.0,73.0
57,66.0,72.0,73.0,93.0,107.0
71,57.0,66.0,72.0,73.0,93.0
77,71.0,57.0,66.0,72.0,73.0
56,77.0,71.0,57.0,66.0,72.0
60,56.0,77.0,71.0,57.0,66.0
60,60.0,56.0,77.0,71.0,57.0
60,60.0,60.0,56.0,77.0,71.0
77,60.0,60.0,60.0,56.0,77.0
71,77.0,60.0,60.0,60.0,56.0
94,71.0,77.0,60.0,60.0,60.0
80,94.0,71.0,77.0,60.0,60.0
78,80.0,94.0,71.0,77.0,60.0
56,78.0,80.0,94.0,71.0,77.0
55,56.0,78.0,80.0,94.0,71.0
30,55.0,56.0,78.0,80.0,94.0
38,30.0,55.0,56.0,78.0,80.0
34,38.0,30.0,55.0,56.0,78.0
44,34.0,38.0,30.0,55.0,56.0
46,44.0,34.0,38.0,30.0,55.0
65,46.0,44.0,34.0,38.0,30.0
39,65.0,46.0,44.0,34.0,38.0
46,39.0,65.0,46.0,44.0,34.0
73,46.0,39.0,65.0,46.0,44.0
60,73.0,46.0,39.0,65.0,46.0
70,60.0,73.0,46.0,39.0,65.0
47,70.0,60.0,73.0,46.0,39.0
64,47.0,70.0,60.0,73.0,46.0
68,64.0,47.0,70.0,60.0,73.0
66,68.0,64.0,47.0,70.0,60.0
64,66.0,68.0,64.0,47.0,70.0
82,64.0,66.0,68.0,64.0,47.0
88,82.0,64.0,66.0,68.0,64.0
