demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
12,10.0,6.0,6.0,8.0,12.0
5,12.0,10.0,6.0,6.0,8.0
19,5.0,12.0,10.0,6.0,6.0
9,19.0,5.0,12.0,10.0,6.0
8,9.0,19.0,5.0,12.0,10.0
29,8.0,9.0,19.0,5.0,12.0
9,29.0,8.0,9.0,19.0,5.0
7,9.0,29.0,8.0,9.0,19.0
3,7.0,9.0,29.0,8.0,9.0
4,3.0,7.0,9.0,29.0,8.0
12,4.0,3.0,7.0,9.0,29.0
4,12.0,4.0,3.0,7.0,9.0
7,4.0,12.0,4.0,3.0,7.0
3,7.0,4.0,12.0,4.0,3.0
8,3.0,7.0,4.0,12.0,4.0
10,8.0,3.0,7.0,4.0,12.0
11,10.0,8.0,3.0,7.0,4.0
12,11.0,10.0,8.0,3.0,7.0
10,12.0,11.0,10.0,8.0,3.0
4,10.0,12.0,11.0,10.0,8.0
7,4.0,10.0,12.0,11.0,10.0
7,7.0,4.0,10.0,12.0,11.0
3,7.0,7.0,4.0,10.0,12.0
12,3.0,7.0,7.0,4.0,10.0
7,12.0,3.0,7.0,7.0,4.0
9,7.0,12.0,3.0,7.0,7.0
2,9.0,7.0,12.0,3.0,7.0
14,2.0,9.0,7.0,12.0,3.0
8,14.0,2.0,9.0,7.0,12.0
2,8.0,14.0,2.0,9.0,7.0
7,2.0,8.0,14.0,2.0,9.0
18,7.0,2.0,8.0,14.0,2.0
20,18.0,7.0,2.0,8.0,14.0
0,20.0,18.0,7.0,2.0,8.0
3,0.0,20.0,18.0,7.0,2.0
11,3.0,0.0,20.0,18.0,7.0
13,11.0,3.0,0.0,20.0,18.0
14,13.0,11.0,3.0,0.0,20.0
4,14.0,13.0,11.0,3.0,0.0
10,4.0,14.0,13.0,11.0,3.0
24,10.0,4.0,14.0,13.0,11.0
12,24.0,10.0,4.0,14.0,13.0
5,12.0,24.0,10.0,4.0,14.0
20,5.0,12.0,24.0,10.0,4.0
9,20.0,5.0,12.0,24.0,10.0
7,9.0,20.0,5.0,12.0,24.0
13,7.0,9.0,20.0,5.0,12.0
7,13.0,7.0,9.0,20.0,5.0
0,7.0,13.0,7.0,9.0,20.0
2,0.0,7.0,13.0,7.0,9.0
24,2.0,0.0,7.0,13.0,7.0
2,24.0,2.0,0.0,7.0,13.0
12,2.0,24.0,2.0,0.0,7.0
2,12.0,2.0,24.0,2.0,0.0
14,2.0,12.0,2.0,24.0,2.0
19,14.0,2.0,12.0,2.0,24.0
17,19.0,14.0,2.0,12.0,2.0
20,17.0,19.0,14.0,2.0,12.0
3,20.0,17.0,19.0,14.0,2.0
16,3.0,20.0,17.0,19.0,14.0
15,16.0,3.0,20.0,17.0,19.0
5,15.0,16.0,3.0,20.0,17.0
14,5.0,15.0,16.0,3.0,20.0
5,14.0,5.0,15.0,16.0,3.0
5,5.0,14.0,5.0,15.0,16.0
1,5.0,5.0,14.0,5.0,15.0
4,1.0,5.0,5.0,14.0,5.0
8,4.0,1.0,5.0,5.0,14.0
12,8.0,4.0,1.0,5.0,5.0
6,12.0,8.0,4.0,1.0,5.0
111,6.0,12.0,8.0,4.0,1.0
86,111.0,6.0,12.0,8.0,4.0
88,86.0,111.0,6.0,12.0,8.0
89,88.0,86.0,111.0,6.0,12.0
81,89.0,88.0,86.0,111.0,6.0
39,81.0,89.0,88.0,86.0,111.0
118,39.0,81.0,89.0,88.0,86.0
100,118.0,39.0,81.0,89.0,88.0
94,100.0,118.0,39.0,81.0,89.0
79,94.0,100.0,118.0,39.0,81.0
81,79.0,94.0,100.0,118.0,39.0
69,81.0,79.0,94.0,100.0,118.0
81,69.0,81.0,79.0,94.0,100.0
80,81.0,69.0,81.0,79.0,94.0
97,80.0,81.0,69.0,81.0,79.0
36,97.0,80.0,81.0,69.0,81.0
89,36.0,97.0,80.0,81.0,69.0
110,89.0,36.0,97.0,80.0,81.0
109,110.0,89.0,36.0,97.0,80.0
117,109.0,110.0,89.0,36.0,97.0
124,117.0,109.0,110.0,89.0,36.0
111,124.0,117.0,109.0,110.0,89.0
90,111.0,124.0,117.0,109.0,110.0
103,90.0,111.0,124.0,117.0,109.0
92,103.0,90.0,111.0,124.0,117.0
91,92.0,103.0,90.0,111.0,124.0
94,91.0,92.0,103.0,90.0,111.0
89,94.0,91.0,92.0,103.0,90.0
96,89.0,94.0,91.0,92.0,103.0
62,96.0,89.0,94.0,91.0,92.0
111,62.0,96.0,89.0,94.0,91.0
84,111.0,62.0,96.0,89.0,94.0
56,84.0,111.0,62.0,96.0,89.0
57,56.0,84.0,111.0,62.0,96.0
85,57.0,56.0,84.0,111.0,62.0
94,85.0,57.0,56.0,84.0,111.0
64,94.0,85.0,57.0,56.0,84.0
78,64.0,94.0,85.0,57.0,56.0
96,78.0,64.0,94.0,85.0,57.0
64,96.0,78.0,64.0,94.0,85.0
59,64.0,96.0,78.0,64.0,94.0
57,59.0,64.0,96.0,78.0,64.0
61,57.0,59.0,64.0,96.0,78.0
72,61.0,57.0,59.0,64.0,96.0
65,72.0,61.0,57.0,59.0,64.0
64,65.0,72.0,61.0,57.0,59.0
74,64.0,65.0,72.0,61.0,57.0
70,74.0,64.0,65.0,72.0,61.0
83,70.0,74.0,64.0,65.0,72.0
78,83.0,70.0,74.0,64.0,65.0
70,78.0,83.0,70.0,74.0,64.0
93,70.0,78.0,83.0,70.0,74.0
86,93.0,70.0,78.0,83.0,70.0
76,86.0,93.0,70.0,78.0,83.0
90,76.0,86.0,93.0,70.0,78.0
64,90.0,76.0,86.0,93.0,70.0
41,64.0,90.0,76.0,86.0,93.0
110,41.0,64.0,90.0,76.0,86.0
97,110.0,41.0,64.0,90.0,76.0
78,97.0,110.0,41.0,64.0,90.0
55,78.0,97.0,110.0,41.0,64.0
86,55.0,78.0,97.0,110.0,41.0
83,86.0,55.0,78.0,97.0,110.0
98,83.0,86.0,55.0,78.0,97.0
89,98.0,83.0,86.0,55.0,78.0
62,89.0,98.0,83.0,86.0,55.0
99,62.0,89.0,98.0,83.0,86.0
97,99.0,62.0,89.0,98.0,83.0
121,97.0,99.0,62.0,89.0,98.0
127,121.0,97.0,99.0,62.0,89.0
144,127.0,121.0,97.0,99.0,62.0
130,144.0,127.0,121.0,97.0,99.0
144,130.0,144.0,127.0,121.0,97.0
143,144.0,130.0,144.0,127.0,121.0
160,143.0,144.0,130.0,144.0,127.0
167,160.0,143.0,144.0,130.0,144.0
125,167.0,160.0,143.0,144.0,130.0
107,125.0,167.0,160.0,143.0,144.0
164,107.0,125.0,167.0,160.0,143.0
160,164.0,107.0,125.0,167.0,160.0
354,160.0,164.0,107.0,125.0,167.0
170,354.0,160.0,164.0,107.0,125.0
