demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
75,97.0,82.0,105.0,51.0,32.0
111,75.0,97.0,82.0,105.0,51.0
86,111.0,75.0,97.0,82.0,105.0
79,86.0,111.0,75.0,97.0,82.0
84,79.0,86.0,111.0,75.0,97.0
82,84.0,79.0,86.0,111.0,75.0
83,82.0,84.0,79.0,86.0,111.0
97,83.0,82.0,84.0,79.0,86.0
59,97.0,83.0,82.0,84.0,79.0
94,59.0,97.0,83.0,82.0,84.0
92,94.0,59.0,97.0,83.0,82.0
74,92.0,94.0,59.0,97.0,83.0
58,74.0,92.0,94.0,59.0,97.0
68,58.0,74.0,92.0,94.0,59.0
100,68.0,58.0,74.0,92.0,94.0
87,100.0,68.0,58.0,74.0,92.0
104,87.0,100.0,68.0,58.0,74.0
95,104.0,87.0,100.0,68.0,58.0
74,95.0,104.0,87.0,100.0,68.0
101,74.0,95.0,104.0,87.0,100.0
112,101.0,74.0,95.0,104.0,87.0
88,112.0,101.0,74.0,95.0,104.0
80,88.0,112.0,101.0,74.0,95.0
65,80.0,88.0,112.0,101.0,74.0
53,65.0,80.0,88.0,112.0,101.0
75,53.0,65.0,80.0,88.0,112.0
91,75.0,53.0,65.0,80.0,88.0
92,91.0,75.0,53.0,65.0,80.0
97,92.0,91.0,75.0,53.0,65.0
97,97.0,92.0,91.0,75.0,53.0
107,97.0,97.0,92.0,91.0,75.0
84,107.0,97.0,97.0,92.0,91.0
73,84.0,107.0,97.0,97.0,92.0
85,73.0,84.0,107.0,97.0,97.0
37,85.0,73.0,84.0,107.0,97.0
77,37.0,85.0,73.0,84.0,107.0
100,77.0,37.0,85.0,73.0,84.0
80,100.0,77.0,37.0,85.0,73.0
101,80.0,100.0,77.0,37.0,85.0
122,101.0,80.0,100.0,77.0,37.0
151,122.0,101.0,80.0,100.0,77.0
124,151.0,122.0,101.0,80.0,100.0
104,124.0,151.0,122.0,101.0,80.0
101,104.0,124.0,151.0,122.0,101.0
141,101.0,104.0,124.0,151.0,122.0
114,141.0,101.0,104.0,124.0,151.0
134,114.0,141.0,101.0,104.0,124.0
82,134.0,114.0,141.0,101.0,104.0
102,82.0,134.0,114.0,141.0,101.0
118,102.0,82.0,134.0,114.0,141.0
167,118.0,102.0,82.0,134.0,114.0
177,167.0,118.0,102.0,82.0,134.0
145,177.0,167.0,118.0,102.0,82.0
98,145.0,177.0,167.0,118.0,102.0
164,98.0,145.0,177.0,167.0,118.0
177,164.0,98.0,145.0,177.0,167.0
162,177.0,164.0,98.0,145.0,177.0
186,162.0,177.0,164.0,98.0,145.0
165,186.0,162.0,177.0,164.0,98.0
176,165.0,186.0,162.0,177.0,164.0
165,176.0,165.0,186.0,162.0,177.0
130,165.0,176.0,165.0,186.0,162.0
137,130.0,165.0,176.0,165.0,186.0
143,137.0,130.0,165.0,176.0,165.0
110,143.0,137.0,130.0,165.0,176.0
111,110.0,143.0,137.0,130.0,165.0
111,111.0,110.0,143.0,137.0,130.0
123,111.0,111.0,110.0,143.0,137.0
122,123.0,111.0,111.0,110.0,143.0
127,122.0,123.0,111.0,111.0,110.0
128,127.0,122.0,123.0,111.0,111.0
114,128.0,127.0,122.0,123.0,111.0
134,114.0,128.0,127.0,122.0,123.0
114,134.0,114.0,128.0,127.0,122.0
66,114.0,134.0,114.0,128.0,127.0
76,66.0,114.0,134.0,114.0,128.0
164,76.0,66.0,114.0,134.0,114.0
174,164.0,76.0,66.0,114.0,134.0
105,174.0,164.0,76.0,66.0,114.0
114,105.0,174.0,164.0,76.0,66.0
134,114.0,105.0,174.0,164.0,76.0
151,134.0,114.0,105.0,174.0,164.0
131,151.0,134.0,114.0,105.0,174.0
149,131.0,151.0,134.0,114.0,105.0
120,149.0,131.0,151.0,134.0,114.0
51,120.0,149.0,131.0,151.0,134.0
132,51.0,120.0,149.0,131.0,151.0
104,132.0,51.0,120.0,149.0,131.0
226,104.0,132.0,51.0,120.0,149.0
209,226.0,104.0,132.0,51.0,120.0
159,209.0,226.0,104.0,132.0,51.0
188,159.0,209.0,226.0,104.0,132.0
140,188.0,159.0,209.0,226.0,104.0
196,140.0,188.0,159.0,209.0,226.0
143,196.0,140.0,188.0,159.0,209.0
161,143.0,196.0,140.0,188.0,159.0
186,161.0,143.0,196.0,140.0,188.0
204,186.0,161.0,143.0,196.0,140.0
237,204.0,186.0,161.0,143.0,196.0
150,237.0,204.0,186.0,161.0,143.0
166,150.0,237.0,204.0,186.0,161.0
156,166.0,150.0,237.0,204.0,186.0
213,156.0,166.0,150.0,237.0,204.0
119,213.0,156.0,166.0,150.0,237.0
75,119.0,213.0,156.0,166.0,150.0
53,75.0,119.0,213.0,156.0,166.0
38,53.0,75.0,119.0,213.0,156.0
105,38.0,53.0,75.0,119.0,213.0
37,105.0,38.0,53.0,75.0,119.0
66,37.0,105.0,38.0,53.0,75.0
136,66.0,37.0,105.0,38.0,53.0
160,136.0,66.0,37.0,105.0,38.0
105,160.0,136.0,66.0,37.0,105.0
143,105.0,160.0,136.0,66.0,37.0
127,143.0,105.0,160.0,136.0,66.0
163,127.0,143.0,105.0,160.0,136.0
116,163.0,127.0,143.0,105.0,160.0
124,116.0,163.0,127.0,143.0,105.0
109,124.0,116.0,163.0,127.0,143.0
99,109.0,124.0,116.0,163.0,127.0
197,99.0,109.0,124.0,116.0,163.0
109,197.0,99.0,109.0,124.0,116.0
143,109.0,197.0,99.0,109.0,124.0
87,143.0,109.0,197.0,99.0,109.0
82,87.0,143.0,109.0,197.0,99.0
72,82.0,87.0,143.0,109.0,197.0
37,72.0,82.0,87.0,143.0,109.0
106,37.0,72.0,82.0,87.0,143.0
168,106.0,37.0,72.0,82.0,87.0
191,168.0,106.0,37.0,72.0,82.0
79,191.0,168.0,106.0,37.0,72.0
102,79.0,191.0,168.0,106.0,37.0
159,102.0,79.0,191.0,168.0,106.0
122,159.0,102.0,79.0,191.0,168.0
112,122.0,159.0,102.0,79.0,191.0
59,112.0,122.0,159.0,102.0,79.0
71,59.0,112.0,122.0,159.0,102.0
168,71.0,59.0,112.0,122.0,159.0
137,168.0,71.0,59.0,112.0,122.0
118,137.0,168.0,71.0,59.0,112.0
105,118.0,137.0,168.0,71.0,59.0
151,105.0,118.0,137.0,168.0,71.0
25,151.0,105.0,118.0,137.0,168.0
87,25.0,151.0,105.0,118.0,137.0
67,87.0,25.0,151.0,105.0,118.0
95,67.0,87.0,25.0,151.0,105.0
133,95.0,67.0,87.0,25.0,151.0
92,133.0,95.0,67.0,87.0,25.0
118,92.0,133.0,95.0,67.0,87.0
134,118.0,92.0,133.0,95.0,67.0
102,134.0,118.0,92.0,133.0,95.0
52,102.0,134.0,118.0,92.0,133.0
