demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
11,0.0,18.0,9.0,7.0,11.0
8,11.0,0.0,18.0,9.0,7.0
15,8.0,11.0,0.0,18.0,9.0
18,15.0,8.0,11.0,0.0,18.0
24,18.0,15.0,8.0,11.0,0.0
15,24.0,18.0,15.0,8.0,11.0
19,15.0,24.0,18.0,15.0,8.0
7,19.0,15.0,24.0,18.0,15.0
19,7.0,19.0,15.0,24.0,18.0
14,19.0,7.0,19.0,15.0,24.0
6,14.0,19.0,7.0,19.0,15.0
4,6.0,14.0,19.0,7.0,19.0
15,4.0,6.0,14.0,19.0,7.0
13,15.0,4.0,6.0,14.0,19.0
48,13.0,15.0,4.0,6.0,14.0
34,48.0,13.0,15.0,4.0,6.0
7,34.0,48.0,13.0,15.0,4.0
33,7.0,34.0,48.0,13.0,15.0
33,33.0,7.0,34.0,48.0,13.0
28,33.0,33.0,7.0,34.0,48.0
17,28.0,33.0,33.0,7.0,34.0
34,17.0,28.0,33.0,33.0,7.0
49,34.0,17.0,28.0,33.0,33.0
19,49.0,34.0,17.0,28.0,33.0
18,19.0,49.0,34.0,17.0,28.0
14,18.0,19.0,49.0,34.0,17.0
45,14.0,18.0,19.0,49.0,34.0
33,45.0,14.0,18.0,19.0,49.0
26,33.0,45.0,14.0,18.0,19.0
22,26.0,33.0,45.0,14.0,18.0
34,22.0,26.0,33.0,45.0,14.0
50,34.0,22.0,26.0,33.0,45.0
66,50.0,34.0,22.0,26.0,33.0
8,66.0,50.0,34.0,22.0,26.0
20,8.0,66.0,50.0,34.0,22.0
43,20.0,8.0,66.0,50.0,34.0
43,43.0,20.0,8.0,66.0,50.0
13,43.0,43.0,20.0,8.0,66.0
11,13.0,43.0,43.0,20.0,8.0
17,11.0,13.0,43.0,43.0,20.0
44,17.0,11.0,13.0,43.0,43.0
39,44.0,17.0,11.0,13.0,43.0
9,39.0,44.0,17.0,11.0,13.0
17,9.0,39.0,44.0,17.0,11.0
47,17.0,9.0,39.0,44.0,17.0
17,47.0,17.0,9.0,39.0,44.0
33,17.0,47.0,17.0,9.0,39.0
10,33.0,17.0,47.0,17.0,9.0
36,10.0,33.0,17.0,47.0,17.0
26,36.0,10.0,33.0,17.0,47.0
26,26.0,36.0,10.0,33.0,17.0
107,26.0,26.0,36.0,10.0,33.0
163,107.0,26.0,26.0,36.0,10.0
133,163.0,107.0,26.0,26.0,36.0
158,133.0,163.0,107.0,26.0,26.0
132,158.0,133.0,163.0,107.0,26.0
142,132.0,158.0,133.0,163.0,107.0
129,142.0,132.0,158.0,133.0,163.0
186,129.0,142.0,132.0,158.0,133.0
149,186.0,129.0,142.0,132.0,158.0
189,149.0,186.0,129.0,142.0,132.0
167,189.0,149.0,186.0,129.0,142.0
235,167.0,189.0,149.0,186.0,129.0
343,235.0,167.0,189.0,149.0,186.0
244,343.0,235.0,167.0,189.0,149.0
255,244.0,343.0,235.0,167.0,189.0
316,255.0,244.0,343.0,235.0,167.0
287,316.0,255.0,244.0,343.0,235.0
312,287.0,316.0,255.0,244.0,343.0
353,312.0,287.0,316.0,255.0,244.0
325,353.0,312.0,287.0,316.0,255.0
302,325.0,353.0,312.0,287.0,316.0
249,302.0,325.0,353.0,312.0,287.0
267,249.0,302.0,325.0,353.0,312.0
236,267.0,249.0,302.0,325.0,353.0
206,236.0,267.0,249.0,302.0,325.0
376,206.0,236.0,267.0,249.0,302.0
253,376.0,206.0,236.0,267.0,249.0
313,253.0,376.0,206.0,236.0,267.0
328,313.0,253.0,376.0,206.0,236.0
264,328.0,313.0,253.0,376.0,206.0
339,264.0,328.0,313.0,253.0,376.0
234,339.0,264.0,328.0,313.0,253.0
287,234.0,339.0,264.0,328.0,313.0
433,287.0,234.0,339.0,264.0,328.0
161,433.0,287.0,234.0,339.0,264.0
296,161.0,433.0,287.0,234.0,339.0
290,296.0,161.0,433.0,287.0,234.0
286,290.0,296.0,161.0,433.0,287.0
291,286.0,290.0,296.0,161.0,433.0
275,291.0,286.0,290.0,296.0,161.0
307,275.0,291.0,286.0,290.0,296.0
236,307.0,275.0,291.0,286.0,290.0
279,236.0,307.0,275.0,291.0,286.0
256,279.0,236.0,307.0,275.0,291.0
232,256.0,279.0,236.0,307.0,275.0
331,232.0,256.0,279.0,236.0,307.0
317,331.0,232.0,256.0,279.0,236.0
263,317.0,331.0,232.0,256.0,279.0
182,263.0,317.0,331.0,232.0,256.0
324,182.0,263.0,317.0,331.0,232.0
294,324.0,182.0,263.0,317.0,331.0
325,294.0,324.0,182.0,263.0,317.0
336,325.0,294.0,324.0,182.0,263.0
297,336.0,325.0,294.0,324.0,182.0
334,297.0,336.0,325.0,294.0,324.0
312,334.0,297.0,336.0,325.0,294.0
302,312.0,334.0,297.0,336.0,325.0
322,302.0,312.0,334.0,297.0,336.0
347,322.0,302.0,312.0,334.0,297.0
330,347.0,322.0,302.0,312.0,334.0
343,330.0,347.0,322.0,302.0,312.0
259,343.0,330.0,347.0,322.0,302.0
348,259.0,343.0,330.0,347.0,322.0
394,348.0,259.0,343.0,330.0,347.0
357,394.0,348.0,259.0,343.0,330.0
320,357.0,394.0,348.0,259.0,343.0
359,320.0,357.0,394.0,348.0,259.0
352,359.0,320.0,357.0,394.0,348.0
356,352.0,359.0,320.0,357.0,394.0
254,356.0,352.0,359.0,320.0,357.0
255,254.0,356.0,352.0,359.0,320.0
348,255.0,254.0,356.0,352.0,359.0
279,348.0,255.0,254.0,356.0,352.0
322,279.0,348.0,255.0,254.0,356.0
236,322.0,279.0,348.0,255.0,254.0
182,236.0,322.0,279.0,348.0,255.0
383,182.0,236.0,322.0,279.0,348.0
314,383.0,182.0,236.0,322.0,279.0
411,314.0,383.0,182.0,236.0,322.0
348,411.0,314.0,383.0,182.0,236.0
340,348.0,411.0,314.0,383.0,182.0
257,340.0,348.0,411.0,314.0,383.0
434,257.0,340.0,348.0,411.0,314.0
335,434.0,257.0,340.0,348.0,411.0
298,335.0,434.0,257.0,340.0,348.0
252,298.0,335.0,434.0,257.0,340.0
416,252.0,298.0,335.0,434.0,257.0
405,416.0,252.0,298.0,335.0,434.0
398,405.0,416.0,252.0,298.0,335.0
382,398.0,405.0,416.0,252.0,298.0
406,382.0,398.0,405.0,416.0,252.0
312,406.0,382.0,398.0,405.0,416.0
335,312.0,406.0,382.0,398.0,405.0
246,335.0,312.0,406.0,382.0,398.0
337,246.0,335.0,312.0,406.0,382.0
353,337.0,246.0,335.0,312.0,406.0
383,353.0,337.0,246.0,335.0,312.0
428,383.0,353.0,337.0,246.0,335.0
400,428.0,383.0,353.0,337.0,246.0
332,400.0,428.0,383.0,353.0,337.0
182,332.0,400.0,428.0,383.0,353.0
