demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
6,4.0,7.0,2.0,3.0,1.0
4,6.0,4.0,7.0,2.0,3.0
3,4.0,6.0,4.0,7.0,2.0
3,3.0,4.0,6.0,4.0,7.0
3,3.0,3.0,4.0,6.0,4.0
3,3.0,3.0,3.0,4.0,6.0
7,3.0,3.0,3.0,3.0,4.0
1,7.0,3.0,3.0,3.0,3.0
5,1.0,7.0,3.0,3.0,3.0
20,5.0,1.0,7.0,3.0,3.0
29,20.0,5.0,1.0,7.0,3.0
27,29.0,20.0,5.0,1.0,7.0
37,27.0,29.0,20.0,5.0,1.0
28,37.0,27.0,29.0,20.0,5.0
15,28.0,37.0,27.0,29.0,20.0
39,15.0,28.0,37.0,27.0,29.0
35,39.0,15.0,28.0,37.0,27.0
28,35.0,39.0,15.0,28.0,37.0
37,28.0,35.0,39.0,15.0,28.0
28,37.0,28.0,35.0,39.0,15.0
39,28.0,37.0,28.0,35.0,39.0
30,39.0,28.0,37.0,28.0,35.0
28,30.0,39.0,28.0,37.0,28.0
37,28.0,30.0,39.0,28.0,37.0
12,37.0,28.0,30.0,39.0,28.0
56,12.0,37.0,28.0,30.0,39.0
56,56.0,12.0,37.0,28.0,30.0
89,56.0,56.0,12.0,37.0,28.0
139,89.0,56.0,56.0,12.0,37.0
136,139.0,89.0,56.0,56.0,12.0
130,136.0,139.0,89.0,56.0,56.0
124,130.0,136.0,139.0,89.0,56.0
105,124.0,130.0,136.0,139.0,89.0
103,105.0,124.0,130.0,136.0,139.0
116,103.0,105.0,124.0,130.0,136.0
109,116.0,103.0,105.0,124.0,130.0
89,109.0,116.0,103.0,105.0,124.0
85,89.0,109.0,116.0,103.0,105.0
32,85.0,89.0,109.0,116.0,103.0
91,32.0,85.0,89.0,109.0,116.0
65,91.0,32.0,85.0,89.0,109.0
43,65.0,91.0,32.0,85.0,89.0
65,43.0,65.0,91.0,32.0,85.0
63,65.0,43.0,65.0,91.0,32.0
85,63.0,65.0,43.0,65.0,91.0
81,85.0,63.0,65.0,43.0,65.0
67,81.0,85.0,63.0,65.0,43.0
73,67.0,81.0,85.0,63.0,65.0
84,73.0,67.0,81.0,85.0,63.0
109,84.0,73.0,67.0,81.0,85.0
130,109.0,84.0,73.0,67.0,81.0
110,130.0,109.0,84.0,73.0,67.0
114,110.0,130.0,109.0,84.0,73.0
127,114.0,110.0,130.0,109.0,84.0
139,127.0,114.0,110.0,130.0,109.0
127,139.0,127.0,114.0,110.0,130.0
92,127.0,139.0,127.0,114.0,110.0
119,92.0,127.0,139.0,127.0,114.0
131,119.0,92.0,127.0,139.0,127.0
145,131.0,119.0,92.0,127.0,139.0
161,145.0,131.0,119.0,92.0,127.0
113,161.0,145.0,131.0,119.0,92.0
85,113.0,161.0,145.0,131.0,119.0
78,85.0,113.0,161.0,145.0,131.0
72,78.0,85.0,113.0,161.0,145.0
47,72.0,78.0,85.0,113.0,161.0
91,47.0,72.0,78.0,85.0,113.0
77,91.0,47.0,72.0,78.0,85.0
63,77.0,91.0,47.0,72.0,78.0
96,63.0,77.0,91.0,47.0,72.0
78,96.0,63.0,77.0,91.0,47.0
207,78.0,96.0,63.0,77.0,91.0
135,207.0,78.0,96.0,63.0,77.0
120,135.0,207.0,78.0,96.0,63.0
70,120.0,135.0,207.0,78.0,96.0
129,70.0,120.0,135.0,207.0,78.0
123,129.0,70.0,120.0,135.0,207.0
136,123.0,129.0,70.0,120.0,135.0
116,136.0,123.0,129.0,70.0,120.0
136,116.0,136.0,123.0,129.0,70.0
145,136.0,116.0,136.0,123.0,129.0
113,145.0,136.0,116.0,136.0,123.0
84,113.0,145.0,136.0,116.0,136.0
104,84.0,113.0,145.0,136.0,116.0
83,104.0,84.0,113.0,145.0,136.0
63,83.0,104.0,84.0,113.0,145.0
68,63.0,83.0,104.0,84.0,113.0
67,68.0,63.0,83.0,104.0,84.0
138,67.0,68.0,63.0,83.0,104.0
161,138.0,67.0,68.0,63.0,83.0
48,161.0,138.0,67.0,68.0,63.0
