,t+1,t-1
0,22,
1,15,22.0
2,27,15.0
3,30,27.0
4,83,30.0
5,44,83.0
6,29,44.0
7,56,29.0
8,14,56.0
9,29,14.0
10,46,29.0
11,18,46.0
12,20,18.0
13,24,20.0
14,48,24.0
15,33,48.0
16,41,33.0
17,34,41.0
18,16,34.0
19,22,16.0
20,34,22.0
21,29,34.0
22,20,29.0
23,25,20.0
24,6,25.0
25,17,6.0
26,31,17.0
27,20,31.0
28,25,20.0
29,31,25.0
30,57,31.0
31,32,57.0
32,44,32.0
33,45,44.0
34,6,45.0
35,45,6.0
36,52,45.0
37,34,52.0
38,59,34.0
39,59,59.0
40,49,59.0
41,44,49.0
42,42,44.0
43,58,42.0
44,56,58.0
45,61,56.0
46,59,61.0
47,32,59.0
48,44,32.0
49,51,44.0
50,66,51.0
51,66,66.0
52,49,66.0
53,48,49.0
54,58,48.0
55,54,58.0
56,76,54.0
57,82,76.0
58,64,82.0
59,72,64.0
60,85,72.0
61,63,85.0
62,60,63.0
63,66,60.0
64,61,66.0
65,54,61.0
66,41,54.0
67,46,41.0
68,40,46.0
69,48,40.0
70,45,48.0
71,45,45.0
72,53,45.0
73,54,53.0
74,44,54.0
75,35,44.0
76,68,35.0
77,69,68.0
78,39,69.0
79,53,39.0
80,59,53.0
81,57,59.0
82,60,57.0
83,73,60.0
84,64,73.0
85,31,64.0
86,85,31.0
87,60,85.0
88,73,60.0
89,62,73.0
90,78,62.0
91,78,78.0
92,76,78.0
93,69,76.0
94,87,69.0
95,91,87.0
96,79,91.0
97,107,79.0
98,91,107.0
99,82,91.0
100,76,82.0
101,72,76.0
102,57,72.0
103,66,57.0
104,38,66.0
105,28,38.0
106,26,28.0
107,21,26.0
108,18,21.0
109,33,18.0
110,46,33.0
111,51,46.0
112,45,51.0
113,32,45.0
114,46,32.0
115,65,46.0
116,65,65.0
117,69,65.0
118,48,69.0
119,31,48.0
120,26,31.0
121,24,26.0
122,18,24.0
123,22,18.0
124,19,22.0
125,16,19.0
126,10,16.0
127,24,10.0
128,38,24.0
129,22,38.0
130,17,22.0
131,23,17.0
132,46,23.0
133,37,46.0
134,36,37.0
135,34,36.0
136,68,34.0
137,52,68.0
138,57,52.0
139,71,57.0
140,67,71.0
141,70,67.0
142,43,70.0
143,71,43.0
144,58,71.0
145,69,58.0
146,73,69.0
147,62,73.0
148,81,62.0
149,114,81.0
150,74,114.0
151,54,74.0
