,t+1,t-1
0,200,
1,194,200.0
2,200,194.0
3,197,200.0
4,204,197.0
5,195,204.0
6,187,195.0
7,193,187.0
8,242,193.0
9,154,242.0
10,237,154.0
11,235,237.0
12,175,235.0
13,243,175.0
14,237,243.0
15,208,237.0
16,273,208.0
17,183,273.0
18,207,183.0
19,221,207.0
20,219,221.0
21,193,219.0
22,224,193.0
23,194,224.0
24,178,194.0
25,103,178.0
26,174,103.0
27,166,174.0
28,191,166.0
29,170,191.0
30,177,170.0
31,214,177.0
32,173,214.0
33,169,173.0
34,165,169.0
35,98,165.0
36,212,98.0
37,173,212.0
38,193,173.0
39,167,193.0
40,205,167.0
41,212,205.0
42,190,212.0
43,184,190.0
44,172,184.0
45,169,172.0
46,222,169.0
47,195,222.0
48,168,195.0
49,157,168.0
50,190,157.0
51,216,190.0
52,217,216.0
53,240,217.0
54,216,240.0
55,205,216.0
56,206,205.0
57,244,206.0
58,228,244.0
59,216,228.0
60,198,216.0
61,179,198.0
62,190,179.0
63,201,190.0
64,187,201.0
65,185,187.0
66,193,185.0
67,211,193.0
68,201,211.0
69,188,201.0
70,190,188.0
71,192,190.0
72,183,192.0
73,156,183.0
74,157,156.0
75,146,157.0
76,106,146.0
77,189,106.0
78,151,189.0
79,165,151.0
80,178,165.0
81,177,178.0
82,193,177.0
83,166,193.0
84,182,166.0
85,182,182.0
86,78,182.0
87,174,78.0
88,177,174.0
89,174,177.0
90,177,174.0
91,160,177.0
92,181,160.0
93,168,181.0
94,150,168.0
95,190,150.0
96,166,190.0
97,209,166.0
98,214,209.0
99,248,214.0
100,192,248.0
101,191,192.0
102,159,191.0
103,181,159.0
104,282,181.0
105,203,282.0
106,210,203.0
107,210,210.0
108,188,210.0
109,199,188.0
110,173,199.0
111,171,173.0
112,142,171.0
113,153,142.0
114,166,153.0
115,180,166.0
116,145,180.0
117,159,145.0
118,188,159.0
119,151,188.0
120,171,151.0
121,137,171.0
122,156,137.0
123,149,156.0
124,131,149.0
125,172,131.0
126,92,172.0
127,104,92.0
128,212,104.0
129,191,212.0
130,235,191.0
131,228,235.0
132,240,228.0
133,184,240.0
134,260,184.0
135,199,260.0
136,155,199.0
137,178,155.0
138,256,178.0
139,232,256.0
140,259,232.0
141,213,259.0
142,213,213.0
143,169,213.0
144,231,169.0
145,198,231.0
146,220,198.0
147,240,220.0
148,273,240.0
149,271,273.0
150,278,271.0
151,293,278.0
152,177,293.0
