,t+1,t-1
0,4,
1,3,4.0
2,7,3.0
3,7,7.0
4,2,7.0
5,3,2.0
6,2,3.0
7,8,2.0
8,12,8.0
9,7,12.0
10,7,7.0
11,4,7.0
12,3,4.0
13,4,3.0
14,7,4.0
15,4,7.0
16,5,4.0
17,6,5.0
18,6,6.0
19,11,6.0
20,2,11.0
21,6,2.0
22,1,6.0
23,1,1.0
24,9,1.0
25,6,9.0
26,10,6.0
27,4,10.0
28,4,4.0
29,12,4.0
30,5,12.0
31,12,5.0
32,13,12.0
33,7,13.0
34,2,7.0
35,18,2.0
36,11,18.0
37,10,11.0
38,7,10.0
39,10,7.0
40,12,10.0
41,8,12.0
42,10,8.0
43,4,10.0
44,10,4.0
45,10,10.0
46,6,10.0
47,0,6.0
48,5,0.0
49,11,5.0
50,11,11.0
51,6,11.0
52,3,6.0
53,5,3.0
54,3,5.0
55,13,3.0
56,3,13.0
57,5,3.0
58,4,5.0
59,7,4.0
60,3,7.0
61,2,3.0
62,6,2.0
63,4,6.0
64,3,4.0
65,4,3.0
66,5,4.0
67,4,5.0
68,21,4.0
69,36,21.0
70,64,36.0
71,40,64.0
72,31,40.0
73,30,31.0
74,20,30.0
75,44,20.0
76,44,44.0
77,45,44.0
78,45,45.0
79,46,45.0
80,55,46.0
81,59,55.0
82,52,59.0
83,35,52.0
84,9,35.0
85,52,9.0
86,55,52.0
87,73,55.0
88,62,73.0
89,52,62.0
90,67,52.0
91,58,67.0
92,51,58.0
93,62,51.0
94,50,62.0
95,53,50.0
96,79,53.0
97,88,79.0
98,57,88.0
99,46,57.0
100,74,46.0
101,50,74.0
102,49,50.0
103,56,49.0
104,53,56.0
105,58,53.0
106,58,58.0
107,39,58.0
108,36,39.0
109,39,36.0
110,42,39.0
111,66,42.0
112,54,66.0
113,60,54.0
114,64,60.0
115,53,64.0
116,52,53.0
117,61,52.0
118,70,61.0
119,77,70.0
120,75,77.0
121,64,75.0
122,55,64.0
123,74,55.0
124,64,74.0
125,38,64.0
126,80,38.0
127,105,80.0
128,77,105.0
129,98,77.0
130,101,98.0
131,108,101.0
132,89,108.0
133,85,89.0
134,45,85.0
135,121,45.0
136,107,121.0
137,142,107.0
138,104,142.0
139,81,104.0
140,110,81.0
141,126,110.0
142,85,126.0
143,119,85.0
144,111,119.0
145,88,111.0
146,73,88.0
147,100,73.0
148,80,100.0
149,184,80.0
150,145,184.0
