,t+1,t-1
0,39,
1,48,39.0
2,46,48.0
3,45,46.0
4,31,45.0
5,33,31.0
6,51,33.0
7,47,51.0
8,58,47.0
9,44,58.0
10,52,44.0
11,60,52.0
12,61,60.0
13,42,61.0
14,48,42.0
15,60,48.0
16,51,60.0
17,61,51.0
18,56,61.0
19,62,56.0
20,61,62.0
21,36,61.0
22,50,36.0
23,26,50.0
24,40,26.0
25,18,40.0
26,51,18.0
27,38,51.0
28,41,38.0
29,48,41.0
30,32,48.0
31,51,32.0
32,36,51.0
33,36,36.0
34,42,36.0
35,23,42.0
36,60,23.0
37,47,60.0
38,37,47.0
39,50,37.0
40,50,50.0
41,87,50.0
42,43,87.0
43,53,43.0
44,28,53.0
45,44,28.0
46,28,44.0
47,44,28.0
48,10,44.0
49,38,10.0
50,29,38.0
51,48,29.0
52,40,48.0
53,36,40.0
54,34,36.0
55,48,34.0
56,44,48.0
57,16,44.0
58,66,16.0
59,51,66.0
60,30,51.0
61,65,30.0
62,67,65.0
63,38,67.0
64,35,38.0
65,65,35.0
66,54,65.0
67,44,54.0
68,47,44.0
69,50,47.0
70,64,50.0
71,74,64.0
72,39,74.0
73,40,39.0
74,29,40.0
75,11,29.0
76,24,11.0
77,68,24.0
78,58,68.0
79,37,58.0
80,60,37.0
81,41,60.0
82,47,41.0
83,56,47.0
84,51,56.0
85,62,51.0
86,22,62.0
87,63,22.0
88,53,63.0
89,67,53.0
90,74,67.0
91,64,74.0
92,68,64.0
93,54,68.0
94,53,54.0
95,60,53.0
96,67,60.0
97,74,67.0
98,55,74.0
99,52,55.0
100,49,52.0
101,45,49.0
102,62,45.0
103,71,62.0
104,63,71.0
105,36,63.0
106,23,36.0
107,19,23.0
108,22,19.0
109,32,22.0
110,38,32.0
111,64,38.0
112,54,64.0
113,54,54.0
114,76,54.0
115,74,76.0
116,74,74.0
117,79,74.0
118,57,79.0
119,80,57.0
120,88,80.0
121,75,88.0
122,78,75.0
123,24,78.0
124,57,24.0
125,59,57.0
126,35,59.0
127,31,35.0
128,112,31.0
129,107,112.0
130,81,107.0
131,83,81.0
132,67,83.0
133,92,67.0
134,72,92.0
135,53,72.0
136,26,53.0
137,37,26.0
138,61,37.0
139,77,61.0
140,83,77.0
141,69,83.0
142,70,69.0
143,44,70.0
144,59,44.0
145,62,59.0
146,41,62.0
147,60,41.0
148,41,60.0
149,37,41.0
150,52,37.0
151,48,52.0
152,27,48.0
