,t+1,t-1
0,9,
1,9,9.0
2,7,9.0
3,6,7.0
4,20,6.0
5,11,20.0
6,10,11.0
7,14,10.0
8,13,14.0
9,15,13.0
10,17,15.0
11,8,17.0
12,8,8.0
13,20,8.0
14,19,20.0
15,13,19.0
16,15,13.0
17,17,15.0
18,17,17.0
19,9,17.0
20,6,9.0
21,8,6.0
22,7,8.0
23,15,7.0
24,10,15.0
25,1,10.0
26,13,1.0
27,13,13.0
28,7,13.0
29,12,7.0
30,4,12.0
31,22,4.0
32,6,22.0
33,21,6.0
34,13,21.0
35,6,13.0
36,28,6.0
37,28,28.0
38,22,28.0
39,11,22.0
40,29,11.0
41,24,29.0
42,27,24.0
43,10,27.0
44,30,10.0
45,14,30.0
46,12,14.0
47,6,12.0
48,0,6.0
49,7,0.0
50,20,7.0
51,11,20.0
52,21,11.0
53,0,21.0
54,9,0.0
55,15,9.0
56,12,15.0
57,12,12.0
58,3,12.0
59,17,3.0
60,16,17.0
61,14,16.0
62,17,14.0
63,8,17.0
64,9,8.0
65,13,9.0
66,17,13.0
67,7,17.0
68,9,7.0
69,23,9.0
70,96,23.0
71,71,96.0
72,47,71.0
73,84,47.0
74,67,84.0
75,28,67.0
76,91,28.0
77,96,91.0
78,73,96.0
79,78,73.0
80,69,78.0
81,71,69.0
82,68,71.0
83,56,68.0
84,79,56.0
85,23,79.0
86,87,23.0
87,88,87.0
88,79,88.0
89,100,79.0
90,78,100.0
91,54,78.0
92,88,54.0
93,64,88.0
94,73,64.0
95,90,73.0
96,93,90.0
97,89,93.0
98,82,89.0
99,52,82.0
100,81,52.0
101,71,81.0
102,38,71.0
103,55,38.0
104,91,55.0
105,66,91.0
106,70,66.0
107,70,70.0
108,67,70.0
109,66,67.0
110,55,66.0
111,57,55.0
112,59,57.0
113,56,59.0
114,48,56.0
115,54,48.0
116,49,54.0
117,46,49.0
118,57,46.0
119,68,57.0
120,72,68.0
121,37,72.0
122,55,37.0
123,64,55.0
124,45,64.0
125,48,45.0
126,39,48.0
127,90,39.0
128,63,90.0
129,67,63.0
130,59,67.0
131,55,59.0
132,78,55.0
133,53,78.0
134,64,53.0
135,32,64.0
136,66,32.0
137,77,66.0
138,74,77.0
139,46,74.0
140,73,46.0
141,76,73.0
142,74,76.0
143,60,74.0
144,81,60.0
145,65,81.0
146,63,65.0
147,51,63.0
148,65,51.0
149,55,65.0
150,214,55.0
151,127,214.0
