,t+1,t-1
0,45,
1,59,45.0
2,54,59.0
3,34,54.0
4,54,34.0
5,48,54.0
6,76,48.0
7,45,76.0
8,59,45.0
9,46,59.0
10,66,46.0
11,45,66.0
12,35,45.0
13,42,35.0
14,62,42.0
15,42,62.0
16,49,42.0
17,41,49.0
18,37,41.0
19,44,37.0
20,48,44.0
21,40,48.0
22,39,40.0
23,35,39.0
24,29,35.0
25,30,29.0
26,66,30.0
27,48,66.0
28,44,48.0
29,45,44.0
30,31,45.0
31,41,31.0
32,29,41.0
33,48,29.0
34,21,48.0
35,45,21.0
36,23,45.0
37,39,23.0
38,30,39.0
39,35,30.0
40,39,35.0
41,46,39.0
42,30,46.0
43,24,30.0
44,27,24.0
45,32,27.0
46,37,32.0
47,20,37.0
48,13,20.0
49,39,13.0
50,43,39.0
51,48,43.0
52,52,48.0
53,7,52.0
54,36,7.0
55,39,36.0
56,43,39.0
57,37,43.0
58,39,37.0
59,40,39.0
60,30,40.0
61,40,30.0
62,50,40.0
63,30,50.0
64,13,30.0
65,20,13.0
66,40,20.0
67,23,40.0
68,29,23.0
69,30,29.0
70,18,30.0
71,22,18.0
72,8,22.0
73,16,8.0
74,11,16.0
75,3,11.0
76,22,3.0
77,12,22.0
78,28,12.0
79,15,28.0
80,29,15.0
81,17,29.0
82,17,17.0
83,7,17.0
84,23,7.0
85,4,23.0
86,28,4.0
87,51,28.0
88,27,51.0
89,32,27.0
90,21,32.0
91,44,21.0
92,50,44.0
93,46,50.0
94,36,46.0
95,54,36.0
96,37,54.0
97,56,37.0
98,74,56.0
99,54,74.0
100,35,54.0
101,64,35.0
102,47,64.0
103,53,47.0
104,31,53.0
105,21,31.0
106,27,21.0
107,16,27.0
108,12,16.0
109,18,12.0
110,29,18.0
111,35,29.0
112,32,35.0
113,49,32.0
114,25,49.0
115,35,25.0
116,53,35.0
117,24,53.0
118,40,24.0
119,31,40.0
120,39,31.0
121,41,39.0
122,21,41.0
123,22,21.0
124,35,22.0
125,23,35.0
126,14,23.0
127,42,14.0
128,52,42.0
129,29,52.0
130,29,29.0
131,55,29.0
132,44,55.0
133,33,44.0
134,28,33.0
135,33,28.0
136,34,33.0
137,66,34.0
138,50,66.0
139,60,50.0
140,52,60.0
141,50,52.0
142,33,50.0
143,35,33.0
144,26,35.0
145,40,26.0
146,53,40.0
147,40,53.0
148,36,40.0
149,44,36.0
150,45,44.0
151,33,45.0
