,t+1,t-1
0,62,
1,106,62.0
2,60,106.0
3,49,60.0
4,82,49.0
5,106,82.0
6,61,106.0
7,89,61.0
8,80,89.0
9,68,80.0
10,70,68.0
11,58,70.0
12,65,58.0
13,114,65.0
14,94,114.0
15,103,94.0
16,95,103.0
17,114,95.0
18,67,114.0
19,51,67.0
20,58,51.0
21,86,58.0
22,50,86.0
23,44,50.0
24,38,44.0
25,39,38.0
26,39,39.0
27,60,39.0
28,68,60.0
29,78,68.0
30,61,78.0
31,62,61.0
32,51,62.0
33,52,51.0
34,16,52.0
35,63,16.0
36,64,63.0
37,75,64.0
38,50,75.0
39,73,50.0
40,88,73.0
41,51,88.0
42,67,51.0
43,68,67.0
44,74,68.0
45,56,74.0
46,64,56.0
47,64,64.0
48,64,64.0
49,85,64.0
50,95,85.0
51,102,95.0
52,63,102.0
53,88,63.0
54,73,88.0
55,107,73.0
56,93,107.0
57,73,93.0
58,72,73.0
59,66,72.0
60,57,66.0
61,71,57.0
62,77,71.0
63,56,77.0
64,60,56.0
65,60,60.0
66,60,60.0
67,77,60.0
68,71,77.0
69,94,71.0
70,80,94.0
71,78,80.0
72,56,78.0
73,55,56.0
74,30,55.0
75,38,30.0
76,34,38.0
77,44,34.0
78,46,44.0
79,65,46.0
80,39,65.0
81,46,39.0
82,73,46.0
83,60,73.0
84,70,60.0
85,47,70.0
86,64,47.0
87,68,64.0
88,66,68.0
89,64,66.0
90,82,64.0
91,88,82.0
92,64,88.0
93,69,64.0
94,63,69.0
95,89,63.0
96,71,89.0
97,66,71.0
98,60,66.0
99,46,60.0
100,58,46.0
101,82,58.0
102,73,82.0
103,97,73.0
104,110,97.0
105,125,110.0
106,98,125.0
107,115,98.0
108,77,115.0
109,90,77.0
110,86,90.0
111,81,86.0
112,67,81.0
113,91,67.0
114,95,91.0
115,78,95.0
116,93,78.0
117,85,93.0
118,84,85.0
119,86,84.0
120,59,86.0
121,64,59.0
122,70,64.0
123,74,70.0
124,62,74.0
125,42,62.0
126,33,42.0
127,53,33.0
128,42,53.0
129,64,42.0
130,45,64.0
131,52,45.0
132,37,52.0
133,46,37.0
134,56,46.0
135,22,56.0
136,57,22.0
137,57,57.0
138,87,57.0
139,89,87.0
140,95,89.0
141,92,95.0
142,74,92.0
143,91,74.0
144,75,91.0
145,87,75.0
146,96,87.0
147,88,96.0
148,128,88.0
149,81,128.0
150,58,81.0
151,31,58.0
