,t+1,t-1
0,12,
1,5,12.0
2,19,5.0
3,9,19.0
4,8,9.0
5,29,8.0
6,9,29.0
7,7,9.0
8,3,7.0
9,4,3.0
10,12,4.0
11,4,12.0
12,7,4.0
13,3,7.0
14,8,3.0
15,10,8.0
16,11,10.0
17,12,11.0
18,10,12.0
19,4,10.0
20,7,4.0
21,7,7.0
22,3,7.0
23,12,3.0
24,7,12.0
25,9,7.0
26,2,9.0
27,14,2.0
28,8,14.0
29,2,8.0
30,7,2.0
31,18,7.0
32,20,18.0
33,0,20.0
34,3,0.0
35,11,3.0
36,13,11.0
37,14,13.0
38,4,14.0
39,10,4.0
40,24,10.0
41,12,24.0
42,5,12.0
43,20,5.0
44,9,20.0
45,7,9.0
46,13,7.0
47,7,13.0
48,0,7.0
49,2,0.0
50,24,2.0
51,2,24.0
52,12,2.0
53,2,12.0
54,14,2.0
55,19,14.0
56,17,19.0
57,20,17.0
58,3,20.0
59,16,3.0
60,15,16.0
61,5,15.0
62,14,5.0
63,5,14.0
64,5,5.0
65,1,5.0
66,4,1.0
67,8,4.0
68,12,8.0
69,6,12.0
70,111,6.0
71,86,111.0
72,88,86.0
73,89,88.0
74,81,89.0
75,39,81.0
76,118,39.0
77,100,118.0
78,94,100.0
79,79,94.0
80,81,79.0
81,69,81.0
82,81,69.0
83,80,81.0
84,97,80.0
85,36,97.0
86,89,36.0
87,110,89.0
88,109,110.0
89,117,109.0
90,124,117.0
91,111,124.0
92,90,111.0
93,103,90.0
94,92,103.0
95,91,92.0
96,94,91.0
97,89,94.0
98,96,89.0
99,62,96.0
100,111,62.0
101,84,111.0
102,56,84.0
103,57,56.0
104,85,57.0
105,94,85.0
106,64,94.0
107,78,64.0
108,96,78.0
109,64,96.0
110,59,64.0
111,57,59.0
112,61,57.0
113,72,61.0
114,65,72.0
115,64,65.0
116,74,64.0
117,70,74.0
118,83,70.0
119,78,83.0
120,70,78.0
121,93,70.0
122,86,93.0
123,76,86.0
124,90,76.0
125,64,90.0
126,41,64.0
127,110,41.0
128,97,110.0
129,78,97.0
130,55,78.0
131,86,55.0
132,83,86.0
133,98,83.0
134,89,98.0
135,62,89.0
136,99,62.0
137,97,99.0
138,121,97.0
139,127,121.0
140,144,127.0
141,130,144.0
142,144,130.0
143,143,144.0
144,160,143.0
145,167,160.0
146,125,167.0
147,107,125.0
148,164,107.0
149,160,164.0
150,354,160.0
151,170,354.0
