,t+1,t-1
0,75,
1,111,75.0
2,86,111.0
3,79,86.0
4,84,79.0
5,82,84.0
6,83,82.0
7,97,83.0
8,59,97.0
9,94,59.0
10,92,94.0
11,74,92.0
12,58,74.0
13,68,58.0
14,100,68.0
15,87,100.0
16,104,87.0
17,95,104.0
18,74,95.0
19,101,74.0
20,112,101.0
21,88,112.0
22,80,88.0
23,65,80.0
24,53,65.0
25,75,53.0
26,91,75.0
27,92,91.0
28,97,92.0
29,97,97.0
30,107,97.0
31,84,107.0
32,73,84.0
33,85,73.0
34,37,85.0
35,77,37.0
36,100,77.0
37,80,100.0
38,101,80.0
39,122,101.0
40,151,122.0
41,124,151.0
42,104,124.0
43,101,104.0
44,141,101.0
45,114,141.0
46,134,114.0
47,82,134.0
48,102,82.0
49,118,102.0
50,167,118.0
51,177,167.0
52,145,177.0
53,98,145.0
54,164,98.0
55,177,164.0
56,162,177.0
57,186,162.0
58,165,186.0
59,176,165.0
60,165,176.0
61,130,165.0
62,137,130.0
63,143,137.0
64,110,143.0
65,111,110.0
66,111,111.0
67,123,111.0
68,122,123.0
69,127,122.0
70,128,127.0
71,114,128.0
72,134,114.0
73,114,134.0
74,66,114.0
75,76,66.0
76,164,76.0
77,174,164.0
78,105,174.0
79,114,105.0
80,134,114.0
81,151,134.0
82,131,151.0
83,149,131.0
84,120,149.0
85,51,120.0
86,132,51.0
87,104,132.0
88,226,104.0
89,209,226.0
90,159,209.0
91,188,159.0
92,140,188.0
93,196,140.0
94,143,196.0
95,161,143.0
96,186,161.0
97,204,186.0
98,237,204.0
99,150,237.0
100,166,150.0
101,156,166.0
102,213,156.0
103,119,213.0
104,75,119.0
105,53,75.0
106,38,53.0
107,105,38.0
108,37,105.0
109,66,37.0
110,136,66.0
111,160,136.0
112,105,160.0
113,143,105.0
114,127,143.0
115,163,127.0
116,116,163.0
117,124,116.0
118,109,124.0
119,99,109.0
120,197,99.0
121,109,197.0
122,143,109.0
123,87,143.0
124,82,87.0
125,72,82.0
126,37,72.0
127,106,37.0
128,168,106.0
129,191,168.0
130,79,191.0
131,102,79.0
132,159,102.0
133,122,159.0
134,112,122.0
135,59,112.0
136,71,59.0
137,168,71.0
138,137,168.0
139,118,137.0
140,105,118.0
141,151,105.0
142,25,151.0
143,87,25.0
144,67,87.0
145,95,67.0
146,133,95.0
147,92,133.0
148,118,92.0
149,134,118.0
150,102,134.0
151,52,102.0
