,t+1,t-1
0,11,
1,8,11.0
2,15,8.0
3,18,15.0
4,24,18.0
5,15,24.0
6,19,15.0
7,7,19.0
8,19,7.0
9,14,19.0
10,6,14.0
11,4,6.0
12,15,4.0
13,13,15.0
14,48,13.0
15,34,48.0
16,7,34.0
17,33,7.0
18,33,33.0
19,28,33.0
20,17,28.0
21,34,17.0
22,49,34.0
23,19,49.0
24,18,19.0
25,14,18.0
26,45,14.0
27,33,45.0
28,26,33.0
29,22,26.0
30,34,22.0
31,50,34.0
32,66,50.0
33,8,66.0
34,20,8.0
35,43,20.0
36,43,43.0
37,13,43.0
38,11,13.0
39,17,11.0
40,44,17.0
41,39,44.0
42,9,39.0
43,17,9.0
44,47,17.0
45,17,47.0
46,33,17.0
47,10,33.0
48,36,10.0
49,26,36.0
50,26,26.0
51,107,26.0
52,163,107.0
53,133,163.0
54,158,133.0
55,132,158.0
56,142,132.0
57,129,142.0
58,186,129.0
59,149,186.0
60,189,149.0
61,167,189.0
62,235,167.0
63,343,235.0
64,244,343.0
65,255,244.0
66,316,255.0
67,287,316.0
68,312,287.0
69,353,312.0
70,325,353.0
71,302,325.0
72,249,302.0
73,267,249.0
74,236,267.0
75,206,236.0
76,376,206.0
77,253,376.0
78,313,253.0
79,328,313.0
80,264,328.0
81,339,264.0
82,234,339.0
83,287,234.0
84,433,287.0
85,161,433.0
86,296,161.0
87,290,296.0
88,286,290.0
89,291,286.0
90,275,291.0
91,307,275.0
92,236,307.0
93,279,236.0
94,256,279.0
95,232,256.0
96,331,232.0
97,317,331.0
98,263,317.0
99,182,263.0
100,324,182.0
101,294,324.0
102,325,294.0
103,336,325.0
104,297,336.0
105,334,297.0
106,312,334.0
107,302,312.0
108,322,302.0
109,347,322.0
110,330,347.0
111,343,330.0
112,259,343.0
113,348,259.0
114,394,348.0
115,357,394.0
116,320,357.0
117,359,320.0
118,352,359.0
119,356,352.0
120,254,356.0
121,255,254.0
122,348,255.0
123,279,348.0
124,322,279.0
125,236,322.0
126,182,236.0
127,383,182.0
128,314,383.0
129,411,314.0
130,348,411.0
131,340,348.0
132,257,340.0
133,434,257.0
134,335,434.0
135,298,335.0
136,252,298.0
137,416,252.0
138,405,416.0
139,398,405.0
140,382,398.0
141,406,382.0
142,312,406.0
143,335,312.0
144,246,335.0
145,337,246.0
146,353,337.0
147,383,353.0
148,428,383.0
149,400,428.0
150,332,400.0
151,182,332.0
