,t+1,t-1
0,6,
1,4,6.0
2,3,4.0
3,3,3.0
4,3,3.0
5,3,3.0
6,7,3.0
7,1,7.0
8,5,1.0
9,20,5.0
10,29,20.0
11,27,29.0
12,37,27.0
13,28,37.0
14,15,28.0
15,39,15.0
16,35,39.0
17,28,35.0
18,37,28.0
19,28,37.0
20,39,28.0
21,30,39.0
22,28,30.0
23,37,28.0
24,12,37.0
25,56,12.0
26,56,56.0
27,89,56.0
28,139,89.0
29,136,139.0
30,130,136.0
31,124,130.0
32,105,124.0
33,103,105.0
34,116,103.0
35,109,116.0
36,89,109.0
37,85,89.0
38,32,85.0
39,91,32.0
40,65,91.0
41,43,65.0
42,65,43.0
43,63,65.0
44,85,63.0
45,81,85.0
46,67,81.0
47,73,67.0
48,84,73.0
49,109,84.0
50,130,109.0
51,110,130.0
52,114,110.0
53,127,114.0
54,139,127.0
55,127,139.0
56,92,127.0
57,119,92.0
58,131,119.0
59,145,131.0
60,161,145.0
61,113,161.0
62,85,113.0
63,78,85.0
64,72,78.0
65,47,72.0
66,91,47.0
67,77,91.0
68,63,77.0
69,96,63.0
70,78,96.0
71,207,78.0
72,135,207.0
73,120,135.0
74,70,120.0
75,129,70.0
76,123,129.0
77,136,123.0
78,116,136.0
79,136,116.0
80,145,136.0
81,113,145.0
82,84,113.0
83,104,84.0
84,83,104.0
85,63,83.0
86,68,63.0
87,67,68.0
88,138,67.0
89,161,138.0
90,48,161.0
