actor,place_of_death,date_of_death,cause_of_death,nb_women,nb_children,nb_civilians,nb_noncivilians
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,6/25/15,Shooting,221,46,833,0
Syrian government and affiliated militias,Damascus Suburbs,8/16/15,Warplane shelling,6,21,326,3
Syrian government and affiliated militias,Aleppo,5/12/15,Warplane shelling,5,6,161,0
Syrian government and affiliated militias,Idlib,6/8/15,Warplane shelling,15,8,152,0
Armed opposition groups,Hama,3/30/15,Field Execution,38,4,148,0
Russian troops,Homs,10/15/15,Warplane shelling,26,48,117,4
International coalition forces,Aleppo,5/1/15,Warplane shelling,24,56,116,0
Armed opposition groups,Hasakeh,3/21/15,Explosion,52,6,110,0
Syrian government and affiliated militias,Idlib,8/3/15,Warplane shelling,0,5,99,0
Russian troops,Deir Ezzor,11/5/15,Warplane shelling,8,22,98,0
Armed opposition groups,Unknown,3/20/15,Shooting,0,0,96,0
Russian troops,Homs,9/30/15,Warplane shelling,14,18,86,0
Russian troops,Idlib,12/20/15,Warplane shelling,4,4,86,0
Russian troops,Deir Ezzor,11/20/15,Warplane shelling,38,4,76,0
Syrian government and affiliated militias,Damascus Suburbs,2/5/15,Warplane shelling,27,9,75,0
Russian troops,Aleppo,12/12/15,Warplane shelling,12,24,72,0
Syrian government and affiliated militias,Daraa,6/16/15,Warplane shelling,6,57,66,0
Russian troops,Aleppo,12/15/15,Warplane shelling,14,6,64,0
Syrian government and affiliated militias,Damascus Suburbs,2/9/15,Shelling,9,12,63,12
Russian troops,Idlib,11/29/15,Warplane shelling,0,12,60,0
Armed opposition groups,Aleppo,9/21/15,Shelling,10,24,54,0
Syrian government and affiliated militias,Damascus Suburbs,6/16/15,Warplane shelling,27,9,54,0
Syrian government and affiliated militias,Idlib,3/30/15,Shelling,12,24,54,0
Syrian government and affiliated militias,Damascus Suburbs,8/23/15,Shelling,15,20,53,3
Armed opposition groups,Unknown,5/20/15,Shooting,0,0,52,0
Syrian government and affiliated militias,Daraa,4/19/15,Warplane shelling,18,24,51,3
Russian troops,Damascus Suburbs,11/7/15,Warplane shelling,14,16,50,0
Russian troops,Homs,11/2/15,Warplane shelling,4,4,48,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,5/20/15,Kidnapping - Execution,0,0,46,3
Russian troops,Aleppo,10/30/15,Warplane shelling,6,24,46,0
Syrian government and affiliated militias,Daraa,2/2/15,Warplane shelling,9,0,45,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,5/21/15,Kidnapping - Execution,0,0,45,0
Armed opposition groups,Aleppo,2/17/15,Shelling,6,12,42,0
Armed opposition groups,Idlib,8/10/15,Shooting,4,2,42,0
Russian troops,Aleppo,12/17/15,Warplane shelling,10,6,42,0
Syrian government and affiliated militias,Aleppo,4/17/15,Warplane shelling,0,6,42,0
Armed opposition groups,Aleppo,1/2/15,Shooting,8,10,40,0
Armed opposition groups,Aleppo,6/14/15,Shelling,2,12,40,0
Syrian government and affiliated militias,Daraa,7/23/15,Shooting,18,6,39,6
Syrian government and affiliated militias,Damascus Suburbs,8/30/15,Shelling,3,27,39,0
Armed opposition groups,Aleppo,3/24/15,Shelling,4,12,38,0
Russian troops,Aleppo,11/3/15,Warplane shelling,0,14,38,0
Syrian government and affiliated militias,Idlib,2/2/15,Warplane shelling,0,0,37,3
Syrian government and affiliated militias,Damascus Suburbs,8/31/15,Shelling,0,3,36,3
Russian troops,Raqqa,11/3/15,Warplane shelling,0,0,36,0
Armed opposition groups,Homs,12/28/15,Explosion,2,2,34,0
Armed opposition groups,Unknown,2/4/15,Shooting,0,0,34,0
Russian troops,Damascus Suburbs,12/6/15,Warplane shelling,4,12,34,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,5/25/15,Kidnapping - Execution,0,0,34,0
Syrian government and affiliated militias,Aleppo,4/12/15,Warplane shelling,3,6,33,0
Syrian government and affiliated militias,Hama,7/29/15,Warplane shelling,18,6,33,0
Armed opposition groups,Unknown,2/25/15,Shooting,0,0,32,0
Russian troops,Aleppo,12/28/15,Warplane shelling,4,12,32,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,5/24/15,Kidnapping - Execution,0,0,31,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,4/24/15,Kidnapping - Execution,0,0,30,3
Russian troops,Deir Ezzor,12/22/15,Warplane shelling,12,6,30,0
Russian troops,Homs,10/6/15,Warplane shelling,0,0,30,0
Syrian government and affiliated militias,Damascus Suburbs,2/2/15,Warplane shelling,0,0,30,0
Syrian government and affiliated militias,Idlib,5/11/15,Warplane shelling,12,18,30,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,12/21/15,Kidnapping - Execution,0,3,29,0
Russian troops,Aleppo,11/27/15,Warplane shelling,2,4,28,2
Russian troops,Aleppo,12/13/15,Warplane shelling,4,2,28,2
Armed opposition groups,Aleppo,5/31/15,Shelling,4,10,28,0
Armed opposition groups,Aleppo,12/28/15,Shooting,0,0,28,0
Armed opposition groups,Other Nationalities,8/4/15,Shooting,0,2,28,0
Armed opposition groups,Tartous,2/16/15,Shooting,0,0,28,0
Armed opposition groups,Unknown,2/20/15,Shooting,0,0,28,0
Russian troops,Aleppo,12/7/15,Warplane shelling,6,4,28,0
Russian troops,Idlib,12/18/15,Warplane shelling,12,16,28,0
Syrian government and affiliated militias,Idlib,4/5/15,Warplane shelling,9,12,27,0
Syrian government and affiliated militias,Idlib,6/10/15,Warplane shelling,9,15,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,7/15/15,Explosion,0,0,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,11/21/15,Explosion,0,6,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,6/28/15,Kidnapping - Execution,3,0,27,0
Armed opposition groups,Damascus,9/12/15,Shelling,2,4,26,0
Russian troops,Aleppo,10/27/15,Warplane shelling,4,14,26,0
Russian troops,Aleppo,12/14/15,Warplane shelling,2,8,26,0
Syrian government and affiliated militias,Idlib,4/15/15,Warplane shelling,6,11,26,0
Syrian government and affiliated militias,Daraa,5/4/15,Warplane shelling,6,10,25,0
Armed opposition groups,Aleppo,2/19/15,Shelling,2,8,24,0
Armed opposition groups,Other Nationalities,9/16/15,Shooting,0,0,24,0
Armed opposition groups,Unknown,3/22/15,Shooting,0,0,24,0
Armed opposition groups,Unknown,9/18/15,Shooting,0,0,24,0
Russian troops,Aleppo,10/28/15,Warplane shelling,2,4,24,0
Russian troops,Homs,12/4/15,Warplane shelling,6,8,24,0
Russian troops,Idlib,10/20/15,Warplane shelling,0,0,24,0
Syrian government and affiliated militias,Daraa,4/14/15,Warplane shelling,0,21,24,0
Syrian government and affiliated militias,Idlib,4/27/15,Warplane shelling,0,21,24,0
Armed opposition groups,Damascus,1/25/15,Shelling,2,6,22,0
Armed opposition groups,Idlib,6/11/15,Field Execution,0,0,22,0
Armed opposition groups,Other Nationalities,4/10/15,Shooting,0,0,22,0
Armed opposition groups,Other Nationalities,9/18/15,Shooting,0,0,22,0
Armed opposition groups,Other Nationalities,10/24/15,Shooting,0,0,22,0
Armed opposition groups,Other Nationalities,12/13/15,Shooting,0,0,22,0
Russian troops,Aleppo,10/13/15,Warplane shelling,4,6,22,0
Russian troops,Aleppo,12/8/15,Warplane shelling,6,12,22,0
Russian troops,Daraa,11/21/15,Warplane shelling,10,6,22,0
Russian troops,Homs,10/16/15,Warplane shelling,0,2,22,0
Russian troops,Homs,12/1/15,Warplane shelling,8,2,22,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,1/15/15,Kidnapping - Execution,0,0,21,18
Not identified,Aleppo,12/5/15,Explosion,0,0,21,0
Syrian government and affiliated militias,Damascus Suburbs,8/20/15,Shelling,6,3,21,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,10/13/15,Kidnapping - Execution,0,0,21,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,8/29/15,Kidnapping - Execution,0,0,21,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Raqqa,11/28/15,Explosion,6,12,21,0
Armed opposition groups,Damascus,6/17/15,Shelling,8,2,20,0
Armed opposition groups,Deir Ezzor,5/31/15,Shelling,2,4,20,0
Armed opposition groups,Hasakeh,3/5/15,Shooting,4,0,20,0
Armed opposition groups,Lattakia,11/12/15,Shooting,0,0,20,0
Armed opposition groups,Unknown,5/10/15,Shooting,0,0,20,0
Syrian government and affiliated militias,Damascus Suburbs,2/7/15,Shooting,0,3,18,24
Russian troops,Hama,10/21/15,Warplane shelling,10,2,18,4
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,6/24/15,Explosion,3,9,18,3
Russian troops,Idlib,10/7/15,Warplane shelling,4,4,18,2
Armed opposition groups,Aleppo,1/1/15,Shooting,4,4,18,0
Armed opposition groups,Aleppo,4/27/15,Shooting,6,4,18,0
Armed opposition groups,Aleppo,5/1/15,Shelling,0,4,18,0
Armed opposition groups,Aleppo,9/15/15,Shelling,0,4,18,0
Armed opposition groups,Hama,4/14/15,Shelling,2,4,18,0
Armed opposition groups,Homs,9/16/15,Explosion,2,0,18,0
Armed opposition groups,Other Nationalities,3/3/15,Shooting,0,0,18,0
Armed opposition groups,Other Nationalities,10/13/15,Shooting,0,0,18,0
Armed opposition groups,Other Nationalities,12/12/15,Shooting,0,0,18,0
Armed opposition groups,Tartous,7/12/15,Shooting,4,0,18,0
Armed opposition groups,Tartous,10/19/15,Shooting,0,0,18,0
Armed opposition groups,Tartous,11/12/15,Shooting,0,0,18,0
Armed opposition groups,Unknown,1/28/15,Shooting,0,0,18,0
Armed opposition groups,Unknown,2/18/15,Shooting,0,0,18,0
Armed opposition groups,Unknown,5/16/15,Shooting,0,0,18,0
Armed opposition groups,Unknown,11/10/15,Shooting,0,0,18,0
Russian troops,Aleppo,10/16/15,Warplane shelling,4,12,18,0
Russian troops,Idlib,12/9/15,Warplane shelling,8,10,18,0
Russian troops,Raqqa,12/17/15,Warplane shelling,4,0,18,0
Syrian government and affiliated militias,Aleppo,4/29/15,Warplane shelling,0,6,18,0
Syrian government and affiliated militias,Damascus,8/5/15,Field Execution,0,0,18,0
Syrian government and affiliated militias,Damascus Suburbs,4/6/15,Warplane shelling,6,0,18,0
Syrian government and affiliated militias,Damascus Suburbs,4/15/15,Shelling,0,9,18,0
Syrian government and affiliated militias,Damascus Suburbs,5/16/15,Shelling,0,15,18,0
Syrian government and affiliated militias,Damascus Suburbs,8/22/15,Shelling,3,0,18,0
Syrian government and affiliated militias,Idlib,4/21/15,Warplane shelling,0,12,18,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,12/10/15,Kidnapping - Execution,0,0,18,0
Armed opposition groups,Aleppo,1/3/15,Shooting,0,0,16,0
Armed opposition groups,Aleppo,6/1/15,Shelling,0,10,16,0
Armed opposition groups,Aleppo,6/2/15,Shelling,4,8,16,0
Armed opposition groups,Damascus,2/23/15,Shooting,0,0,16,0
Armed opposition groups,Hama,11/12/15,Shooting,0,0,16,0
Armed opposition groups,Lattakia,5/25/15,Shooting,0,0,16,0
Armed opposition groups,Lattakia,9/17/15,Shooting,0,0,16,0
