date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-04,39,1,162.75869944359187,14.928571428571429,8.507142857142858,7.1,40.0,51.0,44.0,18.0,40.68838699932357,6.470906476914758
2014-02-11,48,2,186.43526517277485,13.885714285714284,8.850000000000001,0.0,39.0,40.0,51.0,44.0,40.77459586324203,0.3940932658650181
2014-02-18,46,3,181.55742689909763,16.214285714285715,10.114285714285714,26.2,48.0,39.0,40.0,51.0,40.86080472716049,-7.208360970825755
2014-02-25,45,1,263.39234797470596,17.228571428571428,12.750000000000002,7.1,46.0,48.0,39.0,40.0,40.94701359107895,-13.131328028029344
2014-03-04,31,2,277.10359385370367,17.085714285714285,15.857142857142856,7.1,45.0,46.0,48.0,39.0,41.03322245499741,-10.384423290361138
2014-03-11,33,3,248.0147935228543,19.285714285714285,17.585714285714285,19.1,31.0,45.0,46.0,48.0,41.11943131891587,-15.682390347564732
2014-03-18,51,2,157.9262326871158,15.957142857142857,16.657142857142855,22.200000000000003,33.0,31.0,45.0,46.0,41.20564018283433,-21.179075353486272
2014-03-25,47,4,257.817279482238,17.942857142857143,10.564285714285715,0.6,51.0,33.0,31.0,45.0,41.29184904675279,3.4844960508486063
2014-04-01,58,2,329.26301704747834,16.585714285714285,14.578571428571431,0.0,47.0,51.0,33.0,31.0,41.37805791067125,5.81793925005527
2014-04-08,44,4,285.5165397063073,19.04285714285714,13.785714285714286,0.3,58.0,47.0,51.0,33.0,41.46426677458971,-0.9415662686867764
2014-04-15,52,4,156.34774483563135,18.585714285714285,14.014285714285714,17.3,44.0,58.0,47.0,51.0,41.55047563850817,5.7957230843660446
2014-04-22,60,2,211.09091637462066,21.185714285714283,12.871428571428572,0.3,52.0,44.0,58.0,47.0,41.63668450242663,16.186858591265022
2014-04-29,61,3,144.51271436676396,22.142857142857142,12.978571428571428,0.3,60.0,52.0,44.0,58.0,41.72289336634509,8.347224867394766
2014-05-06,42,3,180.22726773569335,23.72857142857143,14.592857142857143,0.0,61.0,60.0,52.0,44.0,41.80910223026355,7.4755398614732265
2014-05-13,48,3,230.27464388098664,20.785714285714285,14.242857142857144,26.9,42.0,61.0,60.0,52.0,41.895311094182006,12.693598445295278
2014-05-20,60,3,169.87459385935168,21.599999999999998,14.714285714285714,0.3,48.0,42.0,61.0,60.0,41.98151995810047,3.655246772707067
2014-05-27,51,1,176.8631885734666,22.685714285714287,11.950000000000001,0.8,60.0,48.0,42.0,61.0,42.06772882201893,12.011125869349634
2014-06-03,61,2,232.11952042456713,24.128571428571433,15.85714285714286,0.3,51.0,60.0,48.0,42.0,42.153937685937386,12.735594709581942
2014-06-10,56,2,398.12420355153574,25.38571428571429,17.45,0.0,61.0,51.0,60.0,48.0,42.24014654985585,12.690832780583477
2014-06-17,62,3,208.4436685556848,24.82857142857143,13.092857142857143,0.0,56.0,61.0,51.0,60.0,42.32635541377431,16.597993928508103
2014-06-24,61,1,151.8944665570957,25.985714285714284,16.885714285714283,0.0,62.0,56.0,61.0,51.0,42.412564277692766,3.8833602046378424
2014-07-01,36,2,162.8816983486657,26.91428571428571,15.285714285714286,0.0,61.0,62.0,56.0,61.0,42.49877314161123,2.800136737177845
2014-07-08,50,1,141.9443609098556,27.314285714285713,16.428571428571427,0.0,36.0,61.0,62.0,56.0,42.58498200552969,-4.651676473871898
2014-07-15,26,2,140.420895478268,27.871428571428574,16.885714285714283,0.0,50.0,36.0,61.0,62.0,42.67119086944815,-13.010966885358586
2014-07-22,40,3,147.52670643127001,28.028571428571432,19.657142857142855,0.0,26.0,50.0,36.0,61.0,42.75739973336661,-28.6082344403654
2014-07-29,18,2,294.0767818932507,27.942857142857147,18.15,0.0,40.0,26.0,50.0,36.0,42.84360859728507,7.14706210719188
2014-08-05,51,3,140.30938835006742,28.028571428571432,19.064285714285717,0.0,18.0,40.0,26.0,50.0,44.53846153846154,11.98152857771444
2014-08-12,38,1,147.72537301503448,28.400000000000006,16.55,0.0,51.0,18.0,40.0,26.0,44.62500000000001,10.717484490167617
2014-08-19,41,4,164.92997875385663,28.657142857142862,16.435714285714287,0.0,38.0,51.0,18.0,40.0,44.51923076923077,-0.07540575122534798
2014-08-26,48,2,151.9373112112833,28.500000000000004,11.714285714285712,0.0,41.0,38.0,51.0,18.0,44.28846153846154,3.2823450330227013
2014-09-02,32,1,149.16119185994813,29.442857142857143,14.014285714285714,0.0,48.0,41.0,38.0,51.0,44.20192307692307,7.684967612142549
2014-09-09,51,2,216.67776898409554,28.571428571428577,11.6,0.0,32.0,48.0,41.0,38.0,44.355769230769226,-2.29061493694273
2014-09-16,36,2,135.3257706319596,28.1,15.164285714285716,0.0,51.0,32.0,48.0,41.0,44.31730769230769,0.6536743088437819
2014-09-23,36,1,169.62627738948876,27.7,14.235714285714286,0.0,36.0,51.0,32.0,48.0,44.29807692307692,-15.055882599215856
2014-09-30,42,1,263.89250020465084,26.599999999999998,22.300000000000004,16.0,36.0,36.0,51.0,32.0,44.480769230769226,-7.823131814967803
2014-10-07,23,3,128.52077614999587,25.342857142857138,13.192857142857141,8.9,42.0,36.0,36.0,51.0,44.25,-11.285893851232574
2014-10-14,60,1,147.35434333368227,25.171428571428574,10.678571428571429,5.8,23.0,42.0,36.0,36.0,44.182692307692314,1.2737800099385517
2014-10-21,47,2,244.44156065939887,22.7,15.971428571428572,29.800000000000004,60.0,23.0,42.0,36.0,44.52884615384615,12.077043614699425
2014-10-28,37,1,127.80122864757334,23.22857142857143,10.571428571428571,0.0,47.0,60.0,23.0,42.0,44.46153846153847,7.534153373306447
2014-11-04,50,1,244.582438204952,21.828571428571426,11.95,16.5,37.0,47.0,60.0,23.0,44.00000000000001,6.693186208836554
2014-11-11,50,2,247.2913708002924,20.628571428571426,8.735714285714286,0.0,50.0,37.0,47.0,60.0,43.97115384615384,-1.2214989043512872
2014-11-18,87,3,183.148415771314,20.400000000000002,11.714285714285714,46.3,50.0,50.0,37.0,47.0,44.25,4.876636495281381
2014-11-25,43,1,269.5425376302048,18.185714285714287,17.928571428571427,37.9,87.0,50.0,50.0,37.0,44.15384615384615,13.36259240773456
2014-12-02,53,3,137.09378685065437,17.7,12.985714285714286,19.3,43.0,87.0,50.0,50.0,43.96153846153847,-8.90786193622252
