date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,12,2,218.85776293262634,13.885714285714284,8.850000000000001,0.0,10.0,6.0,6.0,8.0,12.0,-30.134214367336757,-7.777899159272933
2014-02-18,5,3,204.7022408968745,16.214285714285715,10.114285714285714,26.2,12.0,10.0,6.0,6.0,8.0,-29.051708653764067,4.8035732951771895
2014-02-25,19,1,286.27106063670925,17.228571428571428,12.750000000000002,7.1,5.0,12.0,10.0,6.0,6.0,-27.969202940191376,1.3754303650119404
2014-03-04,9,2,294.488256667718,17.085714285714285,15.857142857142856,7.1,19.0,5.0,12.0,10.0,6.0,-26.886697226618686,-0.789892052332811
2014-03-11,8,3,265.30447970367806,19.285714285714285,17.585714285714285,19.1,9.0,19.0,5.0,12.0,10.0,-25.804191513045996,1.301195786732702
2014-03-18,29,2,174.03377815168443,15.957142857142857,16.657142857142855,22.200000000000003,8.0,9.0,19.0,5.0,12.0,-24.721685799473306,5.369847728362322
2014-03-25,9,4,272.1721601004583,17.942857142857143,10.564285714285715,0.6,29.0,8.0,9.0,19.0,5.0,-23.639180085900612,1.9384996699919324
2014-04-01,7,2,343.7413262394232,16.585714285714285,14.578571428571431,0.0,9.0,29.0,8.0,9.0,19.0,-22.556674372327926,-12.816566337096393
2014-04-08,3,4,291.0480789590852,19.04285714285714,13.785714285714286,0.3,7.0,9.0,29.0,8.0,9.0,-21.474168658755232,-10.741504139056527
2014-04-15,4,4,159.08227711159182,18.585714285714285,14.014285714285714,17.3,3.0,7.0,9.0,29.0,8.0,-20.391662945182546,-12.124775274349986
2014-04-22,12,2,216.76438695832738,21.185714285714283,12.871428571428572,0.3,4.0,3.0,7.0,9.0,29.0,-19.309157231609852,-12.568943845540886
2014-04-29,4,3,155.21691544524535,22.142857142857142,12.978571428571428,0.3,12.0,4.0,3.0,7.0,9.0,-18.226651518037166,-10.38811241673178
2014-05-06,7,3,187.4942119712016,23.72857142857143,14.592857142857143,0.0,4.0,12.0,4.0,3.0,7.0,-17.144145804464472,-17.540614321256008
2014-05-13,3,3,233.2570447219428,20.785714285714285,14.242857142857144,26.9,7.0,4.0,12.0,4.0,3.0,-16.061640090891782,-14.388629046293063
2014-05-20,8,3,187.29112172943826,21.599999999999998,14.714285714285714,0.3,3.0,7.0,4.0,12.0,4.0,-14.979134377319092,-19.624464284150626
2014-05-27,10,1,196.81623481867055,22.685714285714287,11.950000000000001,0.8,8.0,3.0,7.0,4.0,12.0,-13.896628663746402,-13.847479009187676
2014-06-03,11,2,243.04062536849196,24.128571428571433,15.85714285714286,0.3,10.0,8.0,3.0,7.0,4.0,-12.814122950173712,-14.807673221404213
2014-06-10,12,2,404.9188614419678,25.38571428571429,17.45,0.0,11.0,10.0,8.0,3.0,7.0,-11.731617236601021,-17.049918715672042
2014-06-17,10,3,209.32060217530034,24.82857142857143,13.092857142857143,0.0,12.0,11.0,10.0,8.0,3.0,-10.649111523028331,-12.074215491991144
2014-06-24,4,1,147.42485303268788,25.985714285714284,16.885714285714283,0.0,10.0,12.0,11.0,10.0,8.0,-9.566605809455641,18.789308244510273
2014-07-01,7,2,166.79307191144676,26.91428571428571,15.285714285714286,0.0,4.0,10.0,12.0,11.0,10.0,-8.484100095882951,3.774626852806552
2014-07-08,7,1,137.37682519833885,27.314285714285713,16.428571428571427,0.0,7.0,4.0,10.0,12.0,11.0,-7.401594382310261,8.163791614948988
2014-07-15,3,2,140.48754077511217,27.871428571428574,16.885714285714283,0.0,7.0,7.0,4.0,10.0,12.0,-6.319088668737571,-0.6613619783628613
2014-07-22,12,3,155.94506986717172,28.028571428571432,19.657142857142855,0.0,3.0,7.0,7.0,4.0,10.0,-5.236582955164881,-13.423979314568303
2014-07-29,7,2,298.2069429921869,27.942857142857147,18.15,0.0,12.0,3.0,7.0,7.0,4.0,-4.154077241592187,-2.6064684456455467
2014-08-05,9,3,139.67325438478147,28.028571428571432,19.064285714285717,0.0,7.0,12.0,3.0,7.0,7.0,-3.071571528019497,16.797580884815673
2014-08-12,2,1,160.70036123242247,28.400000000000006,16.55,0.0,9.0,7.0,12.0,3.0,7.0,9.346153846153848,0.5097621232818108
2014-08-19,14,4,179.3079987275705,28.657142857142862,16.435714285714287,0.0,2.0,9.0,7.0,12.0,3.0,9.26923076923077,-12.077917410963508
2014-08-26,8,2,163.36695528913728,28.500000000000004,11.714285714285712,0.0,14.0,2.0,9.0,7.0,12.0,9.240384615384615,-3.466878996490871
2014-09-02,2,1,159.43086895464594,29.442857142857143,14.014285714285714,0.0,8.0,14.0,2.0,9.0,7.0,9.163461538461538,-6.432763658941317
2014-09-09,7,2,226.75540812776185,28.571428571428577,11.6,0.0,2.0,8.0,14.0,2.0,9.0,9.211538461538462,-8.00121242395586
2014-09-16,18,2,146.16026314925142,28.1,15.164285714285716,0.0,7.0,2.0,8.0,14.0,2.0,9.394230769230768,-6.040815035124251
2014-09-23,20,1,180.4157656082704,27.7,14.235714285714286,0.0,18.0,7.0,2.0,8.0,14.0,9.394230769230768,-12.30477662065162
2014-09-30,0,1,276.47272386661024,26.599999999999998,22.300000000000004,16.0,20.0,18.0,7.0,2.0,8.0,9.25,5.886389998949223
2014-10-07,3,3,139.14599222517793,25.342857142857138,13.192857142857141,8.9,0.0,20.0,18.0,7.0,2.0,9.278846153846155,-22.303853637860197
2014-10-14,11,1,152.04505023034338,25.171428571428574,10.678571428571429,5.8,3.0,0.0,20.0,18.0,7.0,9.480769230769234,3.8135950330226915
2014-10-21,13,2,246.6772056028548,22.7,15.971428571428572,29.800000000000004,11.0,3.0,0.0,20.0,18.0,9.605769230769234,14.87335139621327
2014-10-28,14,1,136.31682277886873,23.22857142857143,10.571428571428571,0.0,13.0,11.0,3.0,0.0,20.0,9.634615384615387,20.282466733762824
2014-11-04,4,1,253.44086610736616,21.828571428571426,11.95,16.5,14.0,13.0,11.0,3.0,0.0,9.663461538461542,18.050556430286747
2014-11-11,10,2,257.6468447681421,20.628571428571426,8.735714285714286,0.0,4.0,14.0,13.0,11.0,3.0,9.653846153846157,21.10710766527219
