date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,75,2,186.43526517277485,13.885714285714284,8.850000000000001,0.0,97.0,82.0,105.0,51.0,32.0,71.98701721952594,22.84616338929792
2014-02-18,111,3,181.55742689909763,16.214285714285715,10.114285714285714,26.2,75.0,97.0,82.0,105.0,51.0,72.9216994266725,-10.465397346417605
2014-02-25,86,1,263.39234797470596,17.228571428571428,12.750000000000002,7.1,111.0,75.0,97.0,82.0,105.0,73.85638163381907,-21.77054782572287
2014-03-04,79,2,277.10359385370367,17.085714285714285,15.857142857142856,7.1,86.0,111.0,75.0,97.0,82.0,74.79106384096563,-13.646211125540946
2014-03-11,84,3,248.0147935228543,19.285714285714285,17.585714285714285,19.1,79.0,86.0,111.0,75.0,97.0,75.72574604811219,10.096715318230705
2014-03-18,82,2,157.9262326871158,15.957142857142857,16.657142857142855,22.200000000000003,84.0,79.0,86.0,111.0,75.0,76.66042825525875,-16.31099926363866
2014-03-25,83,4,257.817279482238,17.942857142857143,10.564285714285715,0.6,82.0,84.0,79.0,86.0,111.0,77.59511046240532,0.44154256474838216
2014-04-01,97,2,329.26301704747834,16.585714285714285,14.578571428571431,0.0,83.0,82.0,84.0,79.0,86.0,78.52979266955188,16.88318695723799
2014-04-08,59,4,285.5165397063073,19.04285714285714,13.785714285714286,0.3,97.0,83.0,82.0,84.0,79.0,79.46447487669845,32.64534417024041
2014-04-15,94,4,156.34774483563135,18.585714285714285,14.014285714285714,17.3,59.0,97.0,83.0,82.0,84.0,80.39915708384501,-2.919421693680227
2014-04-22,92,2,211.09091637462066,21.185714285714283,12.871428571428572,0.3,94.0,59.0,97.0,83.0,82.0,81.33383929099156,8.983761160347846
2014-04-29,74,3,144.51271436676396,22.142857142857142,12.978571428571428,0.3,92.0,94.0,59.0,97.0,83.0,82.26852149813813,4.858097860529761
2014-05-06,58,3,180.22726773569335,23.72857142857143,14.592857142857143,0.0,74.0,92.0,94.0,59.0,97.0,83.2032037052847,12.302947381224486
2014-05-13,68,3,230.27464388098664,20.785714285714285,14.242857142857144,26.9,58.0,74.0,92.0,94.0,59.0,84.13788591243126,-19.9925877134654
2014-05-20,100,3,169.87459385935168,21.599999999999998,14.714285714285714,0.3,68.0,58.0,74.0,92.0,94.0,85.07256811957782,-13.615045885078361
2014-05-27,87,1,176.8631885734666,22.685714285714287,11.950000000000001,0.8,100.0,68.0,58.0,74.0,92.0,86.00725032672439,-7.878529697716953
2014-06-03,104,2,232.11952042456713,24.128571428571433,15.85714285714286,0.3,87.0,100.0,68.0,58.0,74.0,86.94193253387095,-11.494577612919644
2014-06-10,95,2,398.12420355153574,25.38571428571429,17.45,0.0,104.0,87.0,100.0,68.0,58.0,87.8766147410175,26.193861651364838
2014-06-17,74,3,208.4436685556848,24.82857142857143,13.092857142857143,0.0,95.0,104.0,87.0,100.0,68.0,88.81129694816407,-4.848468315119918
2014-06-24,101,1,151.8944665570957,25.985714285714284,16.885714285714283,0.0,74.0,95.0,104.0,87.0,100.0,89.74597915531064,-0.3907982816046615
2014-07-01,112,2,162.8816983486657,26.91428571428571,15.285714285714286,0.0,101.0,74.0,95.0,104.0,87.0,90.6806613624572,-15.026076966038131
2014-07-08,88,1,141.9443609098556,27.314285714285713,16.428571428571427,0.0,112.0,101.0,74.0,95.0,104.0,91.61534356960377,-6.632509496625461
2014-07-15,80,2,140.420895478268,27.871428571428574,16.885714285714283,0.0,88.0,112.0,101.0,74.0,95.0,92.55002577675032,-27.741971479476028
2014-07-22,65,3,147.52670643127001,28.028571428571432,19.657142857142855,0.0,80.0,88.0,112.0,101.0,74.0,93.4847079838969,-58.66823355514477
