date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,11,2,159.9861127665467,13.885714285714284,8.850000000000001,0.0,0.0,18.0,9.0,7.0,11.0,-111.94037936152466,31.29308664545423
2014-02-18,8,3,163.489738777563,16.214285714285715,10.114285714285714,26.2,11.0,0.0,18.0,9.0,7.0,-107.22329151041906,36.810467618162654
2014-02-25,15,1,246.2899429166637,17.228571428571428,12.750000000000002,7.1,8.0,11.0,0.0,18.0,9.0,-102.50620365931344,34.61631012933256
2014-03-04,18,2,264.1132733307715,17.085714285714285,15.857142857142856,7.1,15.0,8.0,11.0,0.0,18.0,-97.78911580820784,34.6529218712717
2014-03-11,24,3,231.33095211468572,19.285714285714285,17.585714285714285,19.1,18.0,15.0,8.0,11.0,0.0,-93.07202795710222,20.01966181833909
2014-03-18,15,2,144.4066846600613,15.957142857142857,16.657142857142855,22.200000000000003,24.0,18.0,15.0,8.0,11.0,-88.35494010599662,28.162042791047455
2014-03-25,19,4,244.87548637546078,17.942857142857143,10.564285714285715,0.6,15.0,24.0,18.0,15.0,8.0,-83.63785225489102,25.83006478939688
2014-04-01,7,2,316.91085895810045,16.585714285714285,14.578571428571431,0.0,19.0,15.0,24.0,18.0,15.0,-78.9207644037854,37.53334319800271
2014-04-08,19,4,278.3157747216301,19.04285714285714,13.785714285714286,0.3,7.0,19.0,15.0,24.0,18.0,-74.2036765526798,22.05713442712134
2014-04-15,14,4,150.5467487191338,18.585714285714285,14.014285714285714,17.3,19.0,7.0,19.0,15.0,24.0,-69.48658870157419,7.276438476752826
2014-04-22,6,2,203.56956705566634,21.185714285714283,12.871428571428572,0.3,14.0,19.0,7.0,19.0,15.0,-64.76950085046857,23.998947654589394
2014-04-29,4,3,134.50350458080396,22.142857142857142,12.978571428571428,0.3,6.0,14.0,19.0,7.0,19.0,-60.05241299936297,55.53555939652857
2014-05-06,15,3,171.14750310169006,23.72857142857143,14.592857142857143,0.0,4.0,6.0,14.0,19.0,7.0,-55.33532514825736,74.6170429333395
2014-05-13,13,3,224.5389332868084,20.785714285714285,14.242857142857144,26.9,15.0,4.0,6.0,14.0,19.0,-50.61823729715175,29.153654675278666
2014-05-20,48,3,155.38830661683824,21.599999999999998,14.714285714285714,0.3,13.0,15.0,4.0,6.0,14.0,-45.90114944604615,41.5973176992691
2014-05-27,34,1,158.32790812801647,22.685714285714287,11.950000000000001,0.8,48.0,13.0,15.0,4.0,6.0,-41.18406159494053,68.02495508223389
2014-06-03,7,2,221.72564598648083,24.128571428571433,15.85714285714286,0.3,34.0,48.0,13.0,15.0,4.0,-36.46697374383493,51.85002836263456
2014-06-10,33,2,388.95717699631183,25.38571428571429,17.45,0.0,7.0,34.0,48.0,13.0,15.0,-31.749885892729324,13.553306771240432
2014-06-17,33,3,203.91777922854143,24.82857142857143,13.092857142857143,0.0,33.0,7.0,34.0,48.0,13.0,-27.032798041623707,32.371969795230854
2014-06-24,28,1,151.38852626192016,25.985714285714284,16.885714285714283,0.0,33.0,33.0,7.0,34.0,48.0,-22.315710190518104,50.07204307563154
2014-07-01,17,2,156.57328905189775,26.91428571428571,15.285714285714286,0.0,28.0,33.0,33.0,7.0,34.0,-17.598622339412486,13.717629176545046
2014-07-08,34,1,142.20932151761502,27.314285714285713,16.428571428571427,0.0,17.0,28.0,33.0,33.0,7.0,-12.881534488306883,2.959369123612433
2014-07-15,49,2,138.5196039382167,27.871428571428574,16.885714285714283,0.0,34.0,17.0,28.0,33.0,33.0,-8.16444663720128,-18.285689101195942
2014-07-22,19,3,139.80512555796142,28.028571428571432,19.657142857142855,0.0,49.0,34.0,17.0,28.0,33.0,-3.4473587860956627,-45.13950414234025
2014-07-29,18,2,287.70612039690474,27.942857142857147,18.15,0.0,19.0,49.0,34.0,17.0,28.0,1.2697290650099404,-1.9676781578434985
2014-08-05,14,3,138.60799647929295,28.028571428571432,19.064285714285717,0.0,18.0,19.0,49.0,34.0,17.0,5.986816916115544,27.502224749730175
2014-08-12,45,1,138.72947912932148,28.400000000000006,16.55,0.0,14.0,18.0,19.0,49.0,34.0,25.20192307692308,8.931121554069833
2014-08-19,33,4,152.1570146606666,28.657142857142862,16.435714285714287,0.0,45.0,14.0,18.0,19.0,49.0,27.692307692307693,15.797105027396643
2014-08-26,26,2,140.35075927291882,28.500000000000004,11.714285714285712,0.0,33.0,45.0,14.0,18.0,19.0,30.35576923076923,11.695139782774742
2014-09-02,22,1,140.51583307609846,29.442857142857143,14.014285714285714,0.0,26.0,33.0,45.0,14.0,18.0,32.93269230769231,-42.10874853877022
2014-09-09,34,2,210.15648967129673,28.571428571428577,11.6,0.0,22.0,26.0,33.0,45.0,14.0,35.403846153846146,38.22197852430017
2014-09-16,50,2,127.68577111437149,28.1,15.164285714285716,0.0,34.0,22.0,26.0,33.0,45.0,37.63461538461538,-28.11716620750125
2014-09-23,66,1,158.59826831992697,27.7,14.235714285714286,0.0,50.0,34.0,22.0,26.0,33.0,39.86538461538462,-19.943490426482114
2014-09-30,8,1,251.96159610520382,26.599999999999998,22.300000000000004,16.0,66.0,50.0,34.0,22.0,26.0,42.56730769230771,16.188518687870346
2014-10-07,20,3,120.26244551510352,25.342857142857138,13.192857142857141,8.9,8.0,66.0,50.0,34.0,22.0,45.538461538461554,-41.69229271059774
2014-10-14,43,1,141.70898315820412,25.171428571428574,10.678571428571429,5.8,20.0,8.0,66.0,50.0,34.0,48.53846153846155,1.3211266601649552
2014-10-21,43,2,241.26947943879506,22.7,15.971428571428572,29.800000000000004,43.0,20.0,8.0,66.0,50.0,51.64423076923078,2.3409562873379244
2014-10-28,13,1,121.2296599827298,23.22857142857143,10.571428571428571,0.0,43.0,43.0,20.0,8.0,66.0,55.3173076923077,-7.113573059848077
2014-11-04,11,1,234.01050395106336,21.828571428571426,11.95,16.5,13.0,43.0,43.0,20.0,8.0,60.778846153846146,-10.295666509598197
2014-11-11,17,2,237.09754485573674,20.628571428571426,8.735714285714286,0.0,11.0,13.0,43.0,43.0,20.0,66.24038461538461,-50.21173431832267
2014-11-18,44,3,176.18147371500538,20.400000000000002,11.714285714285714,46.3,17.0,11.0,13.0,43.0,43.0,70.76923076923077,-32.438699562944564
2014-11-25,39,1,261.91475983677117,18.185714285714287,17.928571428571427,37.9,44.0,17.0,11.0,13.0,43.0,75.67307692307692,-79.32912634602799
2014-12-02,9,3,134.393734517519,17.7,12.985714285714286,19.3,39.0,44.0,17.0,11.0,13.0,80.68269230769232,-38.80929671885505
2014-12-09,17,1,167.50560593542014,20.4,9.428571428571429,13.0,9.0,39.0,44.0,17.0,11.0,86.04807692307693,-53.4401081173231
2014-12-16,47,2,261.457238154341,18.414285714285715,13.664285714285715,6.699999999999999,17.0,9.0,39.0,44.0,17.0,92.05769230769234,-50.75040669527837
2014-12-23,17,2,491.394636770253,17.014285714285712,10.571428571428571,17.0,47.0,17.0,9.0,39.0,44.0,97.94230769230771,5.054679342150999
2014-12-30,33,4,319.498671941728,16.75714285714286,14.592857142857143,3.0,17.0,47.0,17.0,9.0,39.0,103.3846153846154,-21.233183338368335
2015-01-06,10,2,236.8490643520759,14.914285714285715,18.949999999999996,34.6,33.0,17.0,47.0,17.0,9.0,108.25,-58.82232807016971
2015-01-13,36,1,511.77608075477957,10.157142857142857,15.52142857142857,17.8,10.0,33.0,17.0,47.0,17.0,112.72115384615384,-119.44345006479755
2015-01-20,26,1,378.4098319062546,14.357142857142856,10.335714285714287,16.3,36.0,10.0,33.0,17.0,47.0,116.75961538461539,-37.05402698787451
2015-01-27,26,1,342.04500762797335,16.614285714285714,8.735714285714286,0.0,26.0,36.0,10.0,33.0,17.0,120.35576923076923,-59.44345006479756
2015-02-03,107,2,238.2593286643031,15.957142857142857,14.82142857142857,16.0,26.0,26.0,36.0,10.0,33.0,125.59615384615385,-47.11652698787449
2015-02-10,163,3,328.2137698966276,16.842857142857145,19.764285714285712,9.399999999999999,107.0,26.0,26.0,36.0,10.0,131.33653846153848,31.29308664545423
2015-02-17,133,1,137.89196640059237,12.371428571428572,22.071428571428573,41.199999999999996,163.0,107.0,26.0,26.0,36.0,136.21153846153845,36.810467618162654
2015-02-24,158,2,434.52163652403084,11.828571428571431,17.571428571428573,22.0,133.0,163.0,107.0,26.0,26.0,141.62500000000003,34.61631012933256
2015-03-03,132,2,529.2205090613355,16.928571428571427,14.578571428571431,4.8,158.0,133.0,163.0,107.0,26.0,146.75000000000003,34.6529218712717
2015-03-10,142,1,668.8810772298386,18.342857142857145,9.421428571428573,0.3,132.0,158.0,133.0,163.0,107.0,152.08653846153848,20.01966181833909
2015-03-17,129,1,278.0753279508005,16.52857142857143,14.585714285714287,6.3,142.0,132.0,158.0,133.0,163.0,157.05769230769232,28.162042791047455
2015-03-24,186,3,287.2448691716446,16.285714285714285,20.45714285714286,6.6,129.0,142.0,132.0,158.0,133.0,161.25961538461542,25.83006478939688
2015-03-31,149,2,392.81157270007253,18.814285714285717,12.757142857142856,2.6,186.0,129.0,142.0,132.0,158.0,167.0673076923077,37.53334319800271
2015-04-07,189,1,249.7901100494518,18.32857142857143,15.171428571428574,0.0,149.0,186.0,129.0,142.0,132.0,172.0673076923077,22.05713442712134
2015-04-14,167,1,333.07868317493063,16.52857142857143,18.949999999999996,27.800000000000004,189.0,149.0,186.0,129.0,142.0,176.19230769230765,7.276438476752826
2015-04-21,235,2,235.05837567690278,18.885714285714283,15.75,0.6,167.0,189.0,149.0,186.0,129.0,181.2211538461538,23.998947654589394
2015-04-28,343,3,332.6924391872425,19.428571428571427,19.29285714285714,1.3,235.0,167.0,189.0,149.0,186.0,185.9326923076923,55.53555939652857
2015-05-05,244,3,144.99572085524701,21.04285714285714,14.242857142857144,0.6,343.0,235.0,167.0,189.0,149.0,190.94230769230768,74.6170429333395
2015-05-12,255,3,251.63810573525058,21.814285714285717,12.064285714285715,2.3,244.0,343.0,235.0,167.0,189.0,196.15384615384613,29.153654675278666
2015-05-19,316,1,155.02993560344143,24.74285714285714,13.442857142857145,3.1,255.0,244.0,343.0,235.0,167.0,201.4807692307692,41.5973176992691
2015-05-26,287,3,406.1898188511355,24.2,14.135714285714286,0.6,316.0,255.0,244.0,343.0,235.0,206.11538461538464,68.02495508223389
2015-06-02,312,1,488.36152686112956,24.6,15.742857142857144,3.0,287.0,316.0,255.0,244.0,343.0,210.2692307692308,51.85002836263456
2015-06-09,353,2,141.39110247532528,24.585714285714285,11.828571428571427,0.0,312.0,287.0,316.0,255.0,244.0,214.9519230769231,13.553306771240432
2015-06-16,325,3,239.46691351095112,24.342857142857145,11.942857142857141,0.0,353.0,312.0,287.0,316.0,255.0,219.3942307692308,32.371969795230854
2015-06-23,302,1,273.94801411654163,25.657142857142855,17.235714285714288,0.0,325.0,353.0,312.0,287.0,316.0,224.19230769230774,50.07204307563154
2015-06-30,249,4,360.1044292671314,25.67142857142857,19.87142857142857,0.0,302.0,325.0,353.0,312.0,287.0,229.80769230769232,13.717629176545046
2015-07-07,267,1,396.40888830506066,26.3,13.671428571428569,0.0,249.0,302.0,325.0,353.0,312.0,234.90384615384616,2.959369123612433
2015-07-14,236,1,252.19411319528692,26.771428571428572,14.135714285714286,0.0,267.0,249.0,302.0,325.0,353.0,238.76923076923077,-18.285689101195942
2015-07-21,206,1,158.61879215769974,27.31428571428571,14.478571428571428,0.0,236.0,267.0,249.0,302.0,325.0,243.1923076923077,-45.13950414234025
2015-07-28,376,2,160.09739658610275,28.657142857142862,11.828571428571427,0.0,206.0,236.0,267.0,249.0,302.0,248.53846153846155,-1.9676781578434985
2015-08-04,253,3,214.85438926836213,29.385714285714283,12.985714285714286,0.0,376.0,206.0,236.0,267.0,249.0,253.9903846153846,27.502224749730175
2015-08-11,313,2,328.4506766388863,29.5,13.085714285714285,0.0,253.0,376.0,206.0,236.0,267.0,259.06730769230774,8.931121554069833
2015-08-18,328,3,234.23798697906426,29.985714285714284,13.428571428571429,0.0,313.0,253.0,376.0,206.0,236.0,262.5576923076923,15.797105027396643
2015-08-25,264,2,152.15397252145584,29.271428571428572,14.935714285714287,0.0,328.0,313.0,253.0,376.0,206.0,265.7788461538462,11.695139782774742
2015-09-01,339,1,152.9202433964371,29.35714285714286,10.564285714285715,0.0,264.0,328.0,313.0,253.0,376.0,269.1923076923077,-42.10874853877022
2015-09-08,234,1,143.30540338989647,29.21428571428571,9.535714285714286,0.0,339.0,264.0,328.0,313.0,253.0,272.30769230769226,38.22197852430017
2015-09-15,287,1,124.90719360421716,30.400000000000002,11.02142857142857,0.0,234.0,339.0,264.0,328.0,313.0,275.67307692307696,-28.11716620750125
2015-09-22,433,2,120.11121493277265,28.814285714285717,11.492857142857142,0.0,287.0,234.0,339.0,264.0,328.0,279.5,-19.943490426482114
2015-09-29,161,1,123.60917788305954,28.5,12.514285714285716,0.0,433.0,287.0,234.0,339.0,264.0,282.98076923076917,16.188518687870346
2015-10-06,296,2,153.85731434366443,27.871428571428574,11.142857142857142,0.0,161.0,433.0,287.0,234.0,339.0,286.2307692307692,-41.69229271059774
2015-10-13,290,2,145.04687997590835,25.885714285714283,13.9,5.1,296.0,161.0,433.0,287.0,234.0,288.76923076923083,1.3211266601649552
2015-10-20,286,3,135.5490581251455,26.057142857142853,9.764285714285714,0.0,290.0,296.0,161.0,433.0,287.0,291.1826923076924,2.3409562873379244
2015-10-27,291,2,145.46682493624232,25.085714285714285,11.95,56.6,286.0,290.0,296.0,161.0,433.0,294.4519230769231,-7.113573059848077
2015-11-03,275,3,271.43860251030594,22.371428571428574,10.571428571428571,9.9,291.0,286.0,290.0,296.0,161.0,296.11538461538464,-10.295666509598197
2015-11-10,307,4,263.05949130140715,22.214285714285715,10.335714285714285,5.8,275.0,291.0,286.0,290.0,296.0,296.9807692307693,-50.21173431832267
2015-11-17,236,3,310.1821045170236,20.7,8.85,3.0,307.0,275.0,291.0,286.0,290.0,298.7115384615385,-32.438699562944564
