lag_nb,lb,p-values,bpvalue,bpp-values
0,75.51149156138479,3.632864012015677e-18,74.04048847902015,7.653110642755032e-18
1,130.15155333169295,5.469520928551997e-29,127.26132786568394,2.3203514725471636e-28
2,183.22519739705965,1.7739351697522776e-39,178.6118016691881,1.7589220964950503e-38
3,218.79667790338564,3.403044302301378e-46,212.7973803376053,6.647142094764564e-45
4,249.9422785574379,5.655935343001188e-52,242.5272718710188,2.2039040536915582e-50
5,276.63143430973986,8.264943495602385e-57,267.82997797385053,6.317911042620438e-55
6,294.66724660855465,8.324924337362631e-60,284.8117492941631,1.0563194688497456e-57
7,303.7801566726642,6.456836044349513e-61,293.33291195151236,1.0797465143920728e-58
8,310.32880970436355,1.6785199721786837e-61,299.41380405237607,3.4755576591122285e-59
9,315.99731738906286,6.419791355614409e-62,304.6406098395663,1.6234217261466377e-59
10,319.4812295548013,6.829277292245988e-62,307.8304255237814,1.9596702144913198e-59
11,322.0042891458615,1.112364520022561e-61,310.1241160611088,3.506629193515039e-59
12,324.96403352018604,1.4126225825555793e-61,312.7955736457265,5.032656827821732e-59
13,325.6425209218011,5.209077605204345e-61,313.4035688497712,1.884661037191169e-58
14,326.14706601399337,2.013611932766552e-60,313.85241740581233,7.344297300195789e-58
15,327.0399359618684,6.24631431613885e-60,314.64092593120847,2.3512101339014724e-57
16,327.59312389098653,2.209899748832421e-59,315.1258634015394,8.434076160747079e-57
17,327.7055687046894,9.361557985749797e-59,315.22370499268345,3.5294128691430807e-56
18,327.7235776774637,4.028647700504902e-58,315.2392581964431,1.4915960071942346e-55
19,327.74632004152187,1.682554791019785e-57,315.25875165135,6.1201396762689624e-55
20,327.74669052622147,6.917801411842969e-57,315.25906680391915,2.4682806869602864e-54
21,328.21517080470613,2.226532443508623e-56,315.65453716887384,8.0682089470515e-54
22,329.32439123080803,5.191034503856467e-56,316.58368934398516,2.0096313688128294e-53
23,331.7016313339171,6.565254664867016e-56,318.559577221894,3.013997958176234e-53
24,335.42966454907213,4.35882404569622e-56,321.63399422400244,2.6709215229317595e-53
25,338.2951201611389,4.273166930160431e-56,323.97845790660256,3.2784318785878595e-53
26,344.73557384470234,7.882689739151157e-57,329.20609888352095,1.0476404464026252e-53
27,351.2583690942779,1.3927669072842414e-57,334.4582197338285,3.28856152564632e-54
28,357.8365215233351,2.3879040757507163e-58,339.71219862197165,1.025158752198865e-54
29,366.5674042778119,1.5084270387856613e-59,346.6288719729208,1.4795107366399778e-55
30,371.59471644402885,5.254692052471758e-60,350.57890296066273,8.310740979331645e-56
31,376.9405110596353,1.5716459923591242e-60,354.7444572065898,4.198892078772433e-56
32,380.6071883681745,1.0119041223034406e-60,357.5777987631882,3.8744824123347615e-56
33,382.22397431225886,1.6552137446842149e-60,358.8166347463178,7.330456463851859e-56
34,385.7445446526432,1.1208535845793593e-60,361.4913537711552,7.135613001490972e-56
35,389.6881976147985,6.213197536277698e-61,364.4618975608306,6.023879071110107e-56
36,391.6621910435739,8.400286292151799e-61,365.9359835628382,9.937415940532111e-56
37,392.69156272187945,1.728518126423386e-60,366.69798597405145,2.2377495610450335e-55
38,393.6725854441958,3.5957129119049986e-60,367.4178273222446,5.076766293084888e-55
39,394.0693445141439,9.636646289811268e-60,367.7063793731159,1.3819939338097757e-54
