lag_nb,lb,p-values,bpvalue,bpp-values
0,114.58552528103462,9.699150937541707e-27,112.33875027552413,3.0119109961357766e-26
1,210.60133056431312,1.855675898698618e-46,205.84433842721364,2.0020266072216867e-45
2,302.1448038517984,3.4163897129821626e-65,294.39619494059804,1.6238744177239776e-63
3,391.4312010216103,1.9753018875728706e-83,380.1811647704174,5.320449095610194e-81
4,482.1309572797596,5.7392971765835285e-102,466.7312589775403,1.207264666445997e-98
5,576.802953175054,2.3485879067524527e-121,556.4530851528192,5.736365461526408e-117
6,660.7422704094064,1.9992030430263605e-138,635.4547954910332,5.619849919381966e-133
7,745.3252460712565,1.2415844822707894e-155,714.5094720900173,5.378661863751703e-149
8,827.6936956354689,2.3204474338827377e-172,790.9560069796785,1.8802693952011273e-164
9,901.4872665525385,3.0471725101576173e-187,858.9618468444289,4.309465226398987e-178
10,968.7460007397545,1.0185370268714582e-200,920.5057866235808,2.4187639470112854e-190
11,1037.1207341498402,1.954830132005502e-214,982.6240084798025,1.0184660074125542e-202
12,1098.5311812706022,1.1774194771707518e-226,1038.0138235299014,1.1940232904652697e-213
13,1156.190911825254,4.523988008651982e-238,1089.643778340276,8.950660396386071e-224
14,1204.4978731510594,1.7689942100946995e-247,1132.5832995187698,4.9011087665804955e-232
15,1248.942253070274,4.641724949835342e-256,1171.7989288592532,1.6774042238884089e-239
16,1297.2015977471663,1.836252376070201e-265,1214.0652830207146,1.2628736337600276e-247
17,1343.3736314916266,2.02830000239558e-274,1254.2017567985788,2.7057933043916688e-255
18,1383.5898849761268,4.225031130591508e-282,1288.8981323538335,8.444500100517205e-262
19,1421.7246122230094,2.444865996545244e-289,1321.5494347678311,7.175479366959632e-268
20,1455.1784076876556,1.4167926039450718e-295,1349.9742282998834,4.863377538033375e-273
21,1485.6966439963203,3.468880059059453e-301,1375.7052902856203,1.232916398930859e-277
22,1515.1339702434207,1.4364385384675737e-306,1400.3325959041097,5.336785454869006e-282
23,1539.5532728975295,7.0041148153665e-311,1420.602213139873,1.9571726935567104e-285
24,1560.9423147160096,0.0,1438.2167181668565,2.624885274341169e-288
25,1584.5424462955277,0.0,1457.497871418097,1.5351737215921021e-291
26,1605.1157521129817,0.0,1474.1716617538111,3.205906860264345e-294
27,1621.5671219244173,0.0,1487.3972727786909,3.608399813095587e-296
28,1638.6000433275283,0.0,1500.9790793877073,3.373586874676306e-298
29,1657.1580235138797,0.0,1515.6556519533838,1.8248342720692483e-300
30,1673.715938102897,0.0,1528.6422516310445,2.2414247859977805e-302
31,1688.3155741651906,0.0,1539.9975241239397,6.069735234158152e-304
32,1701.329414346612,0.0,1550.0343420416373,3.1062731297383903e-305
33,1712.5954995592847,0.0,1558.6495836748577,3.158034038208379e-306
34,1724.1215345035744,0.0,1567.3882768352341,2.991968854161292e-307
35,1735.2848542419886,0.0,1575.7790073575713,3.3284254283342564e-308
36,1745.1773486672028,0.0,1583.1498855567506,6.039321702223954e-309
37,1755.267072233269,0.0,1590.6017728963943,1.043201827550363e-309
38,1764.4002262763458,0.0,1597.2874804311955,2.59577573100103e-310
39,1773.0928519614993,0.0,1603.5938951439541,7.7008889101893e-311
