lag_nb,lb,p-values,bpvalue,bpp-values
0,30.008313229977112,4.3019801772493826e-08,29.427507167461428,5.8047851318924415e-08
1,43.40964304029253,3.747276875994012e-10,42.48299620847838,5.955724308379121e-10
2,50.07109728285452,7.715436253097217e-11,48.929564830312565,1.350281388849213e-10
3,53.32081638589584,7.301135716325931e-11,52.053488355171645,1.3443809585098697e-10
4,54.698265869911964,1.5059005761248324e-10,53.368730443135426,2.825225481693178e-10
5,55.20130649733063,4.2212503209583957e-10,53.84580768333248,7.924634555847615e-10
6,56.16841047779135,8.744275367870888e-10,54.75675723912129,1.6658487548299667e-09
7,56.33772349177207,2.424317416253961e-09,54.91514683284519,4.585779074830129e-09
8,58.559149248835425,2.538393958225704e-09,56.978923020052434,5.100682296672514e-09
9,60.318379983988464,3.1546956782412553e-09,58.60195524667749,6.657634001506384e-09
10,62.656084349521585,2.965454034128126e-09,60.743594084778806,6.7440525806987695e-09
11,66.29847253502642,1.567228860555794e-09,64.0569923696574,4.070822426330166e-09
12,67.36848846734186,2.4400214721696076e-09,65.02345837303908,6.528543545953935e-09
13,68.03599160089539,4.368252418164824e-09,65.62205795732257,1.184460750318556e-08
14,68.08211383511848,9.787007913676322e-09,65.6631216239212,2.6139094832631177e-08
15,68.08212678600482,2.1573484797333427e-08,65.66313307083365,5.662836588781921e-08
16,68.35622472689863,4.1301673888421055e-08,65.9036319092953,1.0806986091287072e-07
17,69.301307943245,5.931023281030439e-08,66.72676890417763,1.6042614949559238e-07
18,72.84654025177898,3.0744407808005786e-08,69.79167941607152,9.961273665653134e-08
19,73.26823669882671,5.284259795240253e-08,70.15352217386086,1.719192113352912e-07
20,73.28872549616186,1.0340062723156871e-07,70.17097069804306,3.299013362735129e-07
21,73.85338725453249,1.6154936758139039e-07,70.6482009583434,5.227866741389989e-07
22,73.8535833920356,3.0468661128213656e-07,70.64836546076536,9.653696633561916e-07
23,74.34836649095283,4.7101890941913944e-07,71.0601526850255,1.508982380235101e-06
24,82.2617033767117,5.0237703976525595e-08,77.59503733907154,2.7045069311955464e-07
25,87.79057490787376,1.2565418616386168e-08,82.12514498073337,9.823405824049731e-08
26,89.94072351955614,1.0833438802491378e-08,83.87300772313324,9.648871558590879e-08
27,90.74560164620246,1.51554425952953e-08,84.52210298655768,1.3894967925832462e-07
28,93.81018209186185,9.331404704527101e-09,86.97376734308519,1.0561967706242839e-07
29,96.02631761170787,7.792070310382879e-09,88.73237811044687,1.0209045431900599e-07
30,97.4655201934677,8.562993078895906e-09,89.86516981996105,1.2200126163246547e-07
31,97.96554595999784,1.302553325356968e-08,90.2555125151233,1.8637155227201715e-07
32,97.99423690319982,2.3064949271994762e-08,90.27772485824741,3.1809673087218545e-07
33,98.06696465225035,3.9627697367280496e-08,90.33356100106684,5.288848281808098e-07
34,98.48906605301305,5.966727537274089e-08,90.65490271261521,7.95501601606108e-07
35,98.59121652133508,9.88712568855068e-08,90.73200984031635,1.278924896928601e-06
36,98.68685198694098,1.6204584183375901e-07,90.8035821887698,2.0326068174677323e-06
37,98.69051829753346,2.701223832544595e-07,90.80630235469324,3.2574868620740753e-06
38,98.69194994497371,4.4466131477340547e-07,90.80735530829448,5.1545307265918586e-06
39,98.74389700767676,7.112289677276134e-07,90.8452263927167,7.964162839383594e-06
