lag_nb,lb,p-values,bpvalue,bpp-values
0,37.2588019839752,1.0344702907106086e-09,36.53298116610555,1.5010482735253094e-09
1,83.26632212512514,8.297511946021417e-19,81.34550078410875,2.1679483984440643e-18
2,130.9068885046044,3.448514297283079e-28,127.43929552789064,1.926943364739352e-27
3,171.65257653788012,4.621339115341411e-36,166.59748922220757,5.61870166449784e-35
4,201.63916655872265,1.266886608230919e-41,195.2210524239209,2.9891829571400317e-40
5,238.39277343820055,1.237228381302152e-48,230.0653810239454,7.41481393466396e-47
6,273.7020202126155,2.4737345453188048e-55,263.311100389466,4.055129987981792e-53
7,296.9468713131291,1.8382541550455001e-59,285.04654557436186,6.246091786074595e-57
8,335.97366163250956,5.972470751811593e-67,321.2857080137866,7.908090738983452e-64
9,363.86365376448776,4.539790153835597e-72,347.0024540056106,1.7236275636572472e-68
10,389.0894481905621,1.2651462732580572e-76,370.09879825286043,1.3447365920811694e-72
11,409.96466660243146,2.9334300162522312e-80,389.07626953637805,7.7669836379354e-76
12,432.1177987776396,3.6214696680995114e-84,409.0716290971179,2.710284587486871e-79
13,447.66282551396114,1.109666328754754e-86,423.0015881205748,1.7920459698970798e-81
14,467.38120752868844,4.4227492198993e-90,440.54326562718285,2.0290397904871075e-84
15,488.43795967574266,9.154749275046377e-94,459.1388389518541,1.3696933973059155e-87
16,499.0802028501192,2.9557476880596228e-95,468.4680780982231,8.179011951108613e-89
17,519.3321632060691,8.94934031135333e-99,486.08991373262114,8.736995365926176e-92
18,532.2458069955833,9.438875522811426e-101,497.2426060962923,2.1166402431224474e-93
19,545.9724425540269,6.661895128806588e-103,509.00829371781555,3.7784689596078405e-95
20,560.8540924328241,2.6726705358809485e-105,521.6673595238053,4.3504945483113813e-97
21,571.648159979959,7.670335387631024e-107,530.7792347259323,2.744381737724258e-98
22,584.0887447116869,9.86898376143873e-109,541.2002440141978,9.139001393749268e-100
23,594.6636853079056,3.099097899963669e-110,549.9898050292367,6.611617840137978e-101
24,609.6327055855619,1.1662740282920896e-112,562.3343866867843,8.621394131012375e-103
25,618.6224153566277,7.751505507933511e-114,569.6896037722018,1.2219687591313232e-103
26,628.161641150266,3.925501310947083e-115,577.4324818514538,1.425730832427189e-104
27,638.1212879503803,1.6136174719080908e-116,585.4519377164809,1.44577205668109e-105
28,640.3752990255542,2.644912265167881e-116,587.2522192895094,2.830924547309246e-105
29,647.2831549712197,4.611931128039273e-117,592.7246765971145,9.495683015218792e-106
30,654.5438512576858,6.738559006252973e-118,598.4295093936236,2.825511635634979e-106
31,656.2942565162945,1.3561153768759523e-117,599.7934615431888,6.558214923548769e-106
32,660.2604830487934,9.365482712184076e-118,602.8582729546652,6.699436225185362e-106
33,665.8502696281985,2.9559562118584287e-118,607.1413561778456,3.8010097796457654e-106
34,669.2212924453107,2.658206687908781e-118,609.7024579285089,4.82696397447098e-106
35,670.9278540226425,5.21544566228335e-118,610.9879198958497,1.1076765200613978e-105
36,673.755406640611,5.943489383036252e-118,613.0994039936834,1.7008678350228362e-105
37,673.8044891157363,2.498696328929476e-117,613.135737773971,6.8642027009714766e-105
38,675.4989519667305,4.762041778194397e-117,614.3790773984017,1.5499439104701828e-104
39,675.8961148228759,1.6562558598738064e-116,614.667923111962,5.415998547211463e-104
