lag_nb,lb,p-values,bpvalue,bpp-values
0,105.35895524910069,1.0189886853984295e-24,103.3065080689234,2.871086423517854e-24
1,189.9552596621672,5.645981621368396e-42,185.70550587385833,4.726740608339029e-41
2,265.2916129847834,3.221720815032531e-57,258.59587369898696,9.047741001997342e-56
3,337.5746271318937,8.443185672406113e-72,328.06266651569035,9.542529586617814e-70
4,409.55644072888566,2.5847326711556457e-86,396.7725794946372,1.4717698619136025e-83
5,480.52490698323624,1.316131202825676e-100,464.0543721773332,4.63089158803366e-97
6,541.9458147181423,7.633268024025519e-113,521.8857463433163,1.5772561557170785e-108
7,597.0369841305114,1.0143792961684543e-123,573.3995670925444,1.220532013370084e-118
8,646.351952987763,2.3364877308650696e-133,619.192038174278,1.5893457867551724e-127
9,695.147586548732,6.912079793902765e-143,664.185414574652,3.0481938329053353e-136
10,739.1882532703506,2.1306980110196258e-151,704.5083626769133,5.827958987578848e-144
11,778.2396010070271,7.660466984116631e-159,740.0095878920738,1.1931850253589887e-150
12,812.0003162949876,3.7149674942442033e-165,770.4819218208173,2.8874473217705754e-156
13,843.8835394017595,4.5019985906406985e-171,799.0526022671453,1.7637079174676384e-161
14,870.0097800846029,9.212527558753736e-176,822.2947774200644,1.4679546796337066e-165
15,898.7186286043012,5.227068780061661e-181,847.6480462426551,4.27217788825677e-170
16,928.3612904822627,1.8574822485043135e-186,873.6334965902188,9.025078958249789e-175
17,953.7061167895907,5.422957472032195e-191,895.6867870134782,1.304321095528671e-178
18,975.7956288344999,7.77088908502479e-195,914.7640928704452,8.042465616732183e-182
19,995.6005652009253,3.3862950247071104e-198,931.7397526130957,1.3751672775003496e-184
20,1014.5190461704594,2.257005708486279e-201,947.8327461651019,3.5837615055788467e-187
21,1032.2806284169462,2.6272681690823763e-204,962.8262896199283,1.5828541609016923e-189
22,1049.3076454181369,4.34151603121518e-207,977.089180484562,9.889276278155463e-192
23,1062.2754249495088,5.188195792571039e-209,987.8675946405075,3.359221242807021e-193
24,1072.4682540748486,2.383565653132906e-210,996.2733693088073,3.592473750292372e-194
25,1084.2955409246233,4.863986120562698e-212,1005.9502403677138,2.0387657589223592e-195
26,1096.255795662195,9.203828921843982e-214,1015.6582393430156,1.126557925055058e-196
27,1106.7101147243434,3.5977221816686467e-215,1024.0760027437066,1.1548236784228213e-197
28,1116.084115966533,2.35811729200331e-216,1031.563029709871,1.841832265834917e-198
29,1124.3178635194927,2.667041091563781e-217,1038.0858686803974,4.643084684386613e-199
30,1131.8137439664754,4.2754997744778935e-218,1043.975489031598,1.5741722273135224e-199
31,1138.9467512608182,8.091494544613394e-219,1049.5336765336833,6.197603957952608e-200
32,1145.058068498465,2.4911049696036826e-219,1054.2560580355014,3.619715018424765e-200
33,1151.1463391041027,7.672893015467269e-220,1058.9210965515097,2.1489378702086756e-200
34,1156.0761553893155,4.106173949113838e-220,1062.666476456509,1.9700812558961444e-200
35,1160.5099102511927,2.7657798644022522e-220,1066.0061879109098,2.1731222563175057e-200
36,1165.004020879498,1.7899078079621773e-220,1069.3621796138652,2.3515120834055515e-200
37,1169.0511953722864,1.4237729128449416e-220,1072.3581399526827,2.9952011720195456e-200
38,1172.0167103922743,1.892653807961614e-220,1074.5341347400763,5.606909573247573e-200
39,1175.6000524653466,1.8458845137595326e-220,1077.1402017023106,8.434370142760693e-200
