lag_nb,lb,p-values,bpvalue,bpp-values
0,125.56296110959983,3.8323594936432676e-29,123.11692939967257,1.3146830335675606e-28
1,247.33995413809464,1.9534908520117437e-54,241.7308836482065,3.2270490233795207e-53
2,364.89610042820476,8.872143609991541e-79,355.47027194188445,9.753703385613145e-77
3,477.5586412146502,4.778266772931065e-102,463.74336308729954,4.640073662422424e-99
4,589.7768166801687,3.270762927135392e-125,570.8607123952945,3.990852560313629e-121
5,696.5352809649654,3.424331319715188e-147,672.0732824315303,6.5383635749788205e-142
6,800.6322242945588,1.355397935896431e-168,770.0866381639397,5.282391574143094e-162
7,905.4895049719247,3.696087281039019e-190,868.1350045116067,4.2111874527790626e-182
8,1003.2421246005658,3.4470399185641604e-210,958.9052941667734,1.2488264831791432e-200
9,1100.9907723932008,3.2274263615442068e-230,1049.037164209333,5.088908733895826e-219
10,1190.0385544037715,2.2710963123643646e-248,1130.5679256605697,1.4794569962779534e-235
11,1274.0951803210473,1.9003854751260542e-265,1206.9830401308207,5.4293107926818666e-251
12,1355.0922834347864,7.243163585574338e-282,1280.0908150191954,1.0244561729619539e-265
13,1431.5060589798989,2.674892553630277e-297,1348.5654970011794,1.9156618873172034e-279
14,1502.7123611364077,1.302538283505e-311,1411.911363205346,4.5318447863619365e-292
15,1572.0120954564673,0.0,1473.1111285789052,3.09123715859641e-304
16,1636.0738262183734,0.0,1529.2691393117452,0.0
17,1698.275729958933,0.0,1583.3928737353488,0.0
18,1756.8572228132982,0.0,1633.9859812004825,0.0
19,1810.9780454683103,0.0,1680.3752577619211,0.0
20,1862.1887064467792,0.0,1723.9375732695798,0.0
21,1908.701907440953,0.0,1763.201963719207,0.0
22,1951.1695831755487,0.0,1798.7755362501346,0.0
23,1993.9512847955475,0.0,1834.3343531810428,0.0
24,2033.2925020072855,0.0,1866.7780842582554,0.0
25,2071.1539836684415,0.0,1897.7556601628373,0.0
26,2107.0889857325965,0.0,1926.9236813188072,0.0
27,2138.4614014106032,0.0,1952.1845874491503,0.0
28,2166.372877192273,0.0,1974.4775194046397,0.0
29,2193.8652739721174,0.0,1996.257210360101,0.0
30,2219.831428965895,0.0,2016.6591892837837,0.0
31,2243.409114794379,0.0,2035.0314120072774,0.0
32,2265.4170907693624,0.0,2052.0375752606737,0.0
33,2283.8249381937408,0.0,2066.1422895209116,0.0
34,2300.78219280867,0.0,2079.0253985465397,0.0
35,2314.862902239455,0.0,2089.631647208689,0.0
36,2327.6210125641746,0.0,2099.1588075161094,0.0
37,2338.9618070840884,0.0,2107.55394112176,0.0
38,2347.329811528312,0.0,2113.694100226937,0.0
39,2354.924105664265,0.0,2119.2172232349026,0.0
